Unnamed: 0,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_doordash_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_doordash_pm_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_apple_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_apple_pm_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_samsara_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_samsara_pm_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_yelp_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_yelp_pm_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_match_pm_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_match_pm_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_i2c_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_i2c_ux_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_adobe_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_adobe_ux_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_amazon_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_amazon_ux_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_rowan_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_rowan_ux_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_google_ux_Raw_Score,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_google_ux_Score
6018,0.7424029,0.87120146,0.7251042,0.8625521,0.6643307,0.83216536,0.67538923,0.83769464,0.77301955,0.8865098,0.8337023,0.91685116,0.7741884,0.8870942,0.8316259,0.91581297,0.8127946,0.90639734,0.86548406,0.932742
6021,0.67141044,0.8357052,0.5875302,0.79376507,0.5983665,0.79918325,0.604262,0.802131,0.599238,0.79961896,0.70251596,0.851258,0.62271976,0.8113599,0.6727264,0.8363632,0.7014011,0.85070056,0.6902901,0.84514505
6026,0.6748395,0.83741975,0.68368685,0.8418434,0.59936446,0.79968226,0.65211594,0.826058,0.7008132,0.8504066,0.7668061,0.88340306,0.74494934,0.8724747,0.77986455,0.8899323,0.7673869,0.88369346,0.8140498,0.90702486
9479,0.7112826,0.8556413,0.6666115,0.8333057,0.61156803,0.805784,0.6195668,0.8097834,0.71496844,0.8574842,0.7884264,0.8942132,0.75095034,0.87547517,0.77634925,0.88817465,0.76687205,0.883436,0.8036144,0.9018072
16980,0.7641189,0.88205945,0.76124865,0.8806243,0.71368885,0.8568444,0.7089217,0.85446084,0.76051295,0.8802565,0.8001418,0.9000709,0.76553917,0.8827696,0.7900938,0.8950469,0.80587417,0.90293705,0.827105,0.9135525
17014,0.53911173,0.76955587,0.60039747,0.80019873,0.48476046,0.74238026,0.5204042,0.7602021,0.5946802,0.7973401,0.5367081,0.76835406,0.6169011,0.8084506,0.5840029,0.7920015,0.6418693,0.82093465,0.6336126,0.8168063
18230,0.75049746,0.87524873,0.75949824,0.8797491,0.6610874,0.8305437,0.68128026,0.8406401,0.74908775,0.8745439,0.7986182,0.8993091,0.789307,0.8946535,0.8136226,0.9068113,0.7961749,0.89808744,0.8247149,0.91235745
18348,0.54821056,0.7741053,0.5929501,0.79647505,0.48548704,0.7427435,0.5352969,0.76764846,0.5839565,0.79197824,0.66990596,0.83495295,0.65505886,0.82752943,0.6705067,0.83525336,0.70307267,0.85153633,0.72907424,0.8645371
26715,0.6785329,0.8392664,0.6938505,0.84692526,0.5809219,0.79046094,0.62992406,0.814962,0.6933867,0.84669334,0.70557225,0.8527861,0.74805963,0.8740298,0.74109805,0.870549,0.76212937,0.88106465,0.73854864,0.8692743
26747,0.7824068,0.8912034,0.7262403,0.86312014,0.6459801,0.82299006,0.6739677,0.83698386,0.7555281,0.87776405,0.8300177,0.91500884,0.7683327,0.88416636,0.8157276,0.9078638,0.74440736,0.8722037,0.8261961,0.91309804
29788,0.5575413,0.7787707,0.5578808,0.77894044,0.4685204,0.7342602,0.51310915,0.7565546,0.60225034,0.80112517,0.69215864,0.84607935,0.6915153,0.84575766,0.6607978,0.8303989,0.67494524,0.8374726,0.71753216,0.8587661
29835,0.66369325,0.8318466,0.6672072,0.8336036,0.57794297,0.7889715,0.6058749,0.80293745,0.64666903,0.8233345,0.75923777,0.8796189,0.7352928,0.8676464,0.73837304,0.8691865,0.7738299,0.88691497,0.81770754,0.90885377
30606,0.61856705,0.8092835,0.5499314,0.7749657,0.56500095,0.7825005,0.5486059,0.77430296,0.6018313,0.80091566,0.70615053,0.85307527,0.59107167,0.7955358,0.6378789,0.81893945,0.6835779,0.84178895,0.67759526,0.8387976
30845,0.7382011,0.8691006,0.7182363,0.85911816,0.64509374,0.82254684,0.7118474,0.8559237,0.7379527,0.86897635,0.8084559,0.904228,0.74326384,0.8716319,0.8334322,0.9167161,0.8125788,0.9062894,0.8122774,0.90613866
32072,0.7289134,0.8644567,0.702148,0.851074,0.6816413,0.84082067,0.65236115,0.8261806,0.6784761,0.83923805,0.77128625,0.8856431,0.6818068,0.8409034,0.7648735,0.88243675,0.7503443,0.87517214,0.7589663,0.87948316
46443,0.71923476,0.85961735,0.73209393,0.86604697,0.69011366,0.84505683,0.6689208,0.8344604,0.7476894,0.87384474,0.80542886,0.90271443,0.7392813,0.86964065,0.81485724,0.9074286,0.80522764,0.9026138,0.85386264,0.9269313
46506,0.5421604,0.7710802,0.58823496,0.79411745,0.52350897,0.7617545,0.53534204,0.767671,0.576615,0.7883075,0.6495195,0.8247597,0.6128205,0.80641025,0.6735847,0.83679235,0.72143066,0.8607153,0.7350299,0.86751497
50300,0.72100335,0.86050165,0.71503437,0.8575172,0.7020094,0.8510047,0.65007186,0.8250359,0.73601156,0.86800575,0.7853999,0.89269996,0.69351137,0.8467557,0.78948283,0.8947414,0.7604189,0.88020945,0.80301297,0.9015065
51419,0.64149415,0.8207471,0.63927287,0.81963646,0.5641839,0.782092,0.5830329,0.7915164,0.6624825,0.83124125,0.7585704,0.8792852,0.68266225,0.8413311,0.7551857,0.87759286,0.73639554,0.8681978,0.7750317,0.88751584
53971,0.7099482,0.8549741,0.6846796,0.8423398,0.5986471,0.79932356,0.6186036,0.8093018,0.7232311,0.86161554,0.7891335,0.8945668,0.78446263,0.89223135,0.7765471,0.88827354,0.7887365,0.8943683,0.823107,0.9115535
53972,0.6523868,0.8261934,0.6237098,0.8118549,0.5547832,0.7773916,0.575325,0.7876625,0.6545986,0.8272993,0.7611048,0.8805524,0.7348621,0.86743104,0.7230911,0.86154556,0.75923234,0.87961614,0.7960261,0.89801306
53973,0.7416213,0.8708106,0.7031172,0.85155857,0.6383275,0.81916374,0.65432054,0.82716024,0.7361127,0.86805636,0.8316031,0.9158015,0.7880519,0.8940259,0.81437343,0.90718675,0.83444905,0.9172245,0.86973417,0.9348671
53974,0.6729684,0.8364842,0.6463714,0.8231857,0.59472907,0.79736453,0.6413426,0.8206713,0.6955106,0.8477553,0.7535447,0.87677234,0.7585522,0.8792761,0.73092175,0.8654609,0.7764225,0.88821125,0.788779,0.8943895
53975,0.63499117,0.8174956,0.57423455,0.78711724,0.5827361,0.791368,0.55195475,0.7759774,0.63339686,0.81669843,0.77578026,0.8878901,0.67800856,0.8390043,0.699433,0.84971654,0.7389071,0.86945355,0.75443435,0.8772172
53976,0.43232483,0.71616244,0.41633266,0.70816636,0.36253726,0.68126863,0.41317278,0.70658636,0.42784706,0.7139235,0.466168,0.73308396,0.5116182,0.75580907,0.43732542,0.71866274,0.5258196,0.76290977,0.50830936,0.7541547
53977,0.742051,0.8710255,0.6609421,0.83047104,0.64078087,0.82039046,0.662557,0.8312785,0.70638883,0.8531944,0.7846726,0.8923363,0.72249067,0.86124533,0.77803004,0.889015,0.7702409,0.88512045,0.7849566,0.8924783
53978,0.68023115,0.84011555,0.61487937,0.8074397,0.5865442,0.79327214,0.56595534,0.7829777,0.6730797,0.83653986,0.8091854,0.9045927,0.69440055,0.8472003,0.7242514,0.8621257,0.7541066,0.87705326,0.8180183,0.90900916
53979,0.74209815,0.87104905,0.6939143,0.84695715,0.6547898,0.8273949,0.63368183,0.8168409,0.7492662,0.8746331,0.8557806,0.9278903,0.76683736,0.8834187,0.81422246,0.9071112,0.7961805,0.89809024,0.8388968,0.9194484
53981,0.69474703,0.8473735,0.6565712,0.8282856,0.57829297,0.7891465,0.60882485,0.8044124,0.7265251,0.86326253,0.81339526,0.90669763,0.7948017,0.89740086,0.7578997,0.8789499,0.7622382,0.88111913,0.81952465,0.9097623
54796,0.64721453,0.82360727,0.6189686,0.8094843,0.53185546,0.76592773,0.58167803,0.790839,0.58257526,0.79128766,0.6725422,0.8362711,0.6369266,0.8184633,0.71849155,0.8592458,0.7058558,0.8529279,0.7022854,0.8511427
54797,0.7452407,0.87262034,0.6967739,0.84838694,0.68227947,0.84113973,0.6168095,0.80840474,0.7623944,0.8811972,0.8853717,0.94268584,0.75285053,0.87642527,0.8267436,0.9133718,0.79684734,0.8984237,0.842543,0.9212715
54798,0.65277016,0.8263851,0.66991735,0.8349587,0.59442914,0.79721457,0.6074784,0.8037392,0.65862453,0.82931226,0.7304287,0.86521435,0.69766676,0.8488334,0.7324254,0.8662127,0.76826,0.88413,0.7568228,0.8784114
54799,0.53979325,0.7698966,0.542332,0.77116597,0.44261855,0.7213093,0.50497675,0.7524884,0.55814654,0.77907324,0.6668029,0.83340144,0.6674792,0.83373964,0.6494063,0.82470316,0.71031237,0.8551562,0.7552933,0.8776467
54800,0.60699165,0.8034958,0.6194824,0.8097412,0.5256127,0.76280636,0.56300235,0.7815012,0.592919,0.7964595,0.6579149,0.82895744,0.6916576,0.8458288,0.6929221,0.84646106,0.69924295,0.8496215,0.70947707,0.85473853
56453,0.73450327,0.86725163,0.668707,0.8343535,0.61414313,0.80707157,0.58544075,0.7927204,0.7509393,0.8754697,0.8237329,0.9118664,0.81201077,0.9060054,0.75504947,0.87752473,0.74729955,0.8736498,0.8149818,0.9074909
56528,0.62456226,0.81228113,0.59920585,0.7996029,0.53793633,0.76896816,0.57410586,0.7870529,0.63678557,0.81839275,0.7214124,0.8607062,0.679754,0.839877,0.66956925,0.8347846,0.7256626,0.8628313,0.71661735,0.8583087
56542,0.74920475,0.8746024,0.704687,0.8523435,0.65138245,0.8256912,0.67547274,0.83773637,0.7332815,0.86664075,0.80700517,0.9035026,0.7412406,0.8706203,0.8154167,0.90770835,0.77385557,0.8869278,0.824865,0.9124325
56543,0.63549685,0.8177484,0.61244273,0.80622137,0.55007106,0.7750355,0.5369072,0.7684536,0.6566826,0.8283413,0.7327497,0.86637485,0.74117833,0.87058914,0.70692885,0.8534644,0.7327492,0.8663746,0.74817336,0.8740867
56544,0.6479157,0.82395786,0.6834006,0.8417003,0.61219037,0.8060952,0.617996,0.808998,0.67985463,0.8399273,0.7326682,0.8663341,0.71818954,0.85909474,0.74174005,0.87087,0.7509746,0.8754873,0.7974677,0.89873385
56545,0.63272107,0.81636053,0.6961144,0.8480572,0.5899495,0.79497474,0.6223189,0.8111595,0.6231884,0.8115942,0.6271874,0.8135937,0.62637115,0.8131856,0.73611915,0.8680596,0.7102571,0.8551285,0.65681124,0.8284056
56618,0.71968454,0.8598423,0.7255582,0.86277914,0.6396209,0.81981045,0.6475384,0.8237692,0.6965227,0.84826136,0.7814108,0.8907054,0.74177444,0.8708872,0.8311313,0.9155656,0.81203324,0.9060166,0.8253062,0.9126531
56619,0.67544454,0.8377223,0.6538371,0.82691854,0.5728954,0.7864477,0.6291058,0.8145529,0.6827005,0.84135026,0.7783256,0.8891628,0.7382288,0.8691144,0.75364316,0.8768216,0.7728329,0.88641644,0.79971635,0.8998582
56629,0.7494831,0.87474155,0.69847226,0.84923613,0.6340535,0.81702673,0.6618461,0.8309231,0.71373683,0.8568684,0.8171016,0.9085508,0.73114765,0.8655738,0.8137399,0.90686995,0.77629423,0.8881471,0.8078128,0.9039064
56630,0.6480784,0.8240392,0.63213396,0.816067,0.56762064,0.7838103,0.583606,0.791803,0.67236155,0.8361808,0.7541621,0.87708104,0.7363169,0.86815846,0.74586624,0.87293315,0.7557516,0.8778758,0.8037511,0.90187556
56631,0.5912429,0.79562145,0.60700774,0.8035039,0.53105235,0.7655262,0.5601834,0.7800917,0.6177319,0.80886596,0.7057862,0.8528931,0.66219246,0.83109623,0.6967131,0.84835654,0.74356717,0.8717836,0.779235,0.8896175
56632,0.7301283,0.86506414,0.7008318,0.8504159,0.62805474,0.81402737,0.6657318,0.8328659,0.73662883,0.8683144,0.825662,0.912831,0.7552383,0.87761915,0.81010133,0.90505064,0.8211857,0.91059285,0.8276979,0.91384894
56633,0.62751186,0.8137559,0.63245094,0.81622547,0.5616307,0.78081536,0.5988612,0.7994306,0.6515343,0.82576716,0.7259501,0.86297506,0.7242893,0.86214465,0.714911,0.8574555,0.75073606,0.875368,0.80004734,0.9000237
56634,0.5902551,0.7951275,0.5926249,0.79631245,0.48949793,0.74474895,0.5274267,0.76371336,0.61405385,0.8070269,0.6977532,0.8488766,0.68724906,0.84362453,0.67181706,0.83590853,0.7407422,0.8703711,0.7452718,0.8726359
56635,0.6551826,0.8275913,0.6472384,0.8236192,0.575901,0.7879505,0.5900655,0.79503274,0.6781242,0.8390621,0.7959311,0.89796555,0.7680172,0.8840086,0.754326,0.877163,0.7699052,0.8849526,0.8430774,0.9215387
56637,0.62737745,0.81368876,0.6187255,0.80936277,0.51411116,0.7570556,0.6031129,0.80155647,0.64903986,0.82451993,0.73508036,0.8675402,0.6777226,0.8388613,0.7336665,0.8668332,0.71372926,0.85686463,0.74551904,0.8727595
56638,0.66920966,0.83460486,0.6637503,0.83187515,0.5991363,0.7995682,0.60405374,0.80202687,0.71433973,0.85716987,0.78040993,0.89020497,0.80228555,0.9011428,0.78693056,0.8934653,0.7581283,0.87906414,0.8006007,0.9003004
56639,0.47816652,0.7390833,0.496166,0.748083,0.44514793,0.722574,0.44650072,0.7232504,0.5158146,0.7579073,0.60375017,0.8018751,0.61757165,0.8087858,0.5645045,0.78225225,0.62969273,0.8148464,0.6640768,0.8320384
56641,0.5940118,0.7970059,0.5661753,0.7830876,0.5263972,0.7631986,0.5661582,0.7830791,0.62092936,0.8104647,0.7177391,0.85886955,0.7078586,0.8539293,0.67215,0.836075,0.6975944,0.8487972,0.7530848,0.8765424
56642,0.62251467,0.81125736,0.5896777,0.79483885,0.5351125,0.76755625,0.5527642,0.7763821,0.6122652,0.8061326,0.70711064,0.8535553,0.71154857,0.8557743,0.6702716,0.8351358,0.74170864,0.8708543,0.7452874,0.8726437
56643,0.7041391,0.85206956,0.7006432,0.8503216,0.64804375,0.8240219,0.657344,0.828672,0.6551827,0.82759136,0.6889102,0.8444551,0.6251844,0.8125922,0.7226949,0.86134744,0.71949315,0.8597466,0.6939441,0.84697205
56644,0.5774182,0.7887091,0.58812517,0.7940626,0.4953544,0.7476772,0.5514194,0.7757097,0.5476797,0.77383983,0.60852253,0.80426127,0.6315278,0.8157639,0.6123065,0.80615324,0.6739451,0.8369726,0.67303723,0.83651865
56645,0.72564185,0.8628209,0.71372634,0.85686314,0.64237326,0.82118666,0.67905474,0.83952737,0.7021164,0.8510582,0.8102515,0.90512574,0.7387266,0.8693633,0.8024202,0.90121007,0.7717308,0.8858654,0.8236015,0.91180074
56646,0.6352031,0.81760156,0.5994543,0.79972714,0.5194036,0.7597018,0.58150816,0.7907541,0.6277696,0.8138848,0.7477392,0.8738696,0.6790933,0.8395467,0.6979963,0.8489982,0.7224439,0.8612219,0.7407046,0.87035227
56647,0.7040423,0.85202116,0.6869191,0.84345955,0.6056719,0.80283594,0.6425965,0.82129824,0.70209664,0.85104835,0.79208386,0.8960419,0.7453004,0.8726502,0.7573608,0.8786804,0.76711607,0.88355803,0.81114995,0.905575
56648,0.6867293,0.84336466,0.6994408,0.84972036,0.6043869,0.80219346,0.63991725,0.8199586,0.6946432,0.8473216,0.7235904,0.8617952,0.7418393,0.87091964,0.7666652,0.8833326,0.75601584,0.8780079,0.78009295,0.8900465
56649,0.64215124,0.8210756,0.6301099,0.81505495,0.5739006,0.7869503,0.59605443,0.7980272,0.60655653,0.80327827,0.6589577,0.82947886,0.5902878,0.7951439,0.6621806,0.83109033,0.70482993,0.85241497,0.66314846,0.8315742
56650,0.6562913,0.8281456,0.6734582,0.8367291,0.6186888,0.8093444,0.6187305,0.8093653,0.6785237,0.8392619,0.727906,0.863953,0.74351794,0.87175894,0.7373071,0.86865354,0.7457161,0.87285805,0.7821535,0.89107674
56651,0.6384406,0.8192203,0.5779097,0.78895485,0.5302605,0.7651303,0.5396763,0.76983815,0.6454914,0.8227457,0.7477462,0.8738731,0.6929406,0.8464703,0.69060874,0.84530437,0.71517456,0.8575873,0.7578194,0.8789097
56652,0.6729809,0.83649045,0.6877643,0.84388214,0.5886092,0.7943046,0.62176704,0.8108835,0.67335355,0.8366768,0.7112124,0.8556062,0.6769201,0.8384601,0.7547137,0.8773569,0.7387456,0.86937284,0.7192354,0.8596177
56653,0.7078595,0.85392976,0.6814847,0.84074235,0.63358915,0.8167946,0.6265768,0.8132884,0.6931548,0.8465774,0.7667786,0.8833893,0.7152107,0.85760534,0.7508835,0.8754418,0.7564074,0.8782037,0.81734365,0.90867186
56654,0.7331358,0.8665679,0.68694377,0.8434719,0.6106815,0.80534077,0.61554325,0.8077716,0.75021964,0.8751098,0.8275934,0.91379666,0.7817627,0.89088136,0.7662183,0.88310915,0.783172,0.891586,0.8369091,0.9184545
56656,0.57092327,0.78546166,0.5640233,0.7820116,0.5216907,0.76084536,0.5157371,0.7578685,0.6028806,0.8014403,0.64146054,0.82073027,0.6551767,0.8275883,0.62190354,0.81095177,0.676111,0.8380555,0.6844664,0.8422332
56657,0.51249146,0.75624573,0.46933147,0.73466575,0.4345951,0.71729755,0.44892517,0.72446257,0.54163563,0.7708178,0.6863154,0.8431577,0.65203094,0.8260155,0.5989975,0.79949874,0.648841,0.8244205,0.697117,0.8485585
56661,0.716743,0.8583715,0.6883248,0.8441624,0.612864,0.806432,0.6129762,0.8064881,0.71214056,0.8560703,0.8159648,0.9079824,0.7229053,0.86145264,0.7768905,0.88844526,0.7621889,0.88109446,0.79883444,0.8994172
56662,0.5939329,0.79696643,0.62284046,0.8114202,0.5382746,0.76913726,0.60809076,0.8040454,0.58203506,0.79101753,0.6530043,0.82650214,0.6240461,0.81202304,0.7300286,0.8650143,0.74363613,0.87181807,0.72108376,0.8605419
56725,0.635978,0.817989,0.62398624,0.8119931,0.5129621,0.75648105,0.58661413,0.79330707,0.6329072,0.8164536,0.74655783,0.8732789,0.7213588,0.8606794,0.7197654,0.8598827,0.7269347,0.86346734,0.789245,0.8946225
56795,0.7171708,0.85858536,0.68143904,0.8407195,0.62799215,0.8139961,0.6164714,0.8082357,0.7634865,0.88174325,0.86056674,0.93028337,0.8318825,0.91594124,0.8346566,0.9173283,0.80994546,0.90497273,0.8827711,0.9413855
56796,0.66002166,0.83001083,0.62839127,0.81419563,0.5588486,0.7794243,0.59222174,0.79611087,0.6745683,0.83728415,0.7723429,0.88617146,0.73333097,0.8666655,0.7479602,0.8739801,0.75810045,0.87905025,0.78257066,0.8912853
