Unnamed: 0,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o DoorDash Score
1747,80.483
1784,79.321
2476,83.223
2515,82.597
2517,81.679
2529,83.769
2538,84.086
2551,82.705
2553,81.888
2554,84.388
2555,81.074
2556,81.506
2577,84.104
2582,82.688
2583,79.888
2584,83.991
2585,83.822
2586,82.834
2587,82.34
2588,83.147
2589,84.717
2590,82.891
2591,83.086
2592,85.309
2594,82.594
2595,82.559
2597,85.893
2645,82.971
2654,82.626
2655,82.694
2656,82.801
2657,79.825
2658,82.345
2659,82.934
2660,84.167
2741,81.77
2766,78.48
2793,84.104
2810,79.38
2824,82.321
3002,84.078
3021,84.154
3093,83.137
3105,83.558
3113,79.441
3118,81.371
3120,82.995
3122,81.32
3123,82.064
3133,84.446
3134,84.381
3135,84.101
3136,82.803
3137,82.876
3138,80.65
3139,82.67
3140,82.017
3141,83.772
3142,84.674
3143,83.333
3144,82.32
3145,79.81
3146,77.209
3147,81.561
3148,81.786
3149,81.89
3150,83.619
3153,81.808
3155,77.441
3156,80.029
3157,78.842
3158,82.31
3159,81.523
3160,80.773
3161,83.057
3162,80.307
3186,81.341
3225,84.516
3315,82.042
3321,81.943
3332,80.672
5877,81.54
5981,85.269
6043,84.368
6078,82.654
6081,84.69
6082,83.272
6090,80.024
6127,86.019
6211,80.1
6213,82.224
6214,82.906
6231,81.923
6232,83.236
6233,83.14
6239,81.431
6240,81.696
6254,82.229
6255,81.911
6342,80.02
7630,84.271
7654,81.897
8890,81.232
8916,78.336
9028,80.956
9066,78.043
9445,80.869
9542,78.233
9546,82.339
9547,83.775
9583,81.833
9587,80.975
12037,82.397
12116,80.48
12122,83.386
12124,81.895
12141,81.105
12143,80.308
12149,81.963
12161,81.166
12252,80.948
12408,81.214
12409,81.342
12410,82.412
12418,82.771
12422,82.991
12435,81.561
12436,81.21
12437,81.888
12447,83.799
12448,83.902
12449,84.173
12450,82.256
12451,81.625
12452,80.003
12453,82.049
12454,81.395
12455,83.715
12456,84.859
12457,81.117
12458,85.786
12459,82.564
12460,83.054
12461,78.612
12462,81.263
12463,78.255
12464,86.015
12465,80.599
12466,80.665
12467,83.704
12468,78.073
12469,77.043
12470,84.035
12471,84.446
12472,82.64
12473,81.277
12474,80.89
12475,81.666
12476,81.454
12477,83.953
12478,83.188
12479,81.55
12480,81.97
12481,80.824
12482,82.601
12483,79.992
12484,81.493
12485,82.445
12486,83.185
12487,82.151
12488,81.182
12489,77.546
12490,82.151
12491,83.06
12492,82.34
12493,82.745
12494,81.565
12495,84.739
12496,81.079
12497,84.59
12498,83.344
12499,79.916
12500,79.759
12501,75.313
12502,83.532
12503,81.025
12504,84.259
12505,75.976
12506,81.996
