,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_doordash_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_doordash_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_apple_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_apple_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_samsara_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_samsara_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_yelp_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_yelp_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_match_pm_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_match_pm_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_i2c_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_i2c_ux_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_adobe_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_adobe_ux_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_amazon_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_amazon_ux_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_rowan_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_rowan_ux_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_google_ux_Raw_Score,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview_google_ux_Score
6018,0.67789936,0.8389497,0.6743094,0.8371547,0.5867903,0.79339516,0.68668056,0.8433403,0.6691022,0.8345511,0.7469027,0.87345135,0.7180813,0.8590406,0.7921276,0.8960638,0.7655002,0.8827501,0.7887312,0.8943656
6021,0.73309433,0.86654717,0.7056109,0.85280544,0.648805,0.8244025,0.6585988,0.8292994,0.7044573,0.85222864,0.78869027,0.89434516,0.7518419,0.87592095,0.767375,0.8836875,0.768772,0.884386,0.7984234,0.8992117
6026,0.7086777,0.8543389,0.7379842,0.8689921,0.6861415,0.84307075,0.6956848,0.8478424,0.72516894,0.8625845,0.74334073,0.87167037,0.7435286,0.8717643,0.77387077,0.88693535,0.7438663,0.87193316,0.7953755,0.8976878
9479,0.6650797,0.83253986,0.6579125,0.82895625,0.55508256,0.7775413,0.59092206,0.79546106,0.67007697,0.8350385,0.7632421,0.88162106,0.7543278,0.8771639,0.7293238,0.86466193,0.7544302,0.8772151,0.76621187,0.88310593
16980,0.7804479,0.890224,0.7669494,0.8834747,0.7302201,0.86511004,0.7212169,0.86060846,0.75667775,0.8783389,0.81207144,0.9060357,0.7583084,0.8791542,0.7985872,0.8992936,0.82029724,0.9101486,0.8195702,0.9097851
17014,0.5331765,0.7665882,0.6170385,0.80851924,0.4944184,0.7472092,0.52437705,0.76218855,0.59232616,0.7961631,0.5709983,0.78549916,0.65500873,0.8275044,0.6079228,0.8039614,0.69400686,0.84700346,0.6757374,0.8378687
18230,0.7317541,0.86587703,0.7394365,0.86971825,0.644785,0.82239246,0.7098179,0.85490894,0.7461641,0.87308204,0.7779785,0.8889892,0.77973056,0.8898653,0.79873633,0.89936817,0.77009165,0.8850458,0.8007473,0.90037364
18348,0.65135217,0.8256761,0.65698636,0.8284932,0.56488866,0.78244436,0.5960117,0.7980058,0.66486394,0.832432,0.7744005,0.88720024,0.72414863,0.8620743,0.75835717,0.8791786,0.7596904,0.8798452,0.79924643,0.8996232
26715,0.706057,0.85302854,0.70530385,0.85265195,0.592376,0.796188,0.6538981,0.82694906,0.70894337,0.8544717,0.7209048,0.8604524,0.7410691,0.87053454,0.7440759,0.87203795,0.7738893,0.88694465,0.7571943,0.87859714
26747,0.81032836,0.9051642,0.76340795,0.881704,0.7286036,0.8643018,0.7306564,0.8653282,0.7555053,0.87775266,0.7696749,0.88483745,0.73443437,0.8672172,0.8040562,0.9020281,0.7314409,0.86572045,0.7629415,0.88147074
