,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_doordash_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_doordash_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_apple_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_apple_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_samsara_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_samsara_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_yelp_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_yelp_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_match_pm_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_match_pm_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_i2c_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_i2c_ux_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_adobe_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_adobe_ux_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_amazon_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_amazon_ux_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_rowan_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_rowan_ux_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_google_ux_Raw_Score,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite_google_ux_Score
6018,0.6464498,0.8232249,0.6564684,0.8282342,0.6175144,0.8087572,0.6538521,0.82692605,0.6773975,0.83869874,0.75430644,0.8771532,0.7078496,0.8539248,0.7965406,0.8982703,0.78271997,0.89136,0.777234,0.88861704
6021,0.7160231,0.85801154,0.7148304,0.8574152,0.6461979,0.82309896,0.6778469,0.83892345,0.6788492,0.8394246,0.73398983,0.8669949,0.7011392,0.8505696,0.7460078,0.8730039,0.74958444,0.8747922,0.79401386,0.8970069
6026,0.58625126,0.7931256,0.5826243,0.79131216,0.48732275,0.7436614,0.56207657,0.7810383,0.5762468,0.78812337,0.59637034,0.79818517,0.60935265,0.8046763,0.630459,0.81522954,0.58376074,0.79188037,0.6137115,0.80685574
9479,0.6797865,0.8398932,0.631346,0.815673,0.54883283,0.77441645,0.58302724,0.7915136,0.68335533,0.84167767,0.75636506,0.87818253,0.72260535,0.8613027,0.71981525,0.8599076,0.701661,0.8508305,0.7508235,0.87541175
16980,0.75342464,0.8767123,0.78270054,0.89135027,0.7229677,0.8614838,0.7503578,0.87517893,0.7461188,0.8730594,0.7592732,0.8796366,0.739065,0.86953247,0.7878821,0.89394104,0.80734044,0.9036702,0.7971121,0.89855605
17014,0.32743478,0.6637174,0.4516586,0.7258293,0.34104896,0.6705245,0.37478065,0.6873903,0.4056145,0.70280725,0.3083828,0.6541914,0.45277327,0.72638667,0.38844502,0.6942225,0.4714415,0.73572075,0.41009477,0.70504737
18230,0.61057496,0.8052875,0.64820826,0.82410413,0.55451804,0.777259,0.61310506,0.8065525,0.6128254,0.8064127,0.6492928,0.8246464,0.66762054,0.83381027,0.6914738,0.84573686,0.67762613,0.83881307,0.6783905,0.83919525
18348,0.60988206,0.80494106,0.63001174,0.8150059,0.53915155,0.7695758,0.5727242,0.7863621,0.6462642,0.8231321,0.7368384,0.8684192,0.69788647,0.84894323,0.74298257,0.8714913,0.7339366,0.8669683,0.772814,0.886407
26715,0.688442,0.844221,0.73611647,0.8680582,0.59567535,0.7978377,0.66663533,0.83331764,0.71330094,0.8566505,0.6645047,0.8322524,0.7333225,0.86666125,0.7352433,0.86762166,0.760419,0.8802095,0.70645607,0.85322803
26747,0.7256861,0.86284304,0.73512554,0.8675628,0.63446087,0.81723046,0.684755,0.84237754,0.73292696,0.8664635,0.75377357,0.8768868,0.7563977,0.87819886,0.77433896,0.8871695,0.74001527,0.87000763,0.7792667,0.88963336
29788,0.52861065,0.76430535,0.5487319,0.77436596,0.44016922,0.7200846,0.513062,0.756531,0.5621749,0.78108746,0.59915674,0.79957837,0.6316668,0.8158334,0.6142087,0.80710435,0.6283809,0.81419045,0.6434199,0.82171
29835,0.65204,0.82602,0.6694024,0.8347012,0.57548153,0.78774077,0.6270008,0.8135004,0.6312928,0.8156464,0.71248055,0.8562403,0.7220824,0.8610412,0.7308876,0.8654438,0.7459448,0.87297237,0.7420234,0.87101173
30606,0.637566,0.818783,0.5639943,0.78199714,0.52599365,0.7629968,0.565037,0.7825185,0.6286888,0.8143444,0.7549262,0.8774631,0.6627865,0.83139324,0.6652374,0.8326187,0.72573507,0.86286753,0.75481665,0.8774083
30845,0.6983969,0.84919846,0.6888122,0.8444061,0.60495496,0.8024775,0.6658798,0.83293986,0.6764545,0.8382273,0.7818196,0.8909098,0.71687496,0.8584375,0.76660776,0.8833039,0.7905182,0.89525914,0.78104925,0.8905246
32072,0.73623824,0.8681191,0.7208658,0.86043286,0.7271064,0.86355317,0.66781545,0.8339077,0.713534,0.856767,0.7806258,0.8903129,0.70983416,0.85491705,0.79563236,0.8978162,0.7525219,0.87626094,0.76667184,0.88333595
46443,0.74562234,0.8728112,0.7645659,0.882283,0.70830655,0.8541533,0.71634674,0.8581734,0.76493454,0.88246727,0.7949132,0.8974566,0.76335967,0.88167983,0.84045386,0.92022693,0.82441103,0.9122055,0.84742665,0.9237133
46506,0.42309067,0.71154535,0.46537822,0.73268914,0.40719008,0.70359504,0.43620652,0.7181033,0.44778845,0.72389424,0.5068935,0.75344676,0.48701733,0.7435087,0.55957043,0.7797852,0.61507684,0.8075384,0.59500927,0.79750466
50300,0.64901507,0.82450753,0.66872656,0.8343633,0.6419809,0.82099044,0.6230104,0.8115052,0.6799928,0.8399964,0.7239641,0.86198205,0.6653168,0.8326584,0.74444234,0.8722212,0.73772204,0.868861,0.759233,0.8796165
51419,0.570625,0.78531253,0.62406015,0.8120301,0.5389257,0.7694628,0.5643194,0.7821597,0.59003454,0.79501724,0.6152322,0.8076161,0.6581712,0.8290856,0.67132723,0.8356636,0.7011622,0.8505811,0.6781287,0.83906436
53971,0.5744529,0.78722644,0.58969927,0.79484963,0.5090878,0.7545439,0.5555725,0.77778625,0.61045575,0.8052279,0.5940869,0.79704344,0.6526992,0.8263496,0.635737,0.8178685,0.6591314,0.8295657,0.62880254,0.81440127
53972,0.5555196,0.7777598,0.584342,0.792171,0.50729233,0.75364614,0.55132866,0.7756643,0.55903375,0.7795169,0.6302649,0.81513244,0.6093461,0.8046731,0.6446929,0.82234645,0.6752411,0.83762056,0.6614454,0.8307227
53973,0.61711514,0.80855757,0.6148043,0.80740213,0.54735833,0.77367914,0.575191,0.7875955,0.6287168,0.8143584,0.73672783,0.8683639,0.70815754,0.85407877,0.73704207,0.86852103,0.77579576,0.88789785,0.7863083,0.89315414
53974,0.6361263,0.81806314,0.6178583,0.80892915,0.56139386,0.7806969,0.6098994,0.8049497,0.66257286,0.83128643,0.7308587,0.86542934,0.73543537,0.8677177,0.695053,0.8475265,0.7525518,0.8762759,0.7555208,0.8777604
53975,0.6566982,0.8283491,0.64326346,0.8216317,0.61456335,0.8072817,0.61860967,0.80930483,0.65040135,0.8252007,0.7555475,0.87777376,0.7019513,0.85097563,0.7221962,0.8610981,0.78046894,0.8902345,0.7711876,0.8855938
53976,0.5043099,0.75215495,0.45967752,0.7298387,0.44930378,0.7246519,0.47194764,0.73597383,0.5065003,0.7532501,0.6037202,0.8018601,0.62333965,0.8116698,0.55007976,0.7750399,0.61611736,0.8080587,0.6236036,0.8118018
53977,0.7214,0.8607,0.6815275,0.84076375,0.640799,0.8203995,0.650267,0.8251335,0.7035608,0.8517804,0.749259,0.8746295,0.73619473,0.86809736,0.75565207,0.87782604,0.77169496,0.88584745,0.76285636,0.8814282
53978,0.636366,0.818183,0.6347087,0.8173543,0.6001314,0.8000657,0.58177435,0.7908872,0.68517053,0.84258527,0.73454726,0.8672736,0.6981039,0.84905195,0.71426016,0.85713005,0.73668826,0.8683441,0.76849526,0.88424766
53979,0.75254726,0.87627363,0.71221054,0.85610527,0.67479074,0.83739537,0.65652454,0.82826227,0.75623655,0.8781183,0.8376831,0.91884154,0.7697147,0.88485736,0.8137201,0.90686005,0.79594636,0.8979732,0.83108056,0.9155403
53981,0.5751348,0.7875674,0.57494414,0.78747207,0.5098381,0.75491905,0.53453225,0.76726615,0.6041287,0.80206436,0.68001074,0.8400054,0.67763394,0.838817,0.66417813,0.83208907,0.69204247,0.84602123,0.6992769,0.84963846
54796,0.50591576,0.7529579,0.52940315,0.7647016,0.42971963,0.71485984,0.5104507,0.75522536,0.44153258,0.7207663,0.49513245,0.7475662,0.5235498,0.7617749,0.5659527,0.7829764,0.5824677,0.79123384,0.54747576,0.7737379
54797,0.7129929,0.85649645,0.70453435,0.85226715,0.6895931,0.84479654,0.64444745,0.8222237,0.7299758,0.8649879,0.8317183,0.91585916,0.72234046,0.86117023,0.8071651,0.9035826,0.7694682,0.8847341,0.8070919,0.903546
54798,0.5947208,0.7973604,0.63943183,0.8197159,0.5308957,0.76544785,0.5850862,0.7925431,0.61277163,0.8063858,0.6463537,0.82317686,0.681271,0.84063554,0.66815746,0.8340787,0.7282239,0.86411196,0.69647276,0.8482364
54799,0.53662527,0.76831263,0.55037487,0.77518743,0.46046984,0.7302349,0.5413667,0.77068335,0.5519598,0.7759799,0.6312369,0.81561846,0.6360621,0.8180311,0.6404769,0.8202385,0.6800039,0.84000194,0.7024293,0.85121465
