,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5
6018,"# Web & UX/UI Designer

## Professional Experience

**Web Designer | Children's Music School Website Redesign**

Redesigned educational institution website, conducting comprehensive analysis to identify opportunities for improvement. Created detailed wireframes featuring integrated news functionality and strategic call-to-action placement. Delivered cohesive visual design system with intentional color and typography choices aligned to brand identity. Developed intuitive navigation architecture prioritizing information accessibility. Applied responsive design principles for optimal cross-device performance.

**UX/UI Designer | Pet-Saver-Hub**

Designed end-to-end user experience for animal rescue web service connecting lost pets with owners. Conducted user research identifying critical pain points in lost-and-found pet searches. Created comprehensive user flows and wireframes emphasizing intuitive navigation. Integrated interactive map functionality enabling location-based search capabilities. Delivered streamlined interface supporting seamless search and discovery.

## Core Competencies

Wireframing & Prototyping | Visual Design | User Research & Analysis | Responsive Design | User Experience Design | User Interface Design | Brand Identity Integration | Interactive Design Elements

## Professional Objectives

Seeking opportunities to advance UI/UX design expertise while contributing to meaningful, user-centered projects. Eager to collaborate with experienced professionals in environments that foster creative growth and exposure to emerging design technologies. Committed to continuous improvement through active user engagement and feedback integration. Dedicated to delivering high-quality work through strong communication, teamwork, and meticulous attention to detail."
6021,"OVER 50 WEBSITES
MORE THAN 30 LOGOTYPES
4 MOBILE APPS
3 GAMES
1 SOCIAL NETWORK

---

**EXPERIENCE**

**HEAD OF DESIGN DEPARTMENT**
Facility, Kiev
March 2018 – Present

Lead design team operations and optimize workflows across multiple project types. Develop concepts for websites, brands, and digital products. Create UI/UX, animations, logo books, brand guidelines, and brandbooks. Lead tender presentations and company offline initiatives.

**Publications & Recognition**
- Published on medium.com, mmr.ua, cases.media, vc.ru
- Judge for CSSDA and Ukraine Creative Week
- Educational lecturer at Underhub co-working space

---

**SELECT PROJECTS**

**Kiev Smart City** | Kiev
Developed concept and final product visualization for Kiev Smart Card. Created multiple dynamic city advertising concepts.

**Mastercard** | Kiev
Designed illustrations and limited edition products for 2018 UEFA Champions League Final in Kiev. Developed brand activation program concept for Ukraine Independence Day 2018.

**Stampede Games** | Kiev
Developed mobile game visual concepts and UI design. Created concept art for game sequels. Contributed to featured games that reached top-chart positions:
- Evo Explores
- .projekt."
6026,"# PROFESSIONAL SUMMARY

Design leader with 12+ years of experience delivering innovative solutions across 25+ industries. Portfolio encompasses 300+ projects including 30+ products built from scratch, 30+ mobile applications, 80+ websites, and 100+ brand identities. Founded and scaled a design studio to 20 employees. Educated 150+ students in UI/UX and brand design. Speaker at Dribbble and industry conferences. Master's degree in Engineering Design; MBA candidate.

# PROFESSIONAL EXPERIENCE

**2022 — NDA**

**2021 — UX Designer, Bank BVR**

**2020 — Lead Product Designer, Innovation Box**

**2020 — UI/UX Design Teacher, Hillel IT School**
- Trained 150+ students in UI/UX and brand design principles

**2019 — UI/UX & Brand Designer, Ardas**

**2017 — UI/UX & Brand Designer, M2E Pro**

**2016 — UI/UX & Brand Designer, Forforce**

**2015 — UI/UX & Brand Designer, Art. Lebedev Studio**

**2014 — CEO & Designer, Own Design Studio**
- Founded and managed design studio of 20 employees
- Built end-to-end processes for sales, hiring, project management, and delivery

**2013 — UI/UX & Brand Designer, Poster**

**2012 — UI/UX & Brand Designer, le Weekend**

**2011 — UI/UX & Brand Designer, November Design Bureau**

**2006 — Graphic Designer, Freelance**

# EDUCATION

**MBA** — In Progress

**Master's Degree, Engineering Design**

**Technical Skills**
- Frontend: HTML5, CSS3, TypeScript, Vue.js
- Backend: Python, Swift

# INDUSTRIES

eCommerce | Finance | Banking | Investments | Marketing | Social Media | Law | Education | Development | NFT | Art | Automotive | Gaming | Construction | Agriculture | Food & Beverage | Fashion | Beauty | Service | Music | Entertainment | Sports | Technology | Medicine | Insurance

# INTERNATIONAL CLIENTS

USA | United Kingdom | Germany | Netherlands | Italy | France | Greece | Estonia | Australia | China | Ukraine"
9479,"**GRAPHIC DESIGNER & UI/UX DESIGNER**

---

**PROFESSIONAL SUMMARY**

Graphic Designer and UI/UX Designer with extensive experience delivering comprehensive design solutions across digital and print platforms. Demonstrated expertise in brand identity development, key visual creation, and social media marketing design. Skilled in 3D design integration with proven ability to lead teams and manage junior designers through complex projects.

---

**CORE COMPETENCIES**

Brand Identity & Logo Design | Key Visual Development | Social Media Marketing Design
Print & Prepress Production | UI/UX Design | 3D Design Integration
Team Leadership | Custom Illustration

---

**TECHNICAL SKILLS**

**Expert:** Adobe Photoshop, Adobe Illustrator
**Proficient:** Adobe InDesign, Figma
**Working Knowledge:** Blender, After Effects

---

**PROFESSIONAL EXPERIENCE**

**Graphic Designer & UI/UX Designer**
QA Madness | November 2022 – Present

- Contributed significantly to company-wide global redesign initiative, aligning website with new brand vision and visual style
- Introduced and implemented fresh visual style for corporate presentations
- Completely redesigned social media materials for LinkedIn and Instagram
- Designed company page for DOU
- Integrated custom 3D design elements into visual materials

**Graphic Designer**
Kronas | August 2020 – February 2022

- Designed logos, brand identities, and related print materials for new company brands
- Developed 3–6 advertising key visuals monthly for web, social media, and print campaigns
- Introduced and implemented new visual style for Instagram profile
- Created multi-page product catalogs and brochures in InDesign
- Updated YouTube channel branding and designed video covers
- Designed custom sticker pack for Telegram and Viber
- Developed trade hall design including branded stands and navigation systems

**Graphic Designer**
Design Studio ToTop | October 2019 – August 2020

- Developed design solutions for clients across multiple industries
- Created logos, brand identities, and outdoor advertising including billboards, citylights, and vehicle branding
- Produced realistic product visualizations in Photoshop
- Designed extensive print materials including calendars, business cards, postcards, and stickers
- Created multi-page catalogs and brochures
- Conceptualized, designed, approved, and delivered 16-page brochure in one working day

---

**ADDITIONAL EXPERIENCE**

**Lead Graphic Designer / Prepress Operator / DTP Designer**
Managed team of two junior designers

---

**EDUCATION & PROFESSIONAL DEVELOPMENT**

**UI/UX Design Course**
Beetroot Academy"
16980,"**Content Researcher**
Depositphotos

• Researched and curated content collections and PowerPoint presentations for client advertisements, email distribution, and direct publication on the official Depositphotos website

• Partnered with content managers to analyze performance metrics and inform development strategy

• Coordinated advertising initiatives for influencers and major clients including Coca Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy

• Leveraged Jira and CRM systems to streamline workflow and strengthen client relationships

• Managed localized content ensuring alignment with brand tone of voice and product style guidelines


**Contributor Relations Manager**
Depositphotos

• Identified and recruited prominent photographers across EMEA and North America regions

• Collaborated with contributors to develop and optimize portfolios on cloud services

• Designed and led training seminars for new employees


**Teacher of English Language**

• Mentored special needs students navigating physical and psychological challenges

• Developed personalized teaching techniques and lesson plans tailored to individual student needs

• Adapted educational processes to accommodate each student's unique capabilities and learning requirements

• Cultivated strong rapport with students, facilitating knowledge acquisition and meaningful curriculum advancement


**Door-to-Door Sales Agent**
Liberty Power

• Canvassed diverse neighborhoods to promote products and services to prospective customers

• Communicated product features and competitive advantages to drive customer interest

• Negotiated and closed agreements between clients and Liberty Power"
17014,"**RESUME**

**SUMMARY**

English Philology student with four years of academic experience in text editing, writing, and translation. Passionate about social media with demonstrated commitment to exploring and analyzing multiple platforms to extract insights and inspiration. Highly motivated professional eager to build a career in the IT sector, bringing dedication, adaptability, and a commitment to continuous learning.

**SKILLS**

- Text Editing
- Writing
- Translation
- Social Media Analysis
- Platform Research
- Adaptability
- Continuous Learning

**EDUCATION**

English Philology
*Four years of academic experience*"
18230,"# Creative/Art Director | Graphic & UI/UX Designer

**10+ Years of Experience in Branding, Marketing, Advertising & Digital Design**

## Professional Summary

Creative/Art Director and Graphic & UI/UX Designer with over 10 years of experience delivering comprehensive branding, marketing, advertising, and digital design solutions for clients across six countries. Proven track record of building brands from concept to execution while maintaining collaborative partnerships with international stakeholders.

## Core Competencies

- Branding & Identity Development
- Marketing & Advertising Campaigns
- Graphic Design
- Web Design
- Mobile App Design
- UI/UX Design

## Key Achievements

- Developed and launched 20+ brands in Ukraine, guiding projects from initial concept through final implementation
- Built a global client portfolio spanning the USA, Canada, Australia, New Zealand, Austria, and Finland
- Conceived and executed innovative design solutions that drive measurable business growth

## Professional Values

Committed to mutual respect, honesty, integrity, and punctuality in all client and team relationships."
18348,"# PROFESSIONAL SUMMARY

Website, mobile, and graphic designer with over 6 years of commercial experience across multiple agencies. Contributed to the creation of more than 100 website designs, brand identities, and advertising projects. Extensive expertise in UX prototyping, UI design, and motion design for desktop and mobile applications.

# SKILLS

**Design Disciplines**
• Graphic Design: Printed Products, Banners, Illustrations, Icons
• Web Design: Responsive, Adaptive
• Mobile Design: iOS, Android
• Wireframes and Interactive Prototypes
• Atomic Design Principles
• User Personas and User Flows
• HTML and CSS Fundamentals

**Tools & Software**
• Figma: Team Libraries, Auto Layout, Component Properties, Branches
• Adobe Photoshop: Excellent Proficiency
• Adobe Illustrator: Excellent Proficiency
• Adobe After Effects: Confident Proficiency

# PROFESSIONAL OBJECTIVE

Seeking to join a strong team where I can realize my potential through engaging projects and contribute artistic vision to contemporary design."
26715,"# Professional Summary

Accomplished technology leader with 20 years of experience spanning web design, UI/UX, 3D graphics, animation, and product development. Proven track record building and scaling technical teams from the ground up, directing creative output, and delivering full-cycle game development.

# Professional Experience

## Co-Founder & CTO | Outsource Studio

- Founded and scaled studio from inception to 45+ contributors, including 25+ office-based developers and 20+ freelance professionals
- Drove technical strategy and team growth as Chief Technology Officer and Technical Lead
- Directed art and design teams, establishing and maintaining creative quality standards

## Co-Owner | Mobile Game Studio

- Co-founded mobile game development studio with full ownership stake
- Led end-to-end game development: concept development, UI/UX design, visual design, animation, Unity VFX implementation, sound editing, and stakeholder communication

# Core Competencies

**Technical:** Web Design | UI/UX Design | 3D Graphics | Animation | Unity VFX | Sound Editing

**Leadership:** Technical Strategy | Team Building & Scaling | Art Direction | Cross-Functional Team Management

**Product Development:** Full-Cycle Game Development | Concept-to-Launch Delivery | Stakeholder Communication

# Career Objectives

Seeking leadership opportunities that leverage two decades of experience building teams, directing creative vision, and delivering technology products."
26747,"**PROFESSIONAL SUMMARY**

Product Designer with 6+ years of commercial experience spanning startups, fintech, organizational management, crypto, insurance, and healthcare. Expertise in web, mobile, and dashboard applications with end-to-end design capabilities—from hypothesis generation and user research through wireframing, prototyping, and usability testing. Skilled at building design systems from scratch and leading design teams while aligning solutions with business objectives.

**ACHIEVEMENTS**

• 8 Design Awards on Behance
• Honorable Mention, San Francisco Design Week
• Ukrainian Design The Very Best Of recognition
• Led digital home loan product from concept to MVP over 12 months (Australia-based)
• Built comprehensive design system from scratch within 3-person team

**CORE COMPETENCIES**

User Research & Testing | Wireframing & Prototyping | Design System Development | Stakeholder Communication | Team Leadership & Mentorship | Process Flow Design | Low & High Fidelity Design | UI Research & Design | Cross-functional Collaboration

**PROJECT WORKFLOW**

• Partner with stakeholders and product managers to define requirements and priorities
• Conduct user and market research to inform design decisions
• Create functionality maps and process flows
• Develop low and high fidelity wireframes and prototypes
• Execute UI research and design
• Lead team of 8 designers

**LEADERSHIP & COLLABORATION**

• Mentor junior designers through structured guidance and skill development
• Conduct 1-on-1 meetings to identify challenges and growth opportunities
• Provide constructive feedback and ongoing support to team members
• Foster collaborative team environments while enabling independent work"
