,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5
6018,"# WEB & UX/UI DESIGNER

## Professional Summary

Web and UX/UI designer specializing in website redesign, user research, wireframing, visual design, and responsive design. Delivers user-centered solutions that align client objectives with user needs. Collaborative team player with strong communication skills and meticulous attention to detail.

## Skills

- UX/UI Design
- Wireframing & Prototyping
- Visual Design
- User Research & Analysis
- Responsive Design
- User Flow Development

## Project Experience

### Children's Music School — Website Redesign

- Conducted comprehensive analysis of existing website to identify strengths, weaknesses, and improvement opportunities
- Designed detailed wireframes for redesigned landing page featuring news block and prominent call to action
- Developed cohesive visual design with consistent color scheme and typography aligned to brand identity
- Applied responsive design principles ensuring optimal display across all devices
- Created intuitive navigation structure maintaining easy access to key information

### Pet-Saver-Hub — Web Service for Lost & Found Animals

- Conducted user research to identify key pain points in the lost and found pet search process
- Developed comprehensive user flows and wireframes for intuitive interface design
- Integrated interactive elements including map feature for location-based pet searches
- Designed streamlined interface enabling efficient search functionality

## Professional Goals

- Contribute to meaningful projects that positively impact people's lives
- Collaborate with industry professionals to continue developing skills
- Stay current with emerging design technologies and trends
- Gather and apply user feedback to continuously improve user experience"
6021,"# PROFESSIONAL EXPERIENCE

**Head of Design Department**
Facility, Kiev | March 2018 – Present

Lead and optimize design team processes across diverse project types. Define strategic direction for websites, brands, and digital products. Deliver UI/UX design, motion design, logo systems, brand guidelines, and comprehensive brandbooks. Drive creative direction for tenders and offline company initiatives.

**Designer**
Kiev Smart City, Kiev

Conceptualized and visualized the Kiev Smart Card product. Developed dynamic city advertising concepts.

**Designer**
Mastercard, Kiev

Created illustrations and limited edition products for the 2018 UEFA Champions League Final in Kiev. Developed brand activation concept for Ukraine Independence Day 2018.

**Game Designer**
Stampede Games, Kiev

Developed visual concepts and UI for mobile games. Created concept art for game sequel. Contributed to featured, top-charting titles including Evo Explores and .projekt.

# PORTFOLIO

50+ Websites · 30+ Logotypes · 4 Mobile Apps · 3 Games · 1 Social Network

# INDUSTRY RECOGNITION

Published in Medium, MMR.ua, Cases.media, and VC.ru · Judge at CSSDA and Ukraine Creative Week · Awwwards judge candidate · Guest lecturer at Underhub

# OBJECTIVE

Seeking opportunities for career advancement, meaningful projects, collaborative leadership partnerships, and continued professional growth."
6026,"**DESIGN PROFESSIONAL**

---

**SUMMARY**

Design leader with 12+ years of experience delivering 300+ projects across international markets. Founded and scaled a 20-person design studio, building end-to-end operations spanning sales, hiring, management, and project delivery. Trained 150+ students in UI/UX and brand design. Conference speaker at Dribbble and industry events.

---

**CORE COMPETENCIES**

Design Leadership · Product Design · UI/UX Design · Brand Design · Studio Management · Design Education

**TECHNICAL SKILLS**

Frontend: HTML5, CSS3, TypeScript, Vue.js
Backend: Python, Swift

---

**EXPERIENCE**

**CEO & Founder** — Own Design Studio — 2014–Present
Founded and scaled a 20-person design studio. Led end-to-end operations including sales, hiring, management, and delivery of 300+ projects for clients across 11 countries.

**UX Designer** — NDA — 2022

**UX Designer** — Bank BVR — 2021

**UI/UX Design Teacher** — Hillel IT School — 2020
Trained 150+ students in UI/UX and brand design.

**Lead Product Designer** — Innovation Box — 2020

**UI/UX & Brand Designer** — Ardas — 2019

**UI/UX & Brand Designer** — M2E Pro — 2017

**UI/UX & Brand Designer** — Forforce — 2016

**UI/UX & Brand Designer** — Art. Lebedev Studio — 2015

**UI/UX & Brand Designer** — Poster — 2013

**UI/UX & Brand Designer** — le Weekend — 2012

**UI/UX & Brand Designer** — November Design Bureau — 2011

**Graphic Designer** — Freelance — 2006–2010

---

**PROJECT HIGHLIGHTS**

30+ products built from scratch · 30+ mobile applications · 80+ websites · 100+ logos and corporate identities

**INDUSTRIES SERVED**

eCommerce · Finance · Banking · Investments · Marketing · Social Media · Legal · Education · Software Development · NFT · Art · Automotive · Gaming · Construction · Agriculture · Food & Beverage · Fashion · Beauty · Music · Dance · MMA · Medicine · Aerospace · Sports · Technology · Insurance

**INTERNATIONAL REACH**

USA · United Kingdom · Germany · Netherlands · Italy · France · Greece · Estonia · Australia · China · Ukraine

---

**EDUCATION**

Master's Degree in Engineering Design
MBA (in progress)

---

**SPEAKING**

Conference speaker at Dribbble and industry events

---

*Portfolio available upon request.*"
9479,"# GRAPHIC DESIGNER | LEAD GRAPHIC DESIGNER

## PROFESSIONAL SUMMARY

Results-driven Graphic Designer with over four years of experience specializing in visual identity development, key visuals, social media content, and print design. Proven leadership in executing company-wide brand redesigns and developing cross-platform visual strategies. Skilled in integrating custom 3D elements into design projects. Formally trained in UI/UX with a strong foundation in user-centered design principles.

## SKILLS

**Expert:** Adobe Photoshop, Adobe Illustrator
**Proficient:** Adobe InDesign, Figma
**Working Knowledge:** Blender, After Effects

## PROFESSIONAL EXPERIENCE

### Graphic Designer & UI/UX Designer | QA Madness
*November 2022 – Present*

- Spearheaded key deliverables for a company-wide global redesign initiative
- Led end-to-end website redesign, aligning visual direction with updated brand vision
- Developed and implemented a refreshed visual style system for corporate presentations
- Transformed social media presence across LinkedIn and Instagram with cohesive branded materials
- Built and launched company page for DOU
- Elevated design output and visual storytelling through original 3D element creation and integration

### Graphic Designer | Kronas
*August 2020 – February 2022*

- Designed logos, brand identities, and print collateral for newly launched company brands
- Produced 3–6 advertising key visuals monthly across web, social media, and print channels
- Conceptualized and executed a new visual identity for the company Instagram profile
- Created multi-page catalogs and brochures using Adobe InDesign
- Refreshed YouTube channel branding and designed cohesive video cover artwork
- Designed custom sticker packs for Telegram and Viber platforms
- Developed comprehensive trade hall design including branded exhibition stands and wayfinding signage

### Graphic Designer | Design Studio ToTop
*October 2019 – August 2020*

- Created logos and complete brand identity systems for clients across diverse industries
- Designed outdoor advertising campaigns including billboards, citylights, and vehicle wraps
- Produced high-fidelity product visualizations using Adobe Photoshop
- Developed print materials including calendars, business cards, postcards, and stickers
- Designed multi-page catalogs and brochures for client projects

## EDUCATION

**UI/UX Course** | Beetroot Academy"
16980,"**PROFESSIONAL EXPERIENCE**

**Depositphotos | Content Researcher**

Developed diverse content including curated collections and PowerPoint presentations for client advertising campaigns, email distribution, and publication on the official Depositphotos website.

Partnered with content managers to analyze performance metrics and drive ongoing development initiatives.

Coordinated advertising partnerships with influencers and major global brands including Coca-Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy.

Managed projects and client relationships through Jira and CRM platforms.

Maintained localized content consistency aligned with brand tone of voice and product style guidelines.

**Depositphotos | Contributor Relations Manager**

Identified and recruited talented photographers across EMEA and North American markets.

Collaborated with contributors to optimize and expand portfolios on cloud-based platforms.

Designed and delivered training seminars to onboard new team members.

**Teacher of English Language**

Delivered specialized instruction to students with physical and psychological needs.

Developed individualized teaching methodologies and customized lesson plans tailored to each student's unique requirements.

Adapted educational approaches to accommodate diverse learning capabilities, driving measurable curriculum advancement.

Built strong rapport with students, fostering engagement and accelerating academic progress.

**Liberty Power | Door-to-door Sales Agent**

Executed direct sales outreach across residential territories to promote products and services.

Delivered compelling product presentations emphasizing competitive advantages and key features.

Negotiated and closed customer agreements, successfully converting prospects into clients."
17014,"# RESUME

## Professional Profile

Detail-oriented English Philology student with four years of academic training in linguistic analysis, text editing, writing, and translation. Exceptional written communication skills combined with extensive knowledge of social media platforms and current digital trends. Self-driven professional with a growth mindset, seeking to apply linguistic expertise and digital fluency to opportunities in the IT sector.

## Education

**English Philology** | Four Years of Study

## Core Competencies

- Text Editing & Revision
- Writing & Content Development
- Translation
- Social Media Strategy
- Cross-Platform Content Research
- Analytical Content Evaluation

## Key Strengths

- Precision and clarity in written communication
- Analytical approach to content structure and messaging
- Strong capacity for independent learning and skill development
- Adaptability to evolving digital environments and technologies"
18230,"# Creative/Art Director | Graphic & UI/UX Designer

## Professional Summary

Award-winning Creative/Art Director and Graphic/UI/UX Designer with over 10 years of experience delivering strategic branding, marketing, advertising, and digital design solutions for international clients across the USA, Canada, Australia, New Zealand, Austria, Finland, and Ukraine.

## Core Expertise

- Brand Strategy & Identity Development
- Graphic Design & Visual Communication
- UI/UX Design
- Web & Mobile App Design
- Marketing & Advertising Campaigns

## Key Achievements

- Conceived, developed, and successfully launched more than 20 brands in Ukraine
- Delivered projects for clients across seven countries, establishing a proven international track record

## Approach

I develop and execute innovative creative solutions that drive measurable business growth. My collaborative process is grounded in mutual respect, honesty, integrity, and punctuality—ensuring seamless partnerships and reliable delivery."
18348,"# PROFESSIONAL SUMMARY

Versatile designer with over 6 years of commercial agency experience, contributing to more than 100 website designs, brand identities, and advertising campaigns. Specializing in UX prototyping, UI design, and motion design for desktop and mobile applications.

---

# SKILLS

**Design Disciplines**
- Graphic Design: Print Collateral, Banners, Illustrations, Icons
- Web Design: Responsive & Adaptive Layouts
- Mobile Design: iOS & Android Platforms
- Motion Design

**UX/UI Expertise**
- Wireframing & Interactive Prototyping
- Atomic Design Methodology
- User Personas & User Flow Development

**Technical Knowledge**
- HTML & CSS Fundamentals

---

# TOOLS

**Primary**
- Figma: Team Libraries, Auto Layout, Component Properties, Branches

**Adobe Creative Suite**
- Photoshop: Expert
- Illustrator: Expert
- After Effects: Proficient

---

# OBJECTIVE

Seeking to join a dynamic team where I can apply my artistic vision and contribute meaningfully to innovative design projects."
26715,"# Senior Creative Director & Digital Design Leader

## Professional Summary

Creative leader with 20 years of expertise spanning web design, UI/UX, 3D graphics, animation, and product development. Entrepreneurial track record of building creative teams from the ground up and scaling operations to sustained success.

---

## Core Competencies

**Creative Direction** | **UI/UX Design** | **3D Graphics & Animation** | **Web Design & Development** | **Team Leadership** | **Product Development** | **Unity VFX** | **Art Direction** | **Sound Editing**

---

## Professional Experience

### Co-Founder & Creative Lead
*Mobile Game Studio*

- Directed full-cycle game development from initial concept through market release
- Led visual strategy encompassing UI/UX design, visual design, and animation production
- Created Unity VFX assets and directed sound editing
- Coordinated cross-functional teams to deliver completed projects on schedule

### Founder, CTO & Technical Lead
*Creative Outsource Studio*

- Founded and scaled creative outsource studio to sustained, profitable operation
- Built and managed in-house team of 25 developers
- Cultivated network of 20+ freelance collaborators
- Provided art direction and design leadership across client engagements

---

## Technical Proficiencies

Web Design | UI/UX | 3D Graphics | Animation | Unity VFX | Sound Editing | Product Development

---

## Leadership Strengths

Team Building | Art Direction | Cross-Functional Coordination | Freelance Network Management | Studio Operations"
26747,"# Senior Product Designer

## Professional Summary
Product designer with 6+ years of commercial experience spanning startups, fintech, organizational management, crypto, insurance, and healthcare. Specialized in web, mobile, dashboard, and web application design. Expert in hypothesis generation, user research, wireframing, prototyping, usability testing, design system creation, and design team leadership. Driven to deliver design solutions that achieve measurable business results.

## Awards & Recognition
- 8 Design Awards, Behance
- Honorable Mention, San Francisco Design Week
- Featured in Ukrainian Design: The Very Best Of

## Key Experience
- Led end-to-end development of a digital home loan product for the Australian market, guiding the project from initial concept through MVP delivery over 12 months
- Architected and implemented a comprehensive design system from the ground up within a three-person team
- Directed a cross-functional design team of 8 professionals

## Design Process
- Stakeholder engagement and product manager collaboration
- User research and competitive analysis
- Functionality mapping and process flow architecture
- Low and high-fidelity wireframe development
- UI research and visual design execution

## Leadership & Collaboration
- Mentored junior designers, guiding their professional development
- Conducted regular 1:1 meetings to identify challenges and establish growth trajectories
- Provided continuous feedback and collaborative support to team members"
