id,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo
1747,"For the last 8 years I have been a self-employed entrepreneur. During this time, I opened a chain of coffee shops. Sold them. Opened an export-oriented production using 3D printing technologies. 

HARD SKILLS
- Prioritization and goal setting
- Project planning
- Organization
- Budget management
- Delegation. Ability to monitor task performance.
- Knowledge of SCRUM methodologies. Understanding of Agile, Scrum, Kanban, WaterFall.
- Game design. Theoretical foundations, basic understanding of UE4 and Unity
- Blender – Junior – Modeling, UV mapping, animation
- Linux node operating

SOFT SKILLS
- Critical thinking
- Decision-Making
- Time Management
- Team management
- Communication
- Coaching
- Risk Management
- The ability to identify the needs of the customer and the user of the product. The ability to reach consensus on the implementation of needs by the project.
- English level – Intermediate (B1)"
1784,"During my professional journey, I have gained diverse experience across various domains. I have worked as a 3D artist, utilizing my creative abilities to craft visually stunning and realistic 3D models and animations. As a graphic designer, I have employed my design skills to create compelling visual assets for different projects.

In addition to my expertise in 3D art and graphic design, I have ventured into videography and video production. I have captured and edited high-quality videos, employing my keen eye for detail and technical proficiency to create impactful visual narratives.

Furthermore, I have delved into digital marketing, strategizing and executing effective marketing campaigns. I am well-versed in utilizing digital marketing tools and platforms to drive engagement, enhance brand awareness, and generate leads.

Apart from my creative pursuits, I have organized notable events, including a music art festival in Azerbaijan and the DokuBaku International Documentary Film Festival. These experiences have allowed me to contribute to the promotion and celebration of diverse cultural and artistic expressions.

Moreover, I have gained valuable experience working with start-ups, honing my entrepreneurial mindset and adapting to fast-paced environments. This experience has equipped me with a versatile skill set and a deep understanding of the challenges and opportunities that start-ups face.

Overall, my work experience encompasses a broad range of disciplines, including 3D art, graphic design, video production, digital marketing, event organization, and start-up engagement. I am continuously seeking new opportunities to expand my knowledge, skills, and contributions within these areas."
2476,"During my role as a Client Success Manager, I was responsible for managing large US-based accounts and overseeing the growth and health of 3-4 enterprise-level accounts simultaneously. I collaborated with engineering teams totaling 30-50 individuals to implement strategies and processes that resulted in account and team growth. I mentored and inspired team members, fostering talent development and learning opportunities. My responsibilities included managing multiple accounts with varying engagement models, cultivating client relationships, analyzing business pain-points, assisting with strategic goal setting, initiating opportunities, drafting proposals and SOWs, extending partnerships with existing clients, conducting executive reporting and business reviews, analyzing project scopes, managing risks and issues, coaching teams, and applying practical knowledge of software development methodologies and life cycles. I have a strong IT background with experience in platforms such as Salesforce, IBM Websphere, and Magento. I am passionate about collaborating with expert teams to help merchants elevate their eCommerce business and enjoy communicating with and supporting both internal teams and clients to build trust and partnership relations."
2515,"Key responsibilities along the most of the projects in my experience:

- Maintaining trustful and long-lasting business relations with the customers
- Troubleshooting customers' issues
- Coordinating the projects of clients' connection and interaction with our online platform and services
- Communications with the developers' team
- Sales and retention activities
- Dealing with sales documentation: agreements, contracts, invoices
- Proficient in Zoho, Jira, Confluence, SAP, 1C, etc.

Currently seeking opportunities to further develop in the project management direction."
2517,"Managing up to 15 projects simultaneously, cross-selling and upselling solutions to clients by defining their needs. 
Monitoring work processes, controlling timing and terms of work, communicating and providing regular updates to stakeholders on progress and any potential issues or risks. 
Building long-term relationships with clients. 
Working with inbound requests, contacting new leads via outbound, presenting proposals, completing sales cycle, and preparing agreements."
2529,"I am a passionate, analytical individual seeking opportunities for growth and personal development. My recent work experience has focused on communication, teamwork, and project management, areas in which I am looking to further my career. I believe in building mutually respectful and honest relationships to achieve the best results. I am excited about the possibility of working together. Thank you for your consideration."
2538,"- Successfully closed the eBay expansion project
- Implemented supply chain changes resulting in significant cost savings for the company
- Negotiated with Asian suppliers to improve product quality, leading to noticeable enhancements
- Managed re-import to the US to avoid unnecessary taxes
- Collaborated with Amazon and Asian partners for over 2 years on various projects including market expansion, legal document preparation, EU organization registration, product quality improvement, supply chain enhancement, and strategic planning
- Demonstrated ability to adapt to diverse projects and learn new information to successfully close them
- Skilled in market research, supplier negotiation, cost-saving plan development, and supply chain execution
- Possess critical thinking skills and ability to remain calm in high-pressure situations
- Seeking challenging opportunities to continue driving results and growth in a dynamic work environment"
2551,"Based on a wide practical background and understanding of business specific features, I have understanding of the whole cycle of the SDLC and deep knowledge in Data Privacy, Intellectual Property, Commercial and Contract law. I've acquired solid managerial and recruitment experience, developed organizational skills, including attention to detail, multitasking and good knowledge of different managerial methodologies and the ability to adapt them to actual circumstances. I'm able to build relationships within a team and work with international companies/customers. I’m a professional with 3+ years of in-house legal practice in IT Product Company. Recently I've decided to take the next step as Account Manager.

Experience:
Project Manager Assistant in Vayosoft Team
- Managed Contracts/ RFP/RFI
- Collaborated with procurement, participated in negotiations with suppliers, evaluated contractors according to company’s procedures
- Organized team meetings, follow-ups, action lists, prepared reports and presentations for upper-management
- Participated in creation of new projects from the scratch through MVP to the improvement of a working application

Legal Counsel in Benish Group
- Managed relationships with colleagues regarding corporate policy, analyzed and minimized legal risks within the company, provided recommendations on their application
- Collaborated with internal and external teams to oversee activities reducing legal risks
- Communicated with customers, business partners, service providers from a variety of jurisdictions
- Prepared Rules for the provision of services (offers), Privacy Policies, Terms of Use for Applications under GDRR rules
- Participated in Product development, optimization of business processes of the entire group of companies
- Implemented legal compliance in various areas of business operations
- Organized and maintained contractual activities, including legal expertise, drafting of contracts texts in accordance to local legislation and company internal standards and procedures"
2553,"Experience:
- Business Development Manager with experience in project management for outstaff projects
- People management including 1-1 meetings, performance reviews, and monitoring sprint process
- Leadership and motivation of team members to maintain a friendly atmosphere
- Search and employment of new employees for technical and non-technical positions
- Account management of ongoing projects including negotiation and conflict resolution with customers
- Company presentation and preparation of estimation documents
- Communication with partner companies and providing customer support from initial contact to closing
- Search for outstaff projects and preparation of documentation for deals

Objective:
Seeking a position as a skilled project manager in an outsource company to further develop skills in the B2B field with foreign customers."
2554,"- 4 years of successful B2B international communication and sales experience
- Excellent oral and written presentational skills
- Qualities of team-building and public speaking
- Strong communicational, management, problem-solving skills
- 4 years B2B international communication (account and sales experience)
- Master's degree in foreign economics
- Basic skills in web & mobile UI/UX design and prototyping
- Understanding of Agile methodologies in SDLC
- Completed courses in Business Analytics and Web & Mobile UI/UX design
- Proficient in CRM, Google Docs, Figma, Axure RP, Coggle, Adobe Ps, Canva, Trello, Slack
- Seeking account or junior PM job opportunity in development/design field
- Interested in business solutions finding, web & mobile UI/UX decisions, prototyping, cross-cultural communication
- Looking to join a team of creative and determined individuals to work on exciting and challenging tasks
- Open to location and space preferences but not critical."
