Unnamed: 0,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o Google Score
0,84.86
1,89.504
2,85.077
3,84.152
4,81.59
5,85.836
6,86.501
7,87.959
8,86.824
9,82.241
10,88.723
11,82.472
12,85.852
13,87.353
14,84.777
15,89.352
16,87.301
17,84.433
18,86.708
19,84.231
20,83.824
21,82.378
22,88.339
23,87.399
24,83.199
25,90.428
26,82.048
27,88.478
28,84.461
29,84.72
30,88.273
31,87.086
32,88.568
33,85.671
34,88.543
35,86.939
36,86.176
37,87.358
38,88.238
39,84.93
40,87.654
41,84.852
42,85.209
43,87.69
44,86.08
45,88.434
46,86.69
47,89.397
48,87.188
49,85.443
50,85.711
51,87.763
52,86.024
53,88.643
54,85.133
55,88.881
56,88.068
57,87.238
58,88.381
59,85.322
60,88.378
61,87.382
62,85.91
63,87.919
64,88.36
65,86.432
66,87.388
67,85.056
68,90.092
69,87.267
70,82.52
71,85.836
72,85.026
73,85.945
74,87.149
75,87.054
76,87.336
77,85.955
78,87.665
79,86.92
80,86.407
81,86.897
82,86.684
83,90.541
84,84.645
85,85.263
86,84.806
87,87.565
88,87.808
89,83.482
90,84.753
91,88.591
92,87.171
93,83.368
94,87.977
95,88.348
96,86.178
97,87.356
98,85.919
99,87.481
100,89.341
101,82.904
102,88.243
103,87.675
104,89.127
105,85.992
106,87.563
107,84.06
108,89.367
109,89.128
110,88.435
111,82.863
112,84.187
113,84.973
114,87.825
115,87.29
116,88.81
117,87.22
118,88.095
119,88.317
120,89.181
121,85.402
122,83.915
123,86.941
124,87.379
125,89.405
126,89.096
127,86.662
128,82.994
129,85.044
130,84.742
131,87.371
132,88.422
133,85.427
134,85.02
135,84.791
136,87.304
137,87.62
138,87.428
139,87.253
140,86.133
141,87.746
142,87.469
143,87.266
144,84.628
145,86.567
146,83.68
147,83.93
148,87.884
149,85.492
150,88.085
151,87.255
152,85.43
153,86.981
154,86.309
155,86.266
156,86.604
157,86.847
158,86.575
159,86.825
160,87.516
161,86.326
162,87.616
163,85.643
164,89.38
165,88.816
166,86.762
167,86.222
168,84.791
169,81.762
170,84.265
171,83.892
172,83.972
173,86.354
174,86.653
175,87.286
176,87.606
177,82.938
178,85.7
179,86.313
180,85.961
181,83.879
182,82.122
183,84.931
184,87.588
185,88.223
186,86.142
187,88.893
188,83.961
189,84.895
190,87.329
191,85.365
192,85.444
193,87.376
194,86.952
195,87.513
196,87.391
197,88.241
198,88.043
199,83.436
200,83.777
201,87.508
202,87.09
203,87.193
204,87.663
205,88.388
206,87.831
207,88.606
208,85.543
209,86.007
210,86.871
211,86.584
212,88.118
213,88.987
214,86.489
215,85.899
216,87.958
217,87.058
218,87.644
219,87.02
220,81.439
221,86.603
222,84.825
223,85.007
224,85.472
225,87.333
226,85.277
227,86.14
228,84.255
229,89.34
230,87.516
231,85.459
232,86.257
233,85.996
234,83.643
235,83.708
236,84.931
237,87.661
238,86.979
239,81.915
240,86.674
241,86.99
242,88.89
243,86.27
244,87.112
245,86.702
246,87.539
247,87.205
248,86.057
249,86.526
250,88.125
251,87.108
252,86.751
253,85.256
254,85.889
255,86.226
256,87.532
257,87.632
258,87.58
259,86.808
0,87.704
1,85.149
2,85.208
3,83.866
4,87.407
5,85.276
6,83.317
7,81.54
8,84.373
9,84.58
10,86.343
11,82.335
12,86.512
13,82.658
14,84.217
15,83.296
16,86.835
17,84.356
18,83.346
19,83.419
20,84.134
21,87.69
22,87.283
23,86.697
24,84.135
25,84.807
26,89.192
27,83.919
28,86.491
29,83.789
30,85.518
31,83.008
32,87.039
33,85.5
34,84.652
35,82.927
36,85.012
37,86.129
38,86.894
39,86.259
40,85.892
41,82.723
42,86.047
43,86.462
44,87.468
45,85.331
46,86.466
47,87.071
48,84.915
49,85.45
50,82.049
51,85.719
52,83.916
53,80.061
54,85.073
55,83.672
56,85.024
57,85.139
58,84.652
59,82.706
60,83.322
61,82.802
62,84.568
63,85.595
64,81.273
65,84.788
66,86.484
67,84.254
68,84.572
69,84.262
