Unnamed: 0,Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo Google Score
0,83.625
1,90.345
2,80.652
3,84.413
4,87.358
5,85.098
6,86.069
7,83.645
8,88.415
9,82.301
10,87.678
11,83.283
12,85.769
13,86.232
14,85.325
15,89.799
16,87.429
17,79.069
18,80.305
19,86.17
20,85.431
21,83.987
22,84.412
23,86.434
24,82.278
25,84.461
26,83.146
27,84.497
28,81.372
29,84.392
30,87.67
31,85.707
32,86.585
33,85.159
34,87.817
35,85.909
36,85.712
37,87.096
38,87.799
39,85.919
40,86.919
41,85.064
42,80.398
43,86.293
44,87.491
45,88.24
46,76.023
47,88.61
48,88.139
49,85.445
50,85.236
51,87.646
52,83.995
53,87.322
54,86.541
55,86.946
56,86.672
57,83.6
58,87.401
59,87.356
60,88.525
61,86.127
62,86.222
63,87.289
64,88.729
65,85.734
66,86.612
67,82.815
68,90.295
69,86.407
70,82.543
71,84.372
72,85.013
73,86.776
74,87.272
75,87.227
76,85.872
77,85.994
78,84.847
79,87.506
80,83.855
81,85.515
82,87.613
83,89.512
84,84.79
85,85.154
86,83.589
87,86.833
88,88.564
89,83.782
90,84.734
91,86.588
92,86.862
93,83.993
94,83.733
95,86.984
96,82.742
97,87.974
98,85.907
99,87.708
100,90.777
101,83.759
102,87.396
103,86.708
104,85.625
105,86.283
106,88.201
107,82.336
108,88.559
109,88.884
110,89.165
111,83.28
112,83.622
113,84.871
114,89.609
115,87.443
116,84.672
117,87.22
118,87.466
119,88.373
120,89.068
121,85.79
122,84.294
123,86.663
124,88.093
125,88.421
126,84.927
127,86.456
128,82.895
129,85.032
130,86.163
131,86.67
132,88.021
133,86.762
134,85.441
135,84.696
136,87.356
137,87.955
138,88.41
139,86.533
140,85.688
141,85.779
142,87.058
143,83.893
144,80.403
145,86.632
146,83.071
147,85.346
148,82.77
149,85.164
150,85.669
151,82.398
152,85.426
153,86.538
154,80.785
155,85.673
156,86.466
157,87.43
158,85.796
159,86.274
160,86.928
161,85.886
162,87.859
163,85.981
164,88.003
165,87.221
166,83.004
167,85.883
168,85.017
169,85.129
170,83.791
171,84.88
172,83.239
173,82.956
174,86.716
175,87.246
176,82.993
177,87.237
178,81.769
179,80.579
180,85.264
181,83.147
182,82.789
183,84.753
184,89.034
185,87.901
186,85.252
187,87.863
188,81.902
189,83.651
190,87.335
191,87.351
192,86.099
193,90.066
194,86.806
195,88.496
196,87.006
197,86.243
198,87.946
199,79.207
200,88.869
201,85.26
202,82.567
203,86.776
204,88.556
205,85.545
206,88.022
207,88.51
208,85.427
209,86.73
210,84.371
211,86.537
212,88.716
213,89.255
214,86.801
215,85.934
216,86.872
217,86.93
218,88.59
219,86.769
220,86.948
221,86.432
222,81.517
223,81.132
224,85.535
225,83.5
226,85.613
227,86.629
228,85.027
229,87.794
230,87.565
231,87.684
232,85.672
233,85.601
234,83.975
235,83.569
236,83.326
237,87.339
238,86.692
239,86.16
240,86.616
241,87.024
242,87.186
243,84.782
244,88.949
245,85.719
246,85.233
247,86.94
248,84.523
249,86.702
250,87.09
251,86.848
252,85.952
253,85.052
254,85.342
255,85.553
