,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5 DoorDash Score
6018,78.178
6021,79.278
6026,76.753
9479,78.058
16980,78.8
17014,75.74
18230,76.993
18348,80.767
26715,81.9
26747,81.99
29788,77.535
29835,79.113
30606,74.423
30845,80.836
32072,77.512
46443,82.44
46506,76.984
50300,81.857
51419,77.845
53971,77.876
53972,77.895
53973,76.216
53974,76.582
53975,77.919
53976,76.965
53977,81.646
53978,76.877
53979,78.132
53981,78.419
54796,77.644
54797,78.865
54798,79.326
54799,77.385
54800,75.736
56453,79.825
56528,76.623
56542,75.757
56543,74.689
56544,77.463
56545,78.299
56618,79.433
56619,76.83
56629,77.541
56630,76.439
56631,80.923
56632,80.259
56633,81.151
56634,74.64
56635,78.672
56637,76.006
56638,78.578
56639,75.771
56641,78.164
56642,78.28
56643,83.444
56644,77.103
56645,78.219
56646,77.275
56647,79.745
56648,78.388
56649,76.75
56650,78.215
56651,77.017
56652,80.962
56653,78.311
56654,78.88
56656,77.25
56657,76.04
56661,79.767
56662,79.591
56725,77.323
56795,75.186
56796,73.608
56797,77.985
56798,75.087
56799,76.635
56800,78.776
56801,78.932
56802,75.528
56803,81.635
56804,78.381
56805,77.626
56807,81.919
56809,79.18
56859,76.374
56860,78.139
56861,77.746
56862,77.959
57384,82.039
57400,81.046
62042,80.775
63086,76.099
63087,80.596
83710,77.773
83711,75.048
86666,80.035
87779,81.948
97622,78.64
98134,81.147
98135,78.827
98136,78.232
98137,76.581
98138,77.942
98171,76.921
98172,76.287
98173,80.291
98245,77.811
98250,80.904
98251,77.781
98252,79.52
98253,81.048
98254,78.59
98255,80.99
98256,78.316
98257,81.926
98258,80.636
98259,80.758
98260,81.276
98261,81.054
98262,79.245
98263,80.089
98264,83.634
98265,84.12
98266,83.541
98267,77.659
98268,77.34
98269,79.855
98270,80.555
98271,78.976
98272,80.096
98273,79.193
98274,79.044
98275,79.012
98276,78.879
98277,78.397
98278,78.216
98279,80.822
98280,79.337
98281,80.677
98282,79.801
98283,83.659
98284,78.16
98285,78.767
98286,80.011
98287,82.865
98288,78.874
98289,77.082
98290,76.486
98291,79.032
98292,79.66
98293,78.921
98294,78.53
98295,78.15
98296,77.905
98297,79.675
98298,80.474
98299,78.28
98300,76.818
98301,75.158
98302,80.771
98303,77.933
98304,77.753
98305,80.995
98306,78.458
98307,76.877
98308,78.376
98309,80.051
98310,81.356
98311,78.427
98312,79.635
98313,78.334
98314,80.962
98315,78.846
98316,84.282
98317,76.434
98318,79.737
98319,80.319
98320,77.819
98321,77.804
98322,77.054
98323,79.035
98324,77.528
98325,78.155
98326,78.286
98327,77.547
98328,80.011
98329,79.277
98330,80.526
98331,76.809
98332,77.15
98333,76.853
98334,81.405
98335,81.21
98336,77.976
98337,79.577
98338,79.682
98339,74.11
98340,75.748
98341,79.757
98342,81.361
98343,74.906
98344,78.887
98345,79.561
98346,77.137
98347,78.346
98348,77.133
98349,80.088
98350,79.627
98351,75.823
98352,75.501
98353,78.626
98354,77.488
98355,80.311
98356,78.37
98357,82.455
98358,79.772
98359,77.114
98360,78.142
98361,79.234
98362,77.698
98363,77.496
98364,76.383
98365,76.856
98366,79.152
98367,79.516
98368,76.621
98369,75.066
98370,79.403
98371,78.456
98372,80.89
98373,81.936
98374,78.974
98375,80.825
98376,78.533
98377,79.64
98378,77.739
98379,79.708
98380,80.125
98381,75.684
98382,77.983
98383,77.628
98384,80.587
98385,77.528
98386,79.259
98387,80.568
98388,81.824
98389,80.224
98390,80.263
98391,78.791
98392,76.953
98393,77.355
98394,75.336
98395,77.951
98396,76.356
98397,77.372
98398,77.466
98399,76.071
98400,77.832
98401,78.386
98402,83.254
1747,79.234
1784,79.372
2476,82.564
2515,83.231
2517,81.741
2529,82.185
2538,83.281
2551,82.407
2553,82.993
2554,82.698
2555,82.369
2556,81.651
2577,82.482
2582,81.149
2583,82.735
2584,82.106
2585,82.972
2586,82.606
2587,82.037
2588,80.721
2589,82.66
2590,83.889
2591,82.028
2592,86.118
2594,83.468
2595,82.456
2597,85.98
2645,83.176
2654,82.6
2655,82.184
2656,83.236
2657,79.204
2658,81.477
2659,80.999
2660,83.014
2741,79.511
2766,79.796
2793,83.395
2810,79.988
2824,82.061
3002,83.096
3021,83.126
3093,82.218
3105,81.594
3113,78.858
3118,82.626
3120,81.62
3122,82.513
3123,80.695
3133,82.912
3134,83.613
3135,84.886
3136,83.237
3137,82.92
3138,82.057
3139,81.034
3140,80.191
3141,82.343
3142,82.339
3143,82.048
3144,79.071
3145,79.111
3146,79.08
3147,80.753
3148,80.79
3149,81.848
3150,82.092
3153,80.643
3155,79.041
3156,80.155
3157,80.538
3158,80.247
