id,original_cvs resumes,haiku_google_ux resumes,gemini_flash_lite_google_ux resumes,gemini_pro_google_ux resumes,opus_google_ux resumes,gemini_flash_google_ux resumes,sonnet_google_ux resumes,True
1747,0.8670461,0.85278773,0.84614736,0.8620357,0.8445086,0.8633305,0.87357235,0
1784,0.8285054,0.8127658,0.8095082,0.8465195,0.79797566,0.8551071,0.807758,0
2476,0.8900116,0.8812695,0.8666843,0.8983636,0.8911273,0.87327194,0.86716366,0
2515,0.86512005,0.87257755,0.8426334,0.8484059,0.8852089,0.8803777,0.86475426,0
2517,0.85117435,0.8700526,0.87567586,0.851197,0.8624855,0.8672057,0.8702219,0
2529,0.83344495,0.86275524,0.8304907,0.8428105,0.84086144,0.8426037,0.8396642,0
2538,0.86645854,0.8433736,0.87811863,0.8693572,0.866846,0.84804153,0.86854595,0
2551,0.8642418,0.87933606,0.8785626,0.8909578,0.898846,0.86679,0.8562841,0
2553,0.85661566,0.88620865,0.87458605,0.8711183,0.8634828,0.8718236,0.8588345,0
2554,0.8483356,0.8519664,0.80416375,0.83844596,0.8024397,0.82950747,0.8464836,0
2555,0.795359,0.8036587,0.8019564,0.821853,0.81643856,0.84952766,0.784933,0
2556,0.8195891,0.83509564,0.834989,0.8584115,0.8439072,0.83101255,0.84320295,0
2577,0.8765625,0.8794861,0.86240655,0.9037888,0.88345325,0.87096983,0.87584955,0
2582,0.80512565,0.8548254,0.85323673,0.8699669,0.8582568,0.8608259,0.8508773,0
2583,0.82784677,0.8423914,0.8370544,0.8354861,0.8445641,0.86207646,0.8244931,0
2584,0.8832773,0.88512945,0.87407583,0.864818,0.8679878,0.9001351,0.8890833,0
2585,0.8538586,0.8349321,0.82084,0.8424524,0.83223844,0.84865034,0.8407593,0
2586,0.85742444,0.8640094,0.8878006,0.8515918,0.8590534,0.872388,0.8661512,0
2587,0.8147562,0.8223282,0.80417717,0.83535063,0.8094845,0.84549004,0.82746524,0
2588,0.86025,0.8838212,0.84612364,0.86968845,0.87977874,0.876934,0.88146293,0
2589,0.88578635,0.8806203,0.85766494,0.8661338,0.8881283,0.8755571,0.882501,0
2590,0.84511566,0.8535406,0.83063644,0.86981356,0.8512935,0.8733305,0.85836357,0
2591,0.8347032,0.85810983,0.835133,0.86224353,0.8778328,0.86014205,0.87878466,0
2592,0.8289002,0.86252636,0.8692109,0.8831699,0.86534256,0.8631533,0.8531436,0
2594,0.8294232,0.8489496,0.8661462,0.8512707,0.8586697,0.82420635,0.8283898,0
2595,0.77076805,0.8175156,0.7863537,0.8453996,0.7873121,0.80782485,0.80656,0
2597,0.9040507,0.89393586,0.8882989,0.9052435,0.8885743,0.88314223,0.89460313,0
2645,0.8376616,0.83211595,0.83251935,0.8305816,0.8470845,0.8475515,0.83889735,0
2654,0.85553414,0.83827144,0.83666515,0.8589253,0.8565978,0.89120454,0.85201436,0
2655,0.87124294,0.852948,0.83828276,0.86073065,0.85475886,0.8568714,0.8815636,0
2656,0.82107806,0.82396233,0.8659714,0.85494125,0.85094076,0.8593163,0.8335519,0
2657,0.786547,0.80086565,0.80055207,0.8247172,0.81479055,0.8483909,0.823047,0
2658,0.8342012,0.83512896,0.8295968,0.84273255,0.8462919,0.8636663,0.8581663,0
2659,0.8048557,0.80981004,0.7703282,0.8535855,0.8296374,0.8453169,0.8075186,0
2660,0.8132871,0.84541285,0.7971114,0.85530597,0.82335496,0.8525353,0.8374198,0
2741,0.81387657,0.8386295,0.8294747,0.8289228,0.8032184,0.8276395,0.8193363,0
2766,0.83081454,0.8649372,0.87267846,0.87341183,0.86245775,0.8816237,0.8764205,0
2793,0.867027,0.8625161,0.85424745,0.8585087,0.8320803,0.8738321,0.8247477,0
2810,0.8344412,0.8387793,0.83954406,0.83690464,0.83753806,0.8612895,0.8270957,0
2824,0.84722483,0.8752518,0.8510242,0.8402785,0.8227826,0.8447344,0.8597508,0
3002,0.8165206,0.86676955,0.8491084,0.844232,0.8553314,0.86057043,0.82953453,0
3021,0.8377304,0.8373755,0.7957556,0.85521334,0.8241282,0.86760247,0.8671271,0
3093,0.8622755,0.8850162,0.8628521,0.89377606,0.8814175,0.8881212,0.89188796,0
3105,0.90316683,0.887627,0.88717735,0.8688645,0.89045924,0.86838955,0.90846235,0
3113,0.80617887,0.8162187,0.7924706,0.8191966,0.8318549,0.83038056,0.8126331,0
3118,0.82301414,0.8269264,0.86784124,0.84822625,0.84386975,0.8866853,0.8170073,0
3120,0.7711218,0.8060014,0.81976676,0.8053956,0.82021844,0.7966546,0.8281057,0
3122,0.8959418,0.8954015,0.88833106,0.88556325,0.89290273,0.88773876,0.8957782,0
3123,0.8228147,0.86799467,0.85280204,0.8534355,0.8525897,0.87668127,0.85162306,0
3133,0.8692981,0.89057755,0.87274766,0.8782052,0.8765491,0.89619875,0.87238485,0
3134,0.8787253,0.9042878,0.87568355,0.8901372,0.9137882,0.89165777,0.8931372,0
3135,0.87871623,0.8772218,0.86098224,0.8762732,0.8804296,0.8641464,0.86775315,0
3136,0.81823766,0.88162327,0.83802134,0.8528905,0.8821953,0.8793702,0.86145675,0
3137,0.87268054,0.8460525,0.87453836,0.88787353,0.8977162,0.87893,0.86933964,0
3138,0.8263556,0.8099141,0.83698076,0.84478956,0.87280333,0.8927217,0.8671772,0
3139,0.86727273,0.8514776,0.8720168,0.8822873,0.8745267,0.8756694,0.8623674,0
3140,0.88344514,0.8713916,0.88076997,0.8705508,0.8655024,0.8653785,0.86132467,0
3141,0.80440986,0.82069635,0.83272827,0.85546714,0.846652,0.8546194,0.77947426,0
3142,0.8750624,0.8947128,0.8777549,0.88834226,0.8865927,0.8655422,0.8766652,0
3143,0.87675196,0.86045134,0.8748822,0.8747339,0.89008737,0.86483705,0.87998277,0
3144,0.8072184,0.8532622,0.8828767,0.8655778,0.83519804,0.840677,0.8272847,0
3145,0.8266345,0.83721226,0.766621,0.8197253,0.85884595,0.8234248,0.8317256,0
3146,0.8721714,0.866325,0.8339985,0.85185957,0.84064126,0.8634449,0.86327696,0
3147,0.84753644,0.864351,0.8654044,0.8756846,0.8517872,0.87757486,0.844624,0
3148,0.85311085,0.86189246,0.8488102,0.8649766,0.8624827,0.85920775,0.8754929,0
3149,0.86844766,0.85739505,0.8677945,0.8542351,0.8558229,0.86954594,0.8720026,0
3150,0.8601192,0.877385,0.8773601,0.8698181,0.8850943,0.86225164,0.87096125,0
3153,0.82057106,0.8541985,0.8501989,0.85020465,0.8543452,0.8602198,0.84658635,0
3155,0.7183062,0.7866667,0.81455386,0.790795,0.8158066,0.7656972,0.7698964,0
3156,0.88945204,0.88822407,0.8965693,0.8913969,0.8844696,0.8966695,0.8813901,0
3157,0.857635,0.88849723,0.8848554,0.87586594,0.8594619,0.8773705,0.87327886,0
3158,0.84789824,0.85345685,0.81746703,0.87403345,0.7992228,0.8728195,0.8525805,0
3159,0.8232134,0.8716793,0.83836967,0.8690016,0.8479795,0.8668418,0.88152343,0
3160,0.86725646,0.8571828,0.8649057,0.87621045,0.86766016,0.87680006,0.8789742,0
3161,0.86030626,0.89786756,0.8917408,0.9037659,0.892731,0.8949836,0.90650415,0
3162,0.8516009,0.8670519,0.85712314,0.8381399,0.8619663,0.85738254,0.8611008,0
3186,0.89190596,0.8948623,0.89611566,0.89557457,0.9060394,0.8829187,0.90349036,0
3225,0.79387325,0.8181646,0.82960916,0.7798624,0.81887364,0.82507074,0.7778287,0
3315,0.803627,0.8322791,0.80476606,0.8429773,0.8387164,0.84214425,0.8495666,0
3321,0.8171251,0.85224366,0.8237002,0.81980896,0.83518356,0.86319274,0.8471283,0
3332,0.7954789,0.8187595,0.81949973,0.8191875,0.8358103,0.82901055,0.8577701,0
5877,0.8263602,0.8208535,0.8067872,0.8308174,0.833527,0.82881737,0.8053967,0
5981,0.87756526,0.8931436,0.8806847,0.899073,0.8944613,0.9035275,0.8929094,0
6018,0.81972843,0.812755,0.8228594,0.8594947,0.84105957,0.8258731,0.84203786,1
6021,0.8366944,0.8372171,0.8371495,0.8286734,0.84910864,0.8394349,0.83767736,1
6026,0.8146107,0.80052316,0.79334927,0.8587674,0.81761324,0.8648315,0.7985907,1
6043,0.86164045,0.86638314,0.84821904,0.8599417,0.846788,0.87137043,0.8636379,0
6078,0.85087144,0.8762416,0.87798095,0.8687125,0.88410854,0.87158287,0.8570071,0
