id,haiku resumes,opus resumes,CV doordash Score,sonnet resumes,ScoresDoorDash_Original_File_gemini_flash_lite resumes,ScoresDoorDash_Original_File_gemini_pro resumes,ScoresDoorDash_Original_File_gemini_flash resumes,True
1747,78.667,79.234,79.038,80.735,79.153,80.21,81.484,1
1784,79.247,79.372,78.951,79.845,80.666,79.932,80.503,1
2476,83.173,82.564,82.712,82.714,82.767,83.447,82.424,1
2515,81.852,83.231,80.269,81.574,82.782,83.035,81.687,1
2517,80.889,81.741,78.765,81.149,81.769,79.306,81.552,1
2529,81.452,82.185,80.951,81.377,81.366,81.694,80.687,1
2538,82.551,83.281,81.519,82.223,83.511,84.684,83.619,1
2551,82.362,82.407,80.911,82.977,83.283,82.524,80.958,1
2553,83.131,82.993,81.421,82.53,83.011,83.572,82.77,1
2554,84.002,82.698,81.739,82.22,83.04,83.465,83.053,1
2555,80.786,82.369,80.237,80.674,82.056,82.457,82.005,1
2556,81.494,81.651,78.353,81.363,81.751,81.729,82.435,1
2577,81.671,82.482,82.692,84.322,83.415,83.82,83.745,1
2582,82.39,81.149,79.841,81.756,82.357,81.934,81.906,1
2583,80.966,82.735,79.894,82.452,80.677,83.137,81.406,1
2584,82.626,82.106,82.429,83.797,83.696,84.142,83.841,1
2585,83.001,82.972,82.342,82.157,82.623,82.867,83.391,1
2586,81.906,82.606,81.45,81.611,82.689,81.622,82.019,1
2587,81.705,82.037,80.201,82.174,82.388,81.511,82.33,1
2588,81.517,80.721,82.33,81.533,81.67,82.059,78.985,1
2589,83.025,82.66,84.072,83.898,84.178,83.291,83.951,1
2590,83.674,83.889,83.86,84.303,81.561,84.149,83.228,1
2591,81.325,82.028,80.966,82.788,80.847,82.043,82.144,1
2592,85.259,86.118,84.51,85.468,85.558,85.229,84.115,1
2594,83.327,83.468,83.499,84.498,83.916,84.447,83.874,1
2595,81.724,82.456,83.092,82.273,82.769,80.81,82.058,1
2597,87.276,85.98,86.226,86.881,87.051,86.001,86.507,1
2645,82.607,83.176,81.308,83.044,81.214,83.385,83.217,1
2654,82.222,82.6,81.921,83.591,82.563,82.15,82.927,1
2655,81.116,82.184,82.022,83.213,83.206,84.141,84.038,1
2656,82.641,83.236,83.083,82.579,82.722,83.455,82.556,1
2657,78.18,79.204,77.689,78.366,80.133,80.209,81.412,1
2658,82.321,81.477,81.724,81.668,83.652,82.821,81.755,1
2659,82.009,80.999,79.967,81.73,81.942,83.373,81.638,1
2660,83.209,83.014,83.092,83.611,83.816,83.842,83.582,1
2741,79.579,79.511,77.723,79.315,81.121,81.165,79.73,1
2766,80.298,79.796,79.144,79.703,80.377,80.1,80.438,1
2793,82.322,83.395,82.69,82.839,84.959,82.902,82.976,1
2810,79.383,79.988,79.027,79.623,79.367,79.682,79.854,1
2824,82.375,82.061,82.082,83.394,82.044,83.741,82.876,1
3002,82.354,83.096,80.341,83.772,83.585,82.736,83.059,1
3021,83.217,83.126,82.509,82.705,83.366,83.522,83.093,1
3093,82.761,82.218,80.967,83.405,82.154,81.665,83.305,1
3105,82.147,81.594,82.276,84.638,83.7,83.802,83.641,1
3113,79.245,78.858,76.928,77.212,79.787,79.001,78.16,1
3118,81.97,82.626,78.741,82.749,83.148,82.008,82.53,1
3120,82.06,81.62,77.42,82.024,82.543,78.562,80.0,1
3122,81.435,82.513,81.297,81.637,82.528,84.14,84.264,1
3123,80.441,80.695,78.761,80.115,81.13,81.574,82.327,1
3133,84.052,82.912,80.768,82.704,82.365,82.701,82.254,1
3134,83.113,83.613,83.242,82.791,82.846,84.005,83.601,1
3135,85.242,84.886,84.517,85.834,84.289,83.799,84.446,1
3136,81.399,83.237,79.17,82.408,82.648,83.017,82.436,1
3137,84.018,82.92,82.506,83.984,83.848,84.415,83.539,1
3138,81.413,82.057,81.519,83.003,82.84,82.295,82.421,1
3139,79.89,81.034,79.939,79.657,82.78,82.477,81.22,1
3140,80.299,80.191,81.652,81.168,82.127,80.615,80.448,1
3141,80.905,82.343,79.027,77.567,83.444,82.439,83.156,1
3142,82.897,82.339,82.955,83.146,82.319,82.893,83.197,1
3143,81.242,82.048,81.015,81.875,82.677,81.512,81.552,1
3144,78.779,79.071,76.994,79.102,81.977,81.941,79.51,1
3145,80.284,79.111,78.842,79.992,79.438,80.68,80.758,1
3146,79.187,79.08,77.933,79.181,80.538,80.055,80.147,1
3147,82.337,80.753,79.918,82.018,81.757,82.149,81.165,1
3148,80.59,80.79,80.058,80.995,80.27,81.692,81.167,1
3149,82.519,81.848,80.726,82.612,82.389,82.08,83.297,1
3150,83.303,82.092,81.964,83.44,82.577,84.172,82.482,1
3153,81.04,80.643,78.503,81.212,80.002,80.665,80.102,1
3155,78.806,79.041,74.177,78.589,80.024,79.509,79.975,1
3156,82.038,80.155,79.653,79.901,80.33,82.232,81.407,1
3157,80.159,80.538,80.882,79.224,79.902,80.961,80.504,1
3158,81.876,80.247,81.608,82.318,80.945,81.326,80.475,1
3159,81.914,81.658,79.054,82.789,81.855,80.785,81.917,1
3160,80.85,80.364,78.679,81.451,79.011,81.127,80.193,1
3161,83.294,83.48,83.266,85.966,84.072,84.395,83.428,1
3162,81.523,81.563,81.467,82.855,82.766,82.895,81.989,1
3186,82.542,82.717,81.428,81.966,82.894,82.773,80.113,1
3225,83.589,83.277,82.351,83.357,83.854,83.429,80.885,1
3315,80.146,76.803,77.596,80.402,81.588,82.909,80.882,1
3321,82.81,82.496,82.115,82.095,82.055,82.435,82.728,1
3332,78.962,79.761,75.786,79.425,78.647,80.733,78.44,1
5877,79.225,79.012,77.985,79.31,80.19,80.683,80.305,1
5981,84.339,83.499,83.509,83.974,84.173,83.977,84.75,1
6018,78.845,78.178,77.359,77.356,78.6,78.039,80.123,0
6021,78.111,79.278,76.957,77.666,80.567,79.392,79.393,0
6026,79.36,76.753,78.456,79.585,80.067,82.157,80.628,0
6043,83.589,83.243,83.045,82.631,84.274,83.626,83.704,1
6078,80.662,82.062,80.289,80.415,81.508,82.298,82.06,1
6081,83.094,82.135,82.085,83.381,83.567,84.316,84.423,1
6082,81.794,82.227,80.058,82.491,83.427,83.548,82.052,1
6090,82.547,81.642,79.671,82.445,82.705,81.121,81.911,1
6127,86.697,85.477,83.267,86.13,83.982,85.67,85.953,1
6211,81.86,82.375,80.623,81.827,81.573,84.136,83.307,1
6213,85.025,83.547,84.161,81.326,82.591,84.905,81.191,1
6214,81.09,81.745,81.763,82.046,82.182,82.679,82.314,1
6231,80.672,81.375,80.656,80.401,82.097,81.358,79.063,1
6232,81.566,81.854,81.245,82.52,81.594,82.105,82.296,1
6233,81.592,83.297,81.557,82.029,82.986,83.022,82.567,1
6239,78.403,80.58,77.256,80.72,79.446,83.678,82.097,1
6240,81.264,82.114,82.129,80.959,80.547,82.039,81.567,1
6254,82.008,83.116,82.058,82.415,81.64,81.572,81.352,1
6255,80.131,80.229,80.384,81.346,81.696,80.98,81.163,1
6342,81.705,80.7,80.357,80.25,80.76,80.972,81.506,1
7630,79.174,80.419,80.044,80.829,81.101,82.622,83.193,1
7654,80.199,80.662,79.56,80.53,81.858,82.185,80.499,1
8890,78.869,78.567,72.057,82.477,81.856,79.898,81.071,1
8916,76.378,78.161,76.812,77.426,77.113,77.872,77.858,1
9028,80.065,79.734,78.622,78.962,79.529,80.481,80.727,1
9066,80.81,81.33,77.931,79.999,80.642,79.975,79.044,1
9445,82.129,81.207,81.801,81.517,82.032,80.757,81.401,1
9479,78.828,78.058,78.834,79.851,80.029,80.809,79.74,0
9542,81.331,81.466,79.739,80.742,82.115,82.351,82.536,1
9546,83.747,82.525,82.295,82.631,83.533,82.4,83.332,1
9547,80.883,80.867,80.354,80.744,82.987,82.482,82.911,1
9583,80.852,81.094,81.023,81.653,82.617,83.122,81.747,1
9587,78.091,77.035,76.728,78.006,80.689,80.557,79.714,1
12037,82.009,81.972,80.739,81.642,82.161,82.137,81.656,1
12116,79.436,78.276,76.891,79.937,78.759,79.648,79.285,1
12122,82.192,82.72,81.708,82.815,83.27,83.759,83.117,1
12124,83.123,81.089,80.016,83.07,82.735,82.747,82.061,1
12141,79.967,82.631,81.284,80.131,82.738,82.373,80.956,1
12143,80.274,78.993,78.464,79.065,80.78,79.972,80.749,1
12149,81.591,81.397,82.387,83.376,82.602,82.185,81.849,1
12161,74.709,78.413,75.648,76.1,78.81,78.635,78.646,1
12252,82.751,85.282,81.65,81.732,81.255,85.964,85.385,1
12408,78.675,79.051,78.619,79.14,80.619,79.994,79.903,1
12409,81.671,82.235,80.564,82.375,81.48,82.727,83.343,1
12410,83.82,82.565,81.924,82.156,82.473,82.358,82.465,1
12418,81.553,81.798,80.887,84.935,82.073,83.914,82.384,1
12422,82.059,83.029,81.647,81.683,82.292,82.57,81.638,1
12435,81.292,80.452,80.205,80.428,82.022,81.466,81.93,1
12436,80.252,82.022,77.55,80.795,80.089,79.621,80.226,1
12437,79.96,80.903,74.847,78.368,80.068,80.545,80.912,1
12447,84.35,83.645,80.9,83.655,82.847,83.145,84.805,1
12448,84.157,82.682,82.373,83.413,83.487,84.128,83.818,1
12449,79.501,80.969,81.108,83.01,83.255,83.511,83.998,1
12450,80.592,81.35,78.652,81.432,81.54,81.838,81.037,1
12451,82.774,82.575,80.616,82.164,82.357,81.748,82.952,1
12452,80.07,81.684,78.411,80.674,83.622,82.53,80.899,1
12453,82.205,82.072,81.291,81.08,80.954,82.649,82.573,1
