resume DoorDash Score,Unnamed: 0,gpt_4o,Unnamed: 0,gpt_mini,Unnamed: 0,gpt_3.5,Unnamed: 0,gpt4o_twice,Unnamed: 0,Modifiedgpt4o-on3.5 DoorDash Score,Unnamed: 0,4o_on_mini,True Label,Will Manipulate
79.038,1747,80.483,1747,79.682,1747,78.825,1747,80.831,1747,80.379,1747,79.591,0,True
78.951,1784,79.321,1784,79.841,1784,78.965,1784,79.101,1784,78.696,1784,79.954,0,True
82.712,2476,83.223,2476,82.188,2476,82.194,2476,83.223,2476,82.475,2476,83.226,0,True
80.269,2515,82.597,2515,82.898,2515,80.363,2515,83.002,2515,81.482,2515,83.575,0,True
78.765,2517,81.679,2517,83.327,2517,79.317,2517,81.548,2517,82.192,2517,82.998,0,True
80.951,2529,83.769,2529,83.363,2529,81.411,2529,84.142,2529,80.79,2529,83.186,0,True
81.519,2538,84.086,2538,84.314,2538,82.853,2538,83.848,2538,82.95,2538,84.662,0,True
80.911,2551,82.705,2551,81.774,2551,80.509,2551,82.62,2551,81.414,2551,82.387,0,True
81.421,2553,81.888,2553,83.214,2553,81.61,2553,82.295,2553,84.419,2553,83.3,0,True
81.739,2554,84.388,2554,82.354,2554,80.037,2554,84.053,2554,83.948,2554,82.499,0,True
80.237,2555,81.074,2555,80.436,2555,79.702,2555,81.009,2555,82.008,2555,81.183,0,True
78.353,2556,81.506,2556,81.156,2556,79.267,2556,81.301,2556,81.781,2556,81.883,0,True
82.692,2577,84.104,2577,83.335,2577,82.543,2577,84.487,2577,85.852,2577,84.109,0,True
79.841,2582,82.688,2582,80.953,2582,79.719,2582,82.737,2582,81.565,2582,81.928,0,True
79.894,2583,79.888,2583,82.08,2583,80.523,2583,81.802,2583,81.369,2583,82.354,0,True
82.429,2584,83.991,2584,84.028,2584,82.986,2584,83.35,2584,84.163,2584,84.323,0,True
82.342,2585,83.822,2585,83.264,2585,80.047,2585,84.012,2585,80.788,2585,83.292,0,True
81.45,2586,82.834,2586,82.545,2586,81.207,2586,82.678,2586,82.945,2586,81.892,0,True
80.201,2587,82.34,2587,82.81,2587,81.753,2587,82.878,2587,82.859,2587,83.482,0,True
82.33,2588,83.147,2588,80.833,2588,82.156,2588,83.214,2588,82.759,2588,80.865,0,True
84.072,2589,84.717,2589,84.266,2589,82.356,2589,84.628,2589,83.329,2589,84.486,0,True
83.86,2590,82.891,2590,83.533,2590,82.601,2590,82.912,2590,84.923,2590,83.808,0,True
80.966,2591,83.086,2591,82.741,2591,80.284,2591,83.565,2591,80.336,2591,83.672,0,True
84.51,2592,85.309,2592,85.357,2592,83.165,2592,84.885,2592,85.212,2592,85.569,0,True
83.499,2594,82.594,2594,83.723,2594,82.65,2594,82.645,2594,84.117,2594,83.556,0,True
83.092,2595,82.559,2595,81.785,2595,80.456,2595,82.523,2595,80.921,2595,81.91,0,True
86.226,2597,85.893,2597,85.6,2597,84.909,2597,85.93,2597,85.124,2597,86.105,0,True
81.308,2645,82.971,2645,82.766,2645,83.514,2645,83.036,2645,82.948,2645,83.229,0,True
81.921,2654,82.626,2654,82.922,2654,81.921,2654,83.074,2654,82.255,2654,84.517,0,True
82.022,2655,82.694,2655,82.961,2655,82.895,2655,83.357,2655,83.347,2655,84.364,0,True
83.083,2656,82.801,2656,82.889,2656,82.052,2656,82.347,2656,82.952,2656,82.838,0,True
77.689,2657,79.825,2657,80.406,2657,77.314,2657,79.312,2657,78.975,2657,80.709,0,True
81.724,2658,82.345,2658,82.616,2658,81.954,2658,82.39,2658,82.958,2658,82.927,0,True
79.967,2659,82.934,2659,80.635,2659,80.642,2659,83.102,2659,82.77,2659,83.124,0,True
83.092,2660,84.167,2660,84.487,2660,82.328,2660,84.022,2660,83.939,2660,84.827,0,True
77.723,2741,81.77,2741,80.116,2741,77.131,2741,81.77,2741,82.889,2741,80.636,0,True
79.144,2766,78.48,2766,83.212,2766,79.579,2766,78.121,2766,79.583,2766,81.976,0,True
82.69,2793,84.104,2793,83.907,2793,82.12,2793,83.592,2793,81.213,2793,83.925,0,True
79.027,2810,79.38,2810,79.205,2810,78.941,2810,79.366,2810,78.905,2810,79.318,0,True
82.082,2824,82.321,2824,82.967,2824,82.781,2824,82.336,2824,82.801,2824,83.524,0,True
80.341,3002,84.078,3002,83.126,3002,82.406,3002,83.998,3002,83.857,3002,82.834,0,True
82.509,3021,84.154,3021,82.988,3021,82.106,3021,84.122,3021,84.237,3021,83.229,0,True
80.967,3093,83.137,3093,82.87,3093,80.563,3093,83.344,3093,82.587,3093,83.558,0,True
82.276,3105,83.558,3105,83.62,3105,82.317,3105,83.461,3105,83.555,3105,83.442,0,True
76.928,3113,79.441,3113,81.115,3113,77.671,3113,79.524,3113,79.79,3113,80.574,0,True
78.741,3118,81.371,3118,83.638,3118,81.413,3118,81.962,3118,82.865,3118,84.12,0,True
77.42,3120,82.995,3120,82.46,3120,79.953,3120,82.52,3120,82.998,3120,82.395,0,True
81.297,3122,81.32,3122,81.541,3122,82.44,3122,81.81,3122,83.387,3122,82.668,0,True
78.761,3123,82.064,3123,83.456,3123,79.156,3123,82.638,3123,80.214,3123,83.333,0,True
80.768,3133,84.446,3133,84.098,3133,80.545,3133,84.582,3133,83.412,3133,84.098,0,True
83.242,3134,84.381,3134,84.198,3134,81.76,3134,84.439,3134,85.043,3134,83.774,0,True
84.517,3135,84.101,3135,84.853,3135,84.441,3135,84.762,3135,84.931,3135,85.06,0,True
79.17,3136,82.803,3136,83.956,3136,79.701,3136,83.094,3136,80.032,3136,83.91,0,True
82.506,3137,82.876,3137,83.303,3137,84.233,3137,82.835,3137,83.385,3137,82.903,0,True
81.519,3138,80.65,3138,81.019,3138,81.93,3138,81.149,3138,80.988,3138,81.235,0,True
79.939,3139,82.67,3139,81.592,3139,80.067,3139,82.394,3139,82.927,3139,81.781,0,True
81.652,3140,82.017,3140,80.913,3140,81.558,3140,81.538,3140,81.847,3140,81.845,0,True
79.027,3141,83.772,3141,84.224,3141,82.661,3141,83.678,3141,82.415,3141,83.75,0,True
82.955,3142,84.674,3142,83.39,3142,82.343,3142,84.171,3142,82.201,3142,83.347,0,True
81.015,3143,83.333,3143,81.817,3143,79.814,3143,82.882,3143,81.211,3143,81.413,0,True
76.994,3144,82.32,3144,82.7,3144,80.717,3144,82.169,3144,80.956,3144,82.851,0,True
78.842,3145,79.81,3145,80.692,3145,78.799,3145,79.313,3145,79.963,3145,80.574,0,True
77.933,3146,77.209,3146,80.228,3146,77.507,3146,78.185,3146,78.197,3146,80.385,0,True
79.918,3147,81.561,3147,81.09,3147,79.731,3147,81.073,3147,81.756,3147,81.399,0,True
80.058,3148,81.786,3148,81.706,3148,79.969,3148,81.839,3148,82.02,3148,82.367,0,True
80.726,3149,81.89,3149,83.049,3149,81.522,3149,81.554,3149,82.332,3149,83.144,0,True
81.964,3150,83.619,3150,84.905,3150,82.55,3150,83.776,3150,81.157,3150,84.243,0,True
78.503,3153,81.808,3153,81.416,3153,78.094,3153,81.587,3153,80.663,3153,80.988,0,True
74.177,3155,77.441,3155,81.394,3155,75.248,3155,76.869,3155,78.277,3155,81.071,0,True
79.653,3156,80.029,3156,80.546,3156,79.348,3156,82.784,3156,80.945,3156,81.256,0,True
80.882,3157,78.842,3157,79.708,3157,79.525,3157,79.94,3157,80.116,3157,79.478,0,True
81.608,3158,82.31,3158,83.283,3158,80.482,3158,82.096,3158,83.323,3158,82.228,0,True
79.054,3159,81.523,3159,79.922,3159,80.891,3159,81.437,3159,81.239,3159,80.915,0,True
78.679,3160,80.773,3160,80.808,3160,79.644,3160,80.773,3160,79.501,3160,81.371,0,True
83.266,3161,83.057,3161,84.822,3161,82.957,3161,83.057,3161,83.564,3161,84.496,0,True
81.467,3162,80.307,3162,83.26,3162,81.968,3162,80.194,3162,82.857,3162,82.904,0,True
81.428,3186,81.341,3186,81.236,3186,81.489,3186,82.434,3186,84.416,3186,85.342,0,True
82.351,3225,84.516,3225,82.772,3225,82.802,3225,84.253,3225,84.876,3225,84.733,0,True
77.596,3315,82.042,3315,82.886,3315,78.443,3315,81.822,3315,82.858,3315,83.31,0,True
82.115,3321,81.943,3321,82.588,3321,82.152,3321,82.028,3321,82.149,3321,82.586,0,True
75.786,3332,80.672,3332,81.087,3332,77.13,3332,80.533,3332,81.011,3332,80.684,0,True
77.985,5877,81.54,5877,79.785,5877,77.337,5877,81.417,5877,81.706,5877,81.714,0,True
83.509,5981,85.269,5981,84.284,5981,83.345,5981,85.269,5981,83.663,5981,84.572,0,True
83.045,6043,84.368,6043,84.153,6043,81.183,6043,83.93,6043,84.181,6043,83.467,0,True
80.289,6078,82.654,6078,81.078,6078,81.108,6078,82.198,6078,82.791,6078,80.665,0,True
82.085,6081,84.69,6081,82.718,6081,82.06,6081,84.322,6081,83.169,6081,82.771,0,True
80.058,6082,83.272,6082,82.016,6082,80.344,6082,83.272,6082,82.628,6082,82.419,0,True
79.671,6090,80.024,6090,81.551,6090,81.005,6090,79.911,6090,82.495,6090,81.133,0,True
83.267,6127,86.019,6127,85.454,6127,84.355,6127,85.622,6127,84.203,6127,85.472,0,True
80.623,6211,80.1,6211,82.867,6211,80.402,6211,79.698,6211,80.147,6211,82.431,0,True
84.161,6213,82.224,6213,82.42,6213,84.08,6213,82.193,6213,81.779,6213,82.974,0,True
81.763,6214,82.906,6214,83.032,6214,80.019,6214,83.537,6214,80.31,6214,83.271,0,True
80.656,6231,81.923,6231,81.138,6231,80.572,6231,81.917,6231,82.932,6231,80.457,0,True
81.245,6232,83.236,6232,82.95,6232,80.275,6232,82.793,6232,80.7,6232,82.283,0,True
81.557,6233,83.14,6233,81.322,6233,81.459,6233,83.369,6233,82.216,6233,83.612,0,True
