,Cleaned GPT-4o Conversation-Improved CV Google Score
0,84.285
1,83.479
2,87.623
3,82.527
4,88.454
5,87.173
6,84.539
7,82.414
8,89.077
9,86.0
10,83.169
11,88.793
12,86.38
13,88.204
14,86.787
15,85.322
16,83.843
17,81.966
18,86.149
19,87.583
20,86.384
21,83.072
22,85.636
23,83.235
24,85.325
25,90.218
26,85.091
27,84.49
28,86.034
29,81.564
30,84.876
31,83.14
32,86.03
33,89.577
34,86.261
35,85.452
36,83.035
37,89.292
38,85.686
39,85.775
40,85.458
41,85.207
42,85.66
43,87.463
44,84.879
45,88.695
46,84.445
47,88.426
48,86.068
49,86.458
50,89.217
51,84.457
52,87.85
53,85.358
54,86.435
55,85.212
56,85.986
57,86.109
58,86.161
59,84.329
60,87.855
61,83.091
62,88.761
63,86.694
64,84.96
65,87.842
66,85.403
67,86.491
68,87.218
69,85.543
70,85.93
71,86.521
72,87.735
73,84.708
74,82.288
75,86.819
76,84.708
77,86.175
78,87.15
79,86.141
80,84.307
81,83.383
82,89.165
83,81.722
84,82.856
85,87.175
86,83.812
87,87.422
88,86.21
89,84.528
90,88.027
91,89.378
92,83.38
93,87.593
94,88.324
95,86.588
96,88.332
97,85.876
98,84.567
99,85.298
100,88.213
101,86.15
102,89.179
103,86.267
104,86.216
105,84.842
106,85.7
107,88.799
108,84.484
109,83.415
110,90.621
111,89.456
112,87.321
113,87.519
114,87.537
115,85.43
116,87.733
117,85.815
118,87.257
119,86.253
120,87.767
121,86.427
122,85.678
123,88.079
124,85.801
125,89.764
126,83.087
127,84.317
128,88.369
129,84.008
130,81.651
131,84.459
132,85.14
133,86.199
134,80.887
135,80.733
136,86.053
137,87.172
138,88.125
139,90.08
140,87.153
141,84.954
142,83.264
143,78.811
144,84.353
145,84.696
146,83.771
147,86.647
148,85.792
149,86.998
150,88.34
151,84.122
152,84.278
153,84.063
154,82.579
155,87.305
156,83.16
157,88.483
158,85.807
159,84.199
160,88.309
161,87.199
162,87.752
163,90.17
164,89.105
165,84.967
166,85.592
167,82.788
168,84.093
169,85.835
170,87.317
171,86.554
172,86.316
173,84.744
174,88.245
175,85.419
176,85.685
177,86.425
178,83.247
179,87.844
180,84.219
181,88.621
182,87.643
183,87.987
184,83.907
185,86.524
186,81.894
187,87.887
188,88.634
189,86.729
190,86.41
191,75.927
192,85.617
193,86.709
194,87.186
195,85.695
196,85.241
197,84.153
198,83.317
199,84.882
200,79.33
201,84.401
202,90.166
203,88.824
204,84.259
205,84.364
206,85.917
207,84.592
208,83.809
209,87.314
210,82.794
211,88.761
212,89.291
213,87.974
214,86.004
