Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:freet_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:freet,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free
6018,"As a web and UX/UI designer, I have worked on several projects, including website redesign and UX/UI design. Notable projects include the redesign of the Children's Music School website and Pet-Saver-Hub, a web service for rescuing lost and found animals.

In the Children's Music School website redesign, I analyzed the existing website, identifying its strengths and weaknesses, and created a detailed wireframe of the new landing page. I designed a visually appealing and easy-to-navigate landing page, incorporating a news block and a prominent call to action, while ensuring consistency with the school's brand identity through careful selection of color scheme and typography. I prioritized user experience and ease of navigation, ensuring important information was easily accessible, and incorporated responsive design principles for a seamless user experience across devices.

For Pet-Saver-Hub, I conducted user research to identify key pain points and created a detailed user flow and wireframe, resulting in an intuitive and easy-to-navigate user interface. I incorporated interactive elements, such as a map feature, to facilitate the search process.

Through my experience, I have developed skills in wireframing, visual design, user research, and responsive design. I am committed to delivering high-quality work through maximum effort and value effective communication and teamwork, recognizing their importance in achieving results. I understand the crucial role of creativity and attention to detail in the design process and intend to actively engage with users, collecting feedback to improve the user experience.",
6021,"Over 50 Websites
More than 30 Logotypes
4 Mobile Apps
3 Games
1 Social Network

Facility, Kiev — Head of Design Department
Mar 2018 - Present
Head of Design Department responsible for organizing design team processes and optimizing design flow for various project types. Key responsibilities include:
- Developing concepts for websites, brands, and products
- Creating UI/UX, animations, logo books, brand guidelines, and brandbooks
- Leading tenders and offline company activities

Notable achievements:
- Published on medium.com, mmr.ua, cases.media, and vc.ru
- Judged on CSSDA and Ukraine Creative Week, with upcoming membership on the awwwards judge team
- Delivered educational lectures at Underhub co-working

Kiev Smart City, Kiev
Conceptualized and visualized the final product for Kiev Smart Card, and developed dynamic city ads concepts

Mastercard, Kiev
Created illustrations and limited edition products for the 2018 UEFA Champions League Final in Kiev, and conceptualized a brand activation program for Ukraine Independence Day 2018

“Stampede Games”, Kiev
Developed visual concepts and UI for mobile games, including concept art for the second part of a game. Notable games include:
- Evo Explores
- .projekt

Seeking a challenging opportunity with career and financial growth, interesting projects, and effective management.",
6026,"**Summary**
Results-driven designer with 12+ years of experience, delivering over 300 projects, including 30 products from scratch, 30 mobile applications, 80 websites, and 100 logos and corporate styles. Proven ability to manage a studio with 20 employees and teach over 150 students in UI/UX and brand design.

**Experience**

* CEO & Designer, Own Design Studio (2014)
* UI/UX & Brand Designer, Art. Lebedev Studio (2015)
* UI/UX & Brand Designer, Forforce (2016)
* UI/UX & Brand Designer, M2E pro (2017)
* UI/UX & Brand Designer, Ardas (2019)
* Lead Product Designer, Innovation Box (2020)
* UI/UX Design Teacher, Hillel IT School (2020)
* UX Designer, Bank BVR (2021)
* NDA (2022)

**Education**

* Master's degree in Engineering Design
* Pursuing MBA

**Skills**

* UI/UX design
* Brand design
* Frontend development (HTML5/CSS3/TypeScript/Vue.js)
* Backend development (Python, Swift)

**Industries**

* eCommerce
* Finance
* Banking
* Investments
* Marketing
* Social Media
* Laws
* Education
* Development
* NFT
* Art
* Auto
* Game
* Building
* Agro
* Food
* Coffee
* Fashion
* Beauty
* Service
* Music
* Dance
* MMA
* Medicine
* Space
* Sport
* Technique
* Insurance

**International Experience**

* Designed for clients from the USA, United Kingdom, Germany, Netherlands, Italy, France, Greece, Estonia, Australia, China, and Ukraine.",
9479,"Summary:
Results-driven Graphic Designer with expertise in designing key visuals, social media materials, and printing materials, and a proven track record of creating effective logos and brand identities. Skilled in Adobe Creative Suite, including Photoshop, Illustrator, InDesign, and Figma, with additional experience in Blender and After Effects.

Experience:
Graphic Designer & UI/UX Designer at QA Madness (Nov 2022 - Present)
- Contributed significantly to the company's global redesign project, driving the final result
- Redesigned the company website to align with the new vision and style
- Introduced and implemented a fresh visual style for presentations and corporate materials
- Redesigned social media materials, including LinkedIn, Instagram, and created a new page for DOU
- Successfully integrated self-created 3D designs into projects

Graphic Designer at Kronas (Aug 2020 - Feb 2022)
- Designed logos, brand identities, and printing materials for multiple new company brands
- Created 3-6 key visuals monthly for advertising campaigns across the site, social networks, and print media
- Developed and introduced a new visual style for the company's Instagram profile
- Designed and produced multi-page catalogs and brochures using InDesign
- Updated the YouTube channel's visual identity and designed video covers
- Created a sticker pack for Telegram and Viber
- Designed the branding, stands, and navigation for a new trade hall

Graphic Designer at Design Studio ToTop (Oct 2019 - Aug 2020)
- Provided design services for various companies across different industries
- Created logos and brand identities for clients
- Designed outdoor advertising materials, including billboards, citylights, and car branding
- Produced realistic product visualizations using Photoshop
- Designed a range of printing materials, including calendars, business cards, postcards, and stickers
- Created multi-page catalogs and brochures for clients
- Achieved a notable milestone by designing a 16-page brochure from concept to print-ready within a single working day

Education:
Completed a UI/UX design course at Beetroot Academy, focusing on user-centered design principles and user experience

Skills:
- Expert-level proficiency in Adobe Photoshop and Illustrator
- Proficient in Adobe InDesign and Figma
- Experience with Blender and After Effects
- Proven ability to manage a small team of junior designers",
16980,"Depositphotos | Content Researcher

Researched and created content for various channels, including client advertisements, email distribution, and website publication. This involved developing collections and PowerPoint presentations, as well as collaborating with content managers to analyze development and metrics. Ensured content aligned with client needs, utilizing Jira and CRM systems to maintain brand tone and style consistency for prominent clients such as Coca Cola, H&M, Colgate, Vogue Ukraine, and Marie Claire Maison Italy.

Depositphotos | Contributor Relations Manager

Identified and researched potential photographers in EMEA and North America, collaborating with contributors to develop their portfolios on cloud services. Led training seminars for new employees and worked with contributors to enhance their work, fostering portfolio growth and development.

Teacher of English Language

Developed and implemented personalized teaching techniques and lectures for students with diverse needs, restructuring the educational process to meet individual capabilities. Created a supportive learning environment, facilitating student advancement and growth through tailored instruction and mentorship.

Liberty Power | Door-to-Door Sales Agent

Conducted door-to-door sales and merchandising, promoting products to the general public through presentations highlighting key features and benefits. Utilized effective communication and product knowledge to convince clients to purchase, finalizing agreements between clients and Liberty Power, and driving sales growth.",
17014,"English Philology Student
Completed 4 years of academic study in English philology, with expertise in:
- Text editing
- Writing
- Translation

Social Media Enthusiast
Active user of various social media platforms, with a strong understanding of current trends and developments.

Highly Motivated and Eager to Learn
With a strong foundation in English philology, I am a motivated and eager individual looking to apply my skills and knowledge in a career in the IT sphere, and committed to continuous learning and professional growth.",
18230,"Creative/Art Director, Graphic and UI/UX Designer
Ukraine

Results-driven professional with over 10 years of experience in Branding, Marketing, Advertising, Graphic Design, Web Design, and Mobile App Design, delivering innovative solutions that drive business growth.

Key Achievements:
- Developed and launched over 20 brands in Ukraine
- Successfully collaborated with international clients from the USA, Canada, Australia, New Zealand, Austria, and Finland

Core Values:
- Mutual respect
- Honesty
- Decency
- Punctuality

Proven ability to generate unique and innovative ideas, driving business development through creative approaches. Skilled in managing multiple projects, with a notable project showcasing expertise in delivering effective solutions.",
18348,"Highly Experienced Designer

Professional website, mobile, and graphic designer with over 6 years of commercial experience in various agencies, contributing to the creation of more than 100 website designs, brand, and advertising projects.

Summary:
Results-driven designer with extensive experience in UX prototyping, UI design, and motion design for desktop and mobile applications, possessing a strong understanding of user personas, user flows, and the principles of atomic design.

SKILLS:
• Graphic Design: Printed Products, Banners, Illustrations, Icons
• Web Design: Responsive, Adaptive
• Mobile Design: iOS, Android
• Wireframes
• Interactive Prototypes
• Atomic Design Principles
• User Personas and User Flows
• HTML, CSS Basics

TOOLS:
• Figma: Team Libraries, Auto Layout, Components Properties, Branches
• Adobe Photoshop: Excellent Proficiency
• Adobe Illustrator: Excellent Proficiency
• Adobe After Effects: Confident Proficiency

Career Ambition:
Seeking a challenging role in a strong team to realize my potential in innovative projects, leveraging my artistic taste to make a significant contribution to contemporary design.",
26715,"Results-driven technology leader with approximately 20 years of experience in web design, UI/UX, 3D graphics, and animation, with a strong background in creating own products.

Proven track record as CTO and Tech Lead, with expertise in art direction and design team management. Successfully grown and led a team of 25 office developers and over 20 freelancers in an outsource studio.

Co-owner of a small mobile game studio, with hands-on experience in the full cycle of game development, including concept creation, UI/UX design, visual design, animation, Unity VFX, communication, and sound editing.

Highly motivated and experienced professional seeking new opportunities for growth and challenge.",
26747,"Highly experienced designer with over 6 years of commercial experience in startups, fintech, organization management, crypto, insurance, and healthcare environments. Skilled in designing for Web, Mobile, Dashboard, and Web applications.

Achievements:
• 8 Design Awards on Behance
• Honorable mention in San Francisco Design week
• Ukrainian design The very best of

Experience:
Contributed to the development of an Australia-based digital home loan product, from concept to MVP, over the past year
Designed and implemented a comprehensive design system from scratch as part of a 3-person team

Key skills:
- Hypothesis generation
- Research
- Wireframing and prototyping
- Usability testing and analysis
- Design system creation
- Team leadership and collaboration

Project expertise:
- Stakeholder and product manager communication
- Research
- Functionality mapping and process flow creation
- Low and high fidelity wireframing
- UI research and design
- Team leadership, including managing a team of 8 people

Collaboration and teamwork strengths:
- Mentoring junior designers
- Conducting 1-on-1 meetings for issue resolution and growth planning
- Providing feedback and support to teammates",
