Unnamed: 0,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct
6018," Web Designer & UX/UI Specialist

Projects:

1. Children's Music School Website Redesign
* Analyzed existing website to identify strengths and weaknesses
* Designed visually appealing and easy-to-navigate landing page, consistent with the school's brand identity
* Implemented responsive design principles for optimal display on all devices
* Created wireframe of the new landing page, incorporating a news block and prominent call to action
1. Pet-Saver-Hub Web Service
* Conducted user research to identify pain points in finding lost or found pets
* Incorporated interactive elements, such as a map feature, to simplify the search process
* Designed user-friendly interface with an intuitive and easy-to-navigate website
* Developed wireframes and user flows based on research findings

Skills:

* Wireframing
* Visual Design
* User Research
* Responsive Design
* Interactive Elements
* Map Features
* User Flows
* Intuitive Interface Design

Professional Summary:
A detail-oriented Web Designer & UX/UI Specialist with experience in website redesign, UX/UI design, and user research. Skilled in wireframing, visual design, and responsive design, ensuring user-friendly and aesthetically pleasing results. Adept at conducting user research, identifying pain points, and developing user flows. Values communication, teamwork, and is eager to grow and learn new skills.

Expectations:

* Opportunities to develop UI/UX design skills
* Collaboration with professionals for growth and learning
* Challenging projects with significance and impact
* Effective communication and teamwork for efficient work and results
* Interaction with users for feedback and user experience improvement
* Creativity and attention to detail in the design process
* High-quality work output"
6021," ---

**Head of Design Department**
Company, City — Start Date - End Date

* Organize design team process and optimize design flow for various projects
* Develop concepts for websites, brands, and other products; create UI/UX, animations, logo books, brand guidelines, and brandbooks
* Lead role in tenders and offline company activities
* Publications on medium.com, mmr.ua, cases.media, vc.ru
* Judge on CSSDA, Ukraine Creative Week. Finalizing process to join Awwwards judge team
* Conduct educational lectures in Underhub co-working

**Graphic Designer**
Company, City — Start Date - End Date

* Work on concept and final product visualization for"
6026," — Over a decade of experience in design
— Designed over 300 projects, including:
— 30+ product designs from scratch
— 3"
9479,"---

**Experience**

**Lead Graphic Designer & Prepress Operator/DTP Designer**

*Expertise in Adobe Photoshop, Illustrator, and InDesign. Proficient in Figma, with working knowledge of Blender and After Effects.*

**QA Madness** *[Nov 2022 - Present]*

1. Contributed significantly to the company's global redesign.
2. Redesigned the website to align with the new vision and style.
3. Introduced and implemented a fresh visual style for presentations.
4. Redesigned all SMM materials, including LinkedIn and Instagram.
5. Began using 3D elements in personal design.

**Graphic Designer**

*Skilled in Adobe Photoshop, Illustrator, InDesign, and Figma.*

**Kronas** *[Aug 2020 - Feb 2022]*

1. Designed logos, identities, and printing materials for new brands.
2. Developed 3-6 advertising key visuals per month for various platforms.
3. Introduced a new visual style for the Instagram profile.
4. Created multi-page catalogs and brochures with products in InDesign.
5. Updated the company's YouTube channel design and video covers.
6. Designed a sticker pack for Telegram and Viber.
7. Developed the design for a new trade hall, including branding stands and navigation.

**Graphic Designer**

*Skilled in Adobe Photoshop, Illustrator, InDesign, and Figma.*

**Design Studio ToTop** *[Oct 2019 - Aug 2020]*

1. Designed materials for various companies in different industries.
2. Developed logos and identities.
3. Designed outdoor advertising, including billboards, citylights, and car branding.
4. Created realistic product visualizations in Photoshop.
5. Handled numerous printing design projects for companies.
6. Designed multi-page catalogs and brochures.
7. Created the design for a brochure, received client approval, and launched it into print within one working day.

---

*Have extensive experience designing key visuals, SMM and printing materials.*

*Successfully designed logos and identities for new brands.*

*Managed a small team of two junior designers.*

*Completed a UI/UX course at Beetroot Academy, further developing skills in user-centered design and user experience.*

*Started using 3D elements in personal design.*"
16980,"Depositphotos

Content Researcher

* Researched and developed various content collections and PowerPoints for clients, supporting further advertisements or distribution of new content to email addresses or direct website publication on Depositphotos.
* Collaborated closely with content managers, analyzing development and metrics."
17014," English Philology Student

Experience:

* 4 years studying English Philology, including extensive experience in:
	+ Editing text
	+ Writing
	+ Translating
* Regularly use and stay current with various social media platforms for inspiration and staying up-to-date with trends

Skills:

* Proficient in:
	+ Text editing
	+ Writing
	+ Translation
* Familiar with various social media platforms

Education:

* Currently pursuing a degree in English Philology"
18230,"Creative/Art Director & Designer

* Over 10 years of experience in branding, marketing, advertising, graphic design, web design, and mobile app design for global clients.
* Developed and implemented 20+ unique and innovative brands in Ukraine.
* Collaborated with international clients from the USA, Canada, Australia, New Zealand, Austria, and Finland.
* Built strong and enduring relationships with clients based on trust, honesty, decency, and timeliness.
* Provided creative and effective ideas and solutions that significantly contributed to clients' business growth.

Selected Projects:

* Branding and marketing campaign for a leading Ukrainian retail company, resulting in a 30% sales increase.
* Web design and mobile app design for a Canadian startup, leading to a successful product launch and a 40% increase in user engagement.
* Graphic design and advertising campaign for an Austrian B2B company, resulting in a 25% increase in leads and a 15% increase in sales.

References available upon request."
18348," * Experienced designer with over 6 years of commercial expertise in agency settings, specializing in website, mobile, and graphic design
* Collaborated on over 100 website, branding, and advertising projects, demonstrating strong teamwork and project management skills
* Proficient in UX prototyping, UI design, and motion design for desktop and mobile applications

Skills:

* Expert in graphic design, including printed products, banners, illustrations, and icons
* Proficient in web design, including responsive and adaptive design
* Skilled in mobile design for iOS and Android platforms
* Experienced in creating wireframes and interactive prototypes
* Knowledgeable in atomic design principles and user personas and flows
* Familiar with HTML and CSS basics

Tools:

* Proficient in Figma, including team libraries, auto layout, components properties, and branches
* Expert in Adobe Photoshop and Illustrator
* Skilled in Adobe After Effects

Seeking to contribute to a strong team, bring artistic value to exciting projects, and further develop design and technical skills."
26715,"--

**Experience:**

* Over 20 years of web design, UI/UX, 3D graphics, and animation experience
	+ Co-owner of a small mobile game studio, managing full game development cycle, including:
		- Concepts
		- UI/UX design
		- Animation
		- Unity VFX
		- Communication
		- Sound editing
	+ Founded and grew an outsource studio as CTO and Tech Lead, managing:
		- 25 on-site developers
	"
26747,"• 8 Design Awards on Behance
• Honorable mention in San Francisco Design Week
• Featured in Ukrainian design: The very best of
• Contributed to a successful Australia-based digital home loan product development, within a tight-knit team of 3, from ideation to MVP, with a focus on design
• Created a comprehensive design system from scratch
• Over 6+ years of commercial experience in startups, fintech, organization management, crypto, insurance, and healthcare environments
• Proficient in Web, Mobile, Dashboard, and Web application design
• Skilled in generating hypotheses, researching, creating wireframes and prototypes, conducting usability tests, and analyzing results
• Experienced in leading a design team, collaborating with colleagues, and working independently
• Strong focus on business needs and providing best practice design advice to enhance outcomes
• Project stages:
  - Communicate with stakeholders and product managers
  - Conduct research
  - Create functionality maps, process flows
  - Develop low/high fidelity wireframes
  - Perform UI research and design
• Teamwork and mentorship:
  - Mentor junior designers
  - Conduct 1-on-1 meetings to address issues and define personal improvement areas
  - Offer feedback and support to teammates."
29788,"---

Digital 2D Artist & UI/UX Designer
Kyiv, Ukraine

Portfolio: [www.yourportfolio.com](http://www.yourportfolio.com)

Summary:

* Self-taught digital 2D artist and UI/UX designer with extensive knowledge and experience
* Proficient in Adobe Photoshop Beta, Illustrator, Figma, and Procreate App
* Strong technical understanding and up-to-date knowledge of design and technology trends
* Upper-intermediate English skills, effective communication abilities, and time and self-management skills

Experience:

* Full Stack UI/UX Designer & Illustrator (Apr 2021 - Present)
* UI/UX Designer & Illustrator (Nov 2019 - Mar 2021)
* Freelance Web-Designer (Dec 2018 - Oct 2019)

Skills:

* UI/UX Design
* Adaptive Design
* Illustration (raster/vector)
* Banner Design
* Logo Design

Tools:

* Adobe Photoshop
* Adobe Illustrator
* Procreate App
* Figma
* Midjourney

Awards:

* RED DOT Award for Brands & Communication Design (Aug 2022)

---

Please note that I made some assumptions about your portfolio website and contact information, so be sure to replace ""[www.yourportfolio.com](http://www.yourportfolio.com)"" with your actual portfolio website. Additionally, I added bullet points to your experience section to make it easier to read and added a summary section to highlight your skills and qualifications. I also added a ""Tools"" section to list the specific software you have experience with."
29835,"Digital Designer

Skills:

* Proficient in color theory, composition, and color sense
* Experienced in branding, advertising, and illustration
* Skilled in digital design, digital imagery, and digital analytics
* Expertise in creating social media ads, web ads, and E-blast
* Strong UI/UX design skills
* Proficient in HTML/CSS and WEBFLOW
* Advanced user of Figma, with working knowledge of Photoshop and Illustrator

Soft skills:

* Confident working independently and in a team
* Creative problem-solving abilities
* Excellent communication skills, with experience interfacing directly with clients

Experience:

* Completed courses in product design, basic web design, Figma, and graphic design
* Experienced digital designer with a focus on marketing, proficient in Photoshop and Illustrator, and advanced user of Figma
* Proficient in WEBFLOW, with experience in animation and CMS
* Passionate about creating visually stunning designs to help brands grow
* Experienced as both a freelance and in-house manager, with a track record of collaborating with multiple companies from different countries
* Seeking a long-term partnership with the opportunity for growth, utilizing knowledge and experience to make the customer's life easier.

Contact information. Eager to bring my background and experience to help develop award-winning campaigns for your clients."
30606,"Figma:

* Designed and implemented a comprehensive UI kit using Figma, featuring interactive components and prototypes
* Utilized Auto Layout for creating responsive and adaptive designs
* Proficient in using Figma's plugins to enhance productivity and design quality

Beetroot Academy Mentorship Projects:

* Conducted UX research, analyzed competitors, and informed design decisions
* Developed wireframes, prototypes, and high-fidelity designs using sketching and prototyping tools
* Applied principles of composition, typography, and color to create visually appealing and effective designs
* Understood and applied design principles and trends to projects
* Successfully collaborated in group work and presented projects to stakeholders
* Leveraged Google Documents, created Google Forms to streamline project management and communication"
30845," Junior UI/UX Designer

*Completed a 6-month UI/UX design course. Additional studies in HTML/CSS.*

**Projects:**

* Redesigned a real estate company's website, increasing user-friendliness and visual appeal.
* Conducted market research, created user personas, and designed a travel website for booking excursions.
* Developed a mobile application for restaurant table reservations, enhancing user engagement and usability.

**Skills:**

* Proficient in Figma, Photoshop, and Illustrator.
* Strong foundation in design principles and user-centered methodologies.
* Experienced in producing interactive prototypes, wireframes, and mockups.
* Collaborative team player with a commitment to continuous learning.

**Experience:**

* Redesigned a real estate website, conducting competitor research and implementing a modern, user-friendly design.
* Designed a web service for booking excursions, featuring search functionality, user registration, and payment processing.
* Collaborated with team to create a mobile application for restaurant table reservations, focusing on user engagement and usability.

**Seeking a full-time position in a product company** creating digital solutions for everyday life and business. I am a quick learner, responsible, and prepared to tackle complex tasks."
32072,"UI/UX Designer with a proven track record of improving user experience and engagement:

1. Enhanced the onboarding process of a financial institution's app by 35%, increasing user-friendliness and engagement.
2. Directed a team of 4 designers in producing visually appealing and functional products that cater to user needs and business goals.
3. Applied Agile planning principles to deliver targeted solutions that satisfy customer requirements.
4. Developed wireframes, mock-ups, and prototypes to establish user interface design and architecture.
5. Contributed to a 25% improvement in the audience management system of a SaaS tool, showcasing my ability to create aesthetically pleasing and effective solutions that drive business results."
46443,"Here is your new resume:

Resume

Over a decade of commercial experience in designing and developing web solutions.

• Designed large CRM, SaaS projects, mobile and desktop applications.
• Primary responsibility: creating and maintaining Design Systems to simplify and accelerate product development.
• Developed 50+ landing pages and over 10 user cabinets.
• Implemented diverse functionalities, from trendy dashboards to specific features like smart timers and photo editors.
• Proficient in Figma, Sketch, Adobe CC suite, HTML, CSS, JS, React, Next.js, WordPress, and Storybook.

Seeking a bold company or developer team committed to changing the world, with high standards for quality and a focus on improving user experience. I specialize in UI/UX, branding, corporate style, and maintaining design systems.

I am drawn to:
- Interesting, useful products for people.
- High engagement and professionalism.
- Opportunities to influence product development.
- Potential to lead product or team.

If you need a specialist who can handle UI/UX, branding, and corporate style, or if you require assistance with your product's design system, please contact me."
46506,"Software Developer

Experience:

* Developed software at a small IT company
* Utilized JavaScript technologies and React framework for building projects from scratch
* Created responsive web pages using JSX (HTML, CSS)
* Implemented animations using Framer Motion
* Incorporated Mui components in projects
* Familiar with Bootstrap, Materialize, Figma, and Adobe Photoshop."
50300,"---

**Accomplishment:**
Deployed a cutting-edge customer engagement platform for a major e-commerce business, increasing revenue by enhancing customer acquisition, satisfaction, and retention. Delivered the project on schedule and within budget, receiving high praise from users and clients.

**Technical Skills:**

* Frontend development: Proficient in React, Vue, and Flutter for interface creation.
* Backend development: Experienced in Node.js for website and application development.
* Additional skills: API integration, custom plugin development, debugging, and performance optimization.

**Current Role:**
Design frontend interfaces according to client specifications, ensuring optimal usability and exceptional application user experience. Collaborate with a team of developers or work independently. Debug issues, assess application performance, and optimize code when required. Contribute to project planning and strategize information flows between back-end databases and user interface components.

**Professional Development Goals:**

* Expand technical skillset by learning new technologies and frameworks.
* Strengthen understanding of software architecture designs through collaboration with experienced engineers.
* Develop into a reliable professional in the software industry."
51419,"UI/UX Designer

* Recent experience in UI/UX development on an out-staff basis at an IT company.
* Transitioned from programming to design, having discovered a preference for design tasks.
* Proficient in UI/UX design for web and mobile platforms.
* Experienced in freelance projects.
* Strong problem-solving skills, with a proven ability to find solutions for challenging tasks.
* Seeking full-time, remote position."
53971,"Senior Graphic Designer & Game UI/UX Designer

Experience:

* Senior Graphic Designer, 5 years
* Game UI/UX Designer, 3 years (current position)
* Indie 3D Artist (modeling, texturing, animation), 2019-present

Accomplishments:

* Demonstrated expertise in graphic design, game UI/UX design, and 3D artistry
* Specialization in game interfaces, with a strong combination of technical and artistic skills
* 1.5 years as a Game UI Designer at a leading gamedev company

Expertise:

* Game UI/UX design
* Graphic design
* 3D modeling, texturing, animation

Availability:

* Open to new opportunities in the gaming industry"
53972," — 2+ years of experience in designing websites, mobile game banners, and emails
— 1 year of experience in GameDev, creating offers and developing graphics for mobile games
— Proficient in creating layouts based on provided designs and in drawing navigation elements and decors
— Skilled in utilizing tools such as Photoshop, Figma, and can create animations in After Effects or Figma
— Strong interest in mobile games development and committed to long-term cooperation with GameDev companies
— Proven experience in delivering high-quality designs and collaborating with cross-functional teams.

(Note: The above text is based on the information provided in the original resume and does not include any additional facts or information. The language has been slightly modified to improve readability and clarity.)"
53973," ---

Game UI/UX Designer

Experience:

* Established design process and provided mentorship
* Autonomously sourced clients and trained staff
* Contributed to official website updates and logo redesign for sites and applications

Skills:

* Expertise in UI/UX design, UI artistry, and animation
* Proficient in HTML, CSS, JavaScript
* Experienced with Figma, Adobe Photoshop, Unreal Engine 4, and Unity
* Strong understanding of full project cycle and ability to collaborate with programmers

Responsibilities:

* Design intuitive UX flows aligned with the game's overall design
* Create UI screens and elements, prepare assets for programmers
* Communicate UX vision and design ideas to team members, collaborate to implement designs in-game
* Support game development with additional skills

Additional skills:

* Continuous language acquisition and learning
* Active lifestyle with participation in basketball, Brazilian jiu-jitsu, and yoga
* Experienced design instructor at IT Academy (Lviv)

Collaborates in a friendly, results-oriented team that values flexibility and individual contributions."
53974,"Game UI/UX Designer/Artist

Responsibilities:
- Created UI visuals for a released mobile casual game, collaborating with a team of designers, managers, 2D and 3D artists, and programmers
- Developed convenient and visually attractive interfaces, researching game interfaces and functional solutions
- Designed additional game interface materials including logos, icons, buttons, pop-ups, and unique mechanics
- Monitored interface layout in engines, staying up-to-date with the latest UI/UX design trends and techniques

Education:
- Bachelor's degree in ""Artist-performer"", Kyiv National University of Construction and Architecture

Experience:
- Game UI/UX Designer/Artist, Ukrainian Game Company

Seeking a job with interesting and varied tasks, utilizing my knowledge and skills in a strong team, with which I can exchange experience."
53975,"---
Graduated with honors from Web Design courses, supervised final group project
Simultaneously organized printing of materials for exhibitions in two cities
Developed welcome-box for new employees
Completed 248+ projects
3+ years of experience
Completed English courses with honors in 2022
Actively working despite current challenges

UI/UX Game Designer

Expertise:
- 4 years of commercial experience in Design and 2 years in GameDev
- Specializing in mobile shooters, educational games for kids, tactical MOBAs, multiplayer casual games
- Proficient in playing and staying updated with the latest changes in games I've worked on
- Participated in and supported the full cycle of UI/UX creation: information architecture, player flows, UI research, wireframing, style research, prototyping, resource implementation (Unity3d, with/without developer help), game tests
- Skilled in Figma, Photoshop, Unity3d, Jira, Confluence, Plastic SCM, open to learning new technologies

Achievements:
- Led full UI development for an educational mobile game with over 100,000 downloads
- Contributed to AAA PC MOBA development
- Updated design and transferred PC simulator for cybersportsmen to mobile platform, on time
- Created game graphics on graphics tablet

Ideal company:
- Friendly team, high-quality projects, sensitivity to employees
- Large or small projects, varying complexity, innovative
---"
53976,"Skills:

* Proficient in game UI-art and design
* Expert in 3D modeling, sculpting, and texturing
* Experienced in character concept art and illustration
* Skilled in environment concept design
* Strong character design abilities
* Creative and innovative design skills
* Quick learner
* Excellent team player
* Experienced teacher and leader

Software Proficiencies:

* Photoshop
* Daz Studio
* Blender
* Substance Painter
* Substance Designer
* Zbrush."
53977,"Self-starter with experience in motion design for worldwide poker and casino products. Improved design and animation export pipeline in multiple projects. Managed teams of 7+ onboard and outsourced professionals, including designers, graphics specialists, motion artists, animators, sound experts, and developers.

- Improved design and animation export pipeline in multiple projects
- Managed teams of 7+ onboard and outsourced professionals
- Contributed to poker brand reb randing
- Designed UX/UI for poker application
- Created and organized project style guides, design systems, and asset libraries
- Produced gaming motion and animations for Poker and Casino Games (Slots, Bettings, BlackJack)
- Established clean and scalable AE projects architecture
- Created motion graphics for live online events
- Contributed to the creation and organization of the Gaming Design team
- Improved accordance of Design & Animations of application in collaboration with development team, implemented new technologies in workflow
- Enhanced visual and gaming experience of product
- Designed exhaustive briefs (specs) and accompanied to the final result design, graphic, motion, sound artists, and devs
- Created design and storyboards for promotional videos

Seeking opportunity to utilize gaming industry experience and gain new expertise from leading industry specialists. Adept at disentangling tasks and taking responsibility for results. Motivate team and share a desire to create top-quality products."
53978,"UI/UX Designer

- Leveraged proficient prototyping skills to optimize UI and enhance game experience
- Implemented new features, resulting in improved performance and faster development process
- Consistently delivered high-quality work ahead of schedule, receiving high customer appreciation
- Proficient in 9-Slice Scaling for various projects
- Experienced in importing finished interfaces from Figma to Unity
- Developed User Flows and Wireframes
- Created UI from scratch, including font selection and design
- Prototyped interfaces for PC, console, and mobile devices
- Collaborated effectively with UI/UX developers, game designers, artists, and programmers."
53979,"UX/UI Designer (2020-2022)

* Conducted independent UX research to develop an indie game's interface.
* Created both low- and high-fidelity wireframes.
* Collaborated with developers and game designers.
* Utilized surveys and user testing to understand the game thoroughly.
* Implemented user-centered design to develop UX/UI solutions.
* Conceptualized ideas, creating low fidelity wireframes through to interactive visual designs or prototypes.
* Designed site maps and information architecture.
* Demonstrated how a design meets core user needs and adds value.
* Illustrated design ideas using storyboards, process flows, and sitemaps.
* Developed adaptive and responsive UX/UI wireframes for web-based applications.
* Considered negative paths and ensured design covered full customer loops.
* Created customer journey maps (CJM) and guides to support product vision.

Visual and Graphic Designer (2019-2022)

* Designed logos, conceptual identity, banners, posters, and ads.
* Generated creative ideas and closely monitored design trends.
* Paid attention to detail and structured the results of work.
* Presented ideas and defended them in front of clients when necessary.
* Collaborated with a strong team and implemented design knowledge to the product as effectively as possible."
53981," UI/UX Designer/UI Artist

* Gamedev experience since 2020, with proven track record at Game Insight, 101XP, Playrix, and WhaleApp
* Proficient in graphic design, including web and application design, branding, polygraphic design, and 2D animation
* Managed entire graphic development cycle, from understanding technical requirements to creating perfect layouts for websites and applications
* Demonstrated ability to thrive in fast-paced, creative environments with high levels of organization and project management

Key Projects:

* [Insert name of project]: [Insert brief description of your role and responsibilities]
* [Insert name of project]: [Insert brief description of your role and responsibilities]
* [Insert name of project]: [Insert brief description of your role and responsibilities]

Skills:

* Deep understanding and critical thinking
* Exceptional taste and graphic design abilities
* Proficient in technical requirements and layout design for web and applications
* Strong project management and organizational skills
* Creative and able to excel in dynamic work environments."
