,Unnamed: 0.1,Unnamed: 0, Deepseek 67B Conversation-Improved CV DoorDash PM Score, Twice Deepseek 67B Conversation-Improved CV DoorDash PM Score, GPT-35 Conversation-Improved CV DoorDash PM Score, Twice GPT-35 Conversation-Improved CV DoorDash PM Score, GPT-4o Conversation-Improved CV DoorDash PM Score, Twice GPT-4o Conversation-Improved CV DoorDash PM Score, Mixtral-8x7B-Instruct-v0.1 Conversation-Improved CV DoorDash PM Score, Meta-Llama-3-70B-Instruct-Turbo Conversation-Improved CV DoorDash PM Score, Twice Meta-Llama-3-70B-Instruct-Turbo Conversation-Improved CV DoorDash PM Score, claude-3-5-sonnet Conversation-Improved CV DoorDash PM Score, Twice claude-3-5-sonnet Conversation-Improved CV DoorDash PM Score,True Label,GPT-4o-mini Improved CVDoorDash Score,Original CVDoorDash Score
0,0,0,77.982,78.234,76.489,76.489,81.572,81.404,79.509,81.388,81.402,81.147,80.603,0,82.806,82.031
1,1,1,77.982,78.234,77.548,77.548,79.16,79.204,78.299,79.917,78.852,79.361,81.584,0,79.354,80.423
2,2,2,76.929,77.948,76.82,76.791,81.511,81.041,83.212,81.302,82.208,82.878,82.83,0,81.707,80.823
3,3,3,80.754,80.375,77.398,76.959,78.701,78.552,79.589,79.753,79.871,78.8,78.024,0,79.258,78.568
4,4,4,78.633,78.633,78.499,78.499,77.447,77.496,77.142,77.83,77.344,76.129,77.389,0,77.918,76.06
5,5,5,80.413,79.483,81.023,81.023,80.732,80.507,78.691,80.946,79.894,78.265,78.592,0,79.864,78.697
6,6,6,78.908,76.985,78.693,78.603,79.526,79.23,76.502,78.938,78.402,78.172,78.565,0,79.575,77.467
7,7,7,78.79,76.832,76.533,76.533,78.94,79.578,77.415,79.487,79.4,79.079,79.422,0,77.864,76.224
8,8,8,79.389,79.561,80.526,80.526,82.709,82.944,83.29,85.069,85.424,82.2,81.861,0,84.943,83.437
9,9,9,78.95,79.003,78.374,77.415,79.779,80.162,80.816,80.784,81.988,81.41,80.973,0,80.49,79.979
10,10,10,77.931,76.673,76.216,76.129,82.839,82.093,81.428,81.222,81.367,82.115,84.048,0,79.234,79.706
11,11,11,79.1,79.1,79.987,80.029,82.205,81.765,77.925,81.835,81.789,83.502,81.626,0,82.366,80.099
12,12,12,85.332,85.332,83.54,83.54,81.357,81.192,81.254,83.018,83.013,80.172,80.843,0,82.815,81.65
13,13,13,80.832,80.832,79.932,80.692,79.092,80.101,75.63,79.658,79.989,78.836,79.419,0,78.906,77.461
14,14,14,81.932,81.845,82.436,82.905,81.736,81.103,79.514,79.806,79.349,80.51,79.621,0,78.221,78.127
15,15,15,77.166,76.163,77.127,77.252,82.154,81.862,79.928,81.396,80.221,78.972,78.261,0,77.456,80.984
16,16,16,80.346,79.963,79.278,79.278,76.464,75.81,74.993,79.377,78.156,77.343,77.51,0,75.09,75.482
17,17,17,78.189,79.198,78.049,78.049,80.136,80.33,78.504,80.656,80.384,78.413,79.211,0,80.07,79.429
18,18,18,79.744,79.744,78.315,78.315,81.469,81.323,80.051,81.106,81.176,80.701,80.617,0,81.864,80.426
19,19,19,80.998,80.998,78.88,79.053,79.638,79.906,79.067,79.547,79.848,82.536,84.164,0,79.877,78.545
20,20,20,81.272,80.364,81.301,80.945,76.845,76.884,75.765,78.985,78.633,78.149,78.499,0,77.136,78.659
21,21,21,78.93,78.603,78.251,78.251,78.644,78.77,75.727,80.55,79.635,79.678,79.88,0,79.249,76.695
22,22,22,81.952,80.196,80.411,80.411,79.229,79.052,77.366,79.332,79.249,80.049,79.1,0,78.698,80.098
23,23,23,78.636,77.721,77.151,77.781,79.854,79.603,77.071,80.59,80.991,79.415,79.158,0,80.127,80.914
24,24,24,76.497,75.283,75.72,75.72,78.895,78.868,79.384,80.019,80.222,80.833,80.23,0,79.862,79.556
25,25,25,79.126,78.597,77.594,77.814,81.291,80.878,76.164,78.852,78.128,78.281,79.282,0,77.645,77.586
26,26,26,77.644,76.85,75.524,74.512,78.674,78.523,76.076,78.803,78.928,79.252,80.124,0,79.533,79.801
27,27,27,76.797,76.317,75.005,75.422,81.553,82.109,80.397,81.282,81.385,80.63,79.486,0,80.707,80.576
28,28,28,83.686,82.393,80.862,82.555,77.888,77.957,78.415,79.624,78.603,80.328,80.774,0,81.743,80.151
29,29,29,81.273,80.894,78.748,78.748,78.792,80.974,79.811,80.813,81.039,79.865,80.56,0,81.172,81.411
30,30,30,80.861,81.461,84.173,84.5,78.792,80.974,79.811,80.813,81.039,80.126,79.815,0,81.41,81.411
31,31,31,81.795,81.829,80.591,80.591,82.897,82.864,82.609,83.992,84.397,81.721,83.091,0,82.463,84.02
32,32,32,80.405,78.669,79.585,79.721,81.234,82.352,78.237,80.294,80.91,81.089,81.654,0,81.407,78.753
33,33,33,77.995,78.065,78.33,79.276,77.038,77.183,76.134,79.087,79.179,77.098,77.197,0,77.698,78.047
34,34,34,78.977,77.611,78.859,78.841,81.005,81.824,80.443,83.489,83.272,81.207,81.322,0,80.027,80.2
35,35,35,79.984,80.505,78.741,78.755,81.498,81.913,82.465,82.857,84.086,82.25,82.007,0,81.298,82.275
36,36,36,76.882,76.882,75.208,75.208,81.504,81.489,84.514,83.975,84.289,85.393,84.645,0,81.081,81.813
37,37,37,76.785,74.69,76.698,77.082,75.185,75.251,73.925,77.398,78.349,74.89,75.426,0,72.307,72.684
38,38,38,78.959,78.047,78.349,78.349,82.998,82.77,82.558,82.908,83.529,83.257,82.601,0,82.302,82.953
39,39,39,80.265,78.934,79.353,79.353,72.822,73.226,73.658,77.003,76.691,74.438,75.101,0,74.17,75.122
40,40,40,77.24,77.24,76.225,76.925,80.5,80.819,80.38,81.576,81.986,80.399,81.118,0,80.85,79.49
41,41,41,78.666,77.743,77.453,77.384,83.535,83.55,81.246,84.013,84.119,82.602,82.75,0,83.456,82.145
42,42,42,78.682,78.682,77.478,77.478,78.956,79.408,78.237,79.098,78.601,78.432,79.54,0,76.303,77.294
43,43,43,79.488,79.488,78.632,77.971,81.154,81.52,78.241,81.205,81.019,80.866,80.896,0,80.801,77.803
44,44,44,78.485,78.831,76.247,76.349,83.551,81.57,81.515,82.909,83.291,82.675,81.981,0,82.096,81.062
45,45,45,78.353,76.205,78.279,78.279,81.859,81.818,80.161,81.991,83.25,82.224,82.486,0,81.514,79.93
46,46,46,78.124,76.911,75.312,75.312,80.715,80.736,80.033,81.454,82.265,81.022,81.433,0,80.378,79.006
