,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_doordash_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_doordash_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_apple_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_apple_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_samsara_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_samsara_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_yelp_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_yelp_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_match_pm_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_match_pm_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_i2c_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_i2c_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_adobe_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_adobe_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_amazon_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_amazon_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_rowan_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_rowan_ux_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_google_ux_Raw_Score,Modified_gemini-3-pro-preview_of_CV_Modelgemini-3-pro-preview_google_ux_Score
6018,0.6903965,0.8451983,0.71184134,0.8559207,0.5980164,0.7990082,0.6794145,0.83970726,0.706218,0.853109,0.7868742,0.8934371,0.75800407,0.87900203,0.8178134,0.9089067,0.8019742,0.9009871,0.8237104,0.9118552
6021,0.7213297,0.86066484,0.70675457,0.8533773,0.6124996,0.8062498,0.66094244,0.8304712,0.70128715,0.8506436,0.7395065,0.86975324,0.7530296,0.8765148,0.7493707,0.87468535,0.7432001,0.87160003,0.7574384,0.8787192
6026,0.737295,0.86864746,0.731084,0.865542,0.6784718,0.8392359,0.6859815,0.84299076,0.740554,0.870277,0.8132798,0.90663993,0.7750712,0.8875356,0.8038556,0.9019278,0.7650285,0.88251424,0.8173132,0.9086566
9479,0.6939858,0.8469929,0.66684055,0.8334203,0.5648317,0.78241587,0.6067513,0.80337566,0.69253933,0.84626967,0.7857361,0.89286804,0.7559371,0.87796855,0.7572308,0.8786154,0.7626852,0.8813426,0.7981071,0.8990536
16980,0.76795363,0.8839768,0.76440215,0.8822011,0.71722853,0.85861427,0.7239325,0.86196625,0.760199,0.88009953,0.82346463,0.9117323,0.7856039,0.89280194,0.79759157,0.8987958,0.82760024,0.9138001,0.85300314,0.9265016
17014,0.630846,0.815423,0.6849717,0.84248585,0.5832659,0.79163295,0.59916675,0.7995834,0.6781019,0.83905095,0.6741294,0.83706474,0.7085607,0.85428035,0.7001207,0.85006034,0.757818,0.878909,0.7427488,0.87137437
18230,0.76799643,0.8839982,0.75455767,0.8772788,0.65843165,0.8292158,0.6712531,0.83562654,0.76959,0.884795,0.81877995,0.90939,0.8008642,0.9004321,0.8167163,0.90835816,0.77131635,0.88565814,0.81589216,0.9079461
18348,0.1642223,0.5821111,0.17766544,0.58883274,0.16855964,0.58427984,0.10893113,0.5544656,0.22874583,0.6143729,0.20353898,0.6017695,0.18218604,0.591093,0.18959719,0.59479856,0.18134867,0.59067434,0.18483716,0.59241855
26715,0.75859106,0.8792955,0.7239477,0.8619739,0.64005196,0.820026,0.661312,0.830656,0.76427007,0.88213503,0.77868277,0.88934135,0.7923904,0.8961952,0.7793981,0.88969904,0.7795419,0.889771,0.77420497,0.8871025
26747,0.7804178,0.8902089,0.75041056,0.8752053,0.66322523,0.8316126,0.67171896,0.8358595,0.74805284,0.8740264,0.81466407,0.90733206,0.7608471,0.88042355,0.82752824,0.9137641,0.7441664,0.8720832,0.8086499,0.90432495
