,CV_doordash_pm_Raw_Score,CV_doordash_pm_Score,CV_apple_pm_Raw_Score,CV_apple_pm_Score,CV_samsara_pm_Raw_Score,CV_samsara_pm_Score,CV_yelp_pm_Raw_Score,CV_yelp_pm_Score,CV_match_pm_Raw_Score,CV_match_pm_Score,CV_i2c_ux_Raw_Score,CV_i2c_ux_Score,CV_adobe_ux_Raw_Score,CV_adobe_ux_Score,CV_amazon_ux_Raw_Score,CV_amazon_ux_Score,CV_rowan_ux_Raw_Score,CV_rowan_ux_Score,CV_google_ux_Raw_Score,CV_google_ux_Score
6018,0.63945687,0.81972843,0.62273735,0.8113687,0.5815755,0.79078776,0.6237463,0.81187314,0.5993694,0.7996847,0.6450349,0.82251745,0.58491397,0.792457,0.7043843,0.85219216,0.70708567,0.8535428,0.68409276,0.8420464
6021,0.67338884,0.8366944,0.58748454,0.7937423,0.58486986,0.79243493,0.6066974,0.80334866,0.59262383,0.7963119,0.68865585,0.8443279,0.60745883,0.8037294,0.6516572,0.8258286,0.67942274,0.83971137,0.6786206,0.8393103
6026,0.62922144,0.8146107,0.60846746,0.80423373,0.6145637,0.80728185,0.6222037,0.81110185,0.6606849,0.8303424,0.7346946,0.8673473,0.69508517,0.8475426,0.7397789,0.86988944,0.74490815,0.87245405,0.7871425,0.89357126
9479,0.6726439,0.83632195,0.6248679,0.81243396,0.58156526,0.79078263,0.59785396,0.79892695,0.6753191,0.83765954,0.75456953,0.87728477,0.73701894,0.8685095,0.7346884,0.8673442,0.7654574,0.8827287,0.78315157,0.8915758
16980,0.6732104,0.8366052,0.68504107,0.84252053,0.6314038,0.8157019,0.67927206,0.839636,0.65508574,0.8275429,0.67891306,0.83945656,0.65751386,0.8287569,0.6934995,0.8467498,0.75178486,0.8758924,0.7157714,0.8578857
17014,0.39930844,0.6996542,0.5471542,0.7735771,0.4551633,0.7275816,0.47426713,0.73713356,0.47586212,0.7379311,0.36767554,0.6838378,0.4742669,0.73713344,0.50213164,0.75106585,0.58354616,0.7917731,0.5335995,0.76679975
18230,0.6337829,0.81689143,0.6496376,0.8248188,0.5529182,0.7764591,0.65449905,0.8272495,0.63972324,0.81986165,0.6098194,0.8049097,0.64676964,0.8233848,0.6395926,0.8197963,0.6350119,0.81750596,0.6470521,0.823526
18348,0.6352124,0.8176062,0.66623354,0.83311677,0.5814642,0.7907321,0.62459457,0.8122973,0.6538978,0.8269489,0.740474,0.870237,0.698128,0.849064,0.77783656,0.8889183,0.76965916,0.8848296,0.7957885,0.89789426
26715,0.61132836,0.8056642,0.6450732,0.8225366,0.53876185,0.7693809,0.62395465,0.8119773,0.6450033,0.82250166,0.6162199,0.80810994,0.6795585,0.83977926,0.6657652,0.83288264,0.6951701,0.8475851,0.6553724,0.8276862
26747,0.79520595,0.897603,0.69916284,0.8495814,0.67896426,0.8394821,0.68254435,0.8412722,0.75605434,0.8780272,0.80257237,0.9012862,0.69898874,0.84949434,0.79177374,0.8958869,0.7129544,0.8564772,0.7739341,0.88696706
29788,0.6781702,0.8390851,0.64246726,0.82123363,0.55964243,0.7798212,0.6275238,0.8137619,0.67021596,0.835108,0.71483743,0.8574187,0.6962563,0.84812814,0.68722636,0.84361315,0.70213187,0.85106593,0.73203516,0.8660176
29835,0.69330627,0.8466531,0.71212816,0.8560641,0.64475,0.822375,0.65338576,0.8266929,0.6597483,0.82987416,0.77976596,0.889883,0.72942364,0.8647118,0.7899014,0.8949507,0.81901276,0.9095064,0.8054277,0.90271384
30606,0.543836,0.771918,0.5236301,0.7618151,0.50215614,0.75107807,0.53297126,0.76648563,0.5603705,0.7801852,0.6359713,0.81798565,0.55833256,0.7791663,0.59871215,0.7993561,0.67034304,0.8351715,0.6427379,0.82136893
30845,0.71513736,0.8575687,0.6806557,0.84032786,0.63873774,0.81936884,0.6579685,0.82898426,0.6989382,0.84946907,0.7967882,0.8983941,0.69824517,0.8491226,0.79840946,0.89920473,0.7701186,0.8850593,0.7827879,0.89139396
32072,0.7745347,0.88726735,0.7521985,0.8760992,0.7664093,0.88320464,0.7230349,0.8615174,0.7253554,0.8626777,0.77438354,0.8871918,0.71471155,0.8573558,0.8220568,0.9110284,0.7691003,0.88455015,0.7759384,0.8879692
46443,0.7308061,0.86540306,0.771236,0.885618,0.7400876,0.8700438,0.7160126,0.8580063,0.7398089,0.86990446,0.7508781,0.87543905,0.70629317,0.85314655,0.8179574,0.9089787,0.79045826,0.8952291,0.79484403,0.897422
46506,0.4080309,0.70401543,0.4742441,0.73712206,0.4164987,0.70824933,0.43731582,0.7186579,0.4080178,0.70400894,0.46580988,0.7329049,0.42264432,0.7113222,0.55031264,0.7751563,0.62703186,0.8135159,0.5419129,0.77095646
50300,0.75718296,0.8785915,0.7518492,0.8759246,0.75078267,0.87539136,0.7055442,0.8527721,0.7450146,0.87250733,0.7380835,0.86904174,0.6655405,0.8327702,0.7972827,0.89864135,0.75027215,0.8751361,0.7637096,0.8818548
51419,0.4989217,0.7494608,0.5764189,0.78820944,0.45715952,0.72857976,0.4902637,0.74513185,0.5195019,0.75975096,0.5286782,0.7643391,0.6051589,0.80257946,0.562155,0.7810775,0.62404215,0.8120211,0.6127511,0.80637556
53971,0.5452852,0.7726426,0.5567517,0.77837586,0.5024268,0.75121343,0.5273099,0.76365495,0.5668981,0.78344905,0.5689868,0.7844934,0.6286663,0.81433314,0.5889688,0.7944844,0.63450193,0.81725097,0.6126895,0.80634475
53972,0.5500864,0.7750432,0.5975181,0.79875904,0.52530384,0.7626519,0.5523752,0.7761876,0.5711416,0.7855708,0.60615504,0.8030775,0.5870769,0.79353845,0.6338117,0.81690586,0.6718541,0.835927,0.64045465,0.8202273
53973,0.7435775,0.87178874,0.6878928,0.8439464,0.67896605,0.839483,0.6843583,0.8421792,0.7298105,0.86490524,0.8132396,0.9066198,0.723858,0.861929,0.8306936,0.9153468,0.8158433,0.9079217,0.8400028,0.9200014
53974,0.6384587,0.81922936,0.66396266,0.8319813,0.5871904,0.7935952,0.66017425,0.8300871,0.67015225,0.8350761,0.702886,0.851443,0.7269491,0.86347455,0.7104342,0.8552171,0.7877668,0.8938834,0.7636641,0.88183206
53975,0.697151,0.8485755,0.6828785,0.84143925,0.65941787,0.82970893,0.6358739,0.81793696,0.68940663,0.8447033,0.7533308,0.8766654,0.66208625,0.8310431,0.72241974,0.86120987,0.8017078,0.9008539,0.7684901,0.88424504
53976,0.5357692,0.7678846,0.4924361,0.7462181,0.488646,0.744323,0.5121095,0.75605476,0.5325656,0.7662828,0.6389484,0.8194742,0.6480218,0.8240109,0.5783659,0.78918296,0.6343491,0.81717455,0.656137,0.8280685
53977,0.747947,0.8739735,0.6305193,0.81525964,0.6284401,0.8142201,0.62434524,0.81217265,0.6950966,0.8475483,0.80086756,0.9004338,0.7295845,0.8647922,0.7531965,0.87659824,0.75208694,0.87604344,0.7950001,0.89750004
53978,0.63757396,0.818787,0.5847992,0.7923996,0.57480645,0.7874032,0.54515845,0.7725792,0.6749418,0.8374709,0.769436,0.884718,0.6721809,0.83609045,0.72116137,0.8605807,0.7170753,0.8585377,0.7647635,0.88238174
53979,0.71362484,0.8568124,0.6954718,0.8477359,0.66402084,0.8320104,0.6300572,0.8150286,0.74114394,0.870572,0.82920355,0.9146018,0.7327032,0.8663516,0.8186283,0.90931416,0.7472933,0.8736466,0.78681934,0.89340967
53981,0.6059861,0.80299306,0.6086372,0.8043186,0.5757936,0.7878968,0.587304,0.793652,0.65248895,0.8262445,0.7165898,0.8582949,0.71590924,0.8579546,0.70616496,0.8530825,0.74694705,0.8734735,0.7459911,0.87299556
54796,0.5987348,0.7993674,0.6214801,0.81074005,0.50328285,0.7516414,0.5925484,0.7962742,0.5310213,0.7655107,0.5580404,0.7790202,0.5786028,0.7893014,0.6222825,0.81114125,0.64125603,0.82062805,0.5932039,0.79660195
54797,0.7391714,0.8695857,0.6788686,0.83943427,0.7162772,0.85813856,0.62791574,0.81395787,0.7465365,0.87326825,0.8339528,0.9169764,0.70752907,0.85376453,0.79503006,0.89751506,0.70989776,0.8549489,0.7867489,0.89337444
54798,0.61118066,0.80559033,0.6420506,0.8210253,0.58816165,0.79408085,0.58168375,0.7908419,0.6376865,0.81884325,0.6866837,0.8433418,0.6679344,0.8339672,0.6755425,0.83777124,0.76666147,0.8833307,0.724699,0.8623495
54799,0.5011281,0.75056404,0.5539913,0.77699566,0.46488526,0.7324426,0.5593095,0.77965474,0.52221763,0.7611088,0.56613684,0.7830684,0.5914862,0.7957431,0.6201942,0.8100971,0.7092738,0.8546369,0.6747191,0.83735955
54800,0.5366397,0.76831985,0.5710547,0.78552735,0.49903283,0.7495164,0.5138891,0.75694454,0.5453899,0.77269495,0.6129997,0.80649984,0.6346567,0.81732833,0.6435057,0.82175285,0.64736617,0.8236831,0.67032146,0.83516073
