,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_doordash_pm_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_doordash_pm_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_apple_pm_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_apple_pm_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_samsara_pm_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_samsara_pm_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_yelp_pm_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_yelp_pm_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_match_pm_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_match_pm_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_i2c_ux_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_i2c_ux_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_adobe_ux_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_adobe_ux_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_amazon_ux_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_amazon_ux_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_rowan_ux_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_rowan_ux_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_google_ux_Raw_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_google_ux_Score
6018,0.66646415,0.83323205,0.6602398,0.8301199,0.5999874,0.7999937,0.64600766,0.8230038,0.6820593,0.84102964,0.74941075,0.8747054,0.7063862,0.8531931,0.77624345,0.8881217,0.7425909,0.87129545,0.76552606,0.882763
6021,0.67103004,0.835515,0.60680854,0.8034043,0.58970916,0.7948546,0.60429573,0.80214787,0.61087275,0.8054364,0.70257694,0.85128844,0.6144314,0.8072157,0.66684663,0.8334233,0.68406916,0.8420346,0.6849165,0.84245825
6026,0.63719606,0.81859803,0.635816,0.817908,0.55019486,0.7750974,0.60198575,0.80099285,0.68290985,0.8414549,0.75741506,0.8787075,0.73019016,0.8650951,0.74502647,0.87251323,0.70301473,0.85150737,0.75585777,0.87792885
9479,0.64591366,0.8229568,0.608512,0.80425596,0.5249197,0.7624599,0.581051,0.7905255,0.65811706,0.8290585,0.7433512,0.8716756,0.7177241,0.85886204,0.7275357,0.86376786,0.72574073,0.86287034,0.7647289,0.88236445
16980,0.7105439,0.85527194,0.74432415,0.8721621,0.6739446,0.8369723,0.7193024,0.8596512,0.71787834,0.8589392,0.70520043,0.8526002,0.71179104,0.8558955,0.7498796,0.8749398,0.7600811,0.8800405,0.73234665,0.8661733
17014,0.47376674,0.7368834,0.60176307,0.8008815,0.5012045,0.75060225,0.52968645,0.7648432,0.55103594,0.77551794,0.45490557,0.72745275,0.54160976,0.7708049,0.5573328,0.7786664,0.6313797,0.81568986,0.5954132,0.7977066
18230,0.61549234,0.8077462,0.63117063,0.8155853,0.5187284,0.7593642,0.58688915,0.7934446,0.6356677,0.81783384,0.667097,0.8335485,0.6667104,0.8333552,0.6956043,0.84780216,0.66164225,0.83082116,0.6716715,0.83583575
18348,0.65634936,0.8281747,0.6808845,0.84044224,0.58596796,0.792984,0.6202321,0.81011605,0.6897284,0.8448642,0.7878622,0.8939311,0.73915136,0.8695757,0.7940138,0.89700687,0.79577756,0.8978888,0.82665455,0.9133273
26715,0.71938,0.85969,0.7023388,0.8511694,0.609865,0.8049325,0.6401191,0.82005954,0.760094,0.88004696,0.764863,0.8824315,0.7736695,0.88683474,0.7693549,0.8846774,0.7647556,0.8823778,0.76759493,0.88379747
26747,0.7798628,0.88993144,0.71779656,0.8588983,0.66861886,0.83430946,0.67401814,0.8370091,0.7661301,0.88306504,0.83433634,0.91716814,0.75599813,0.87799907,0.8170005,0.90850025,0.7714939,0.88574696,0.8316482,0.91582406
29788,0.5390854,0.7695427,0.5582764,0.7791382,0.48350877,0.7417544,0.52058053,0.76029027,0.5820273,0.79101366,0.6320176,0.8160088,0.6412587,0.82062936,0.6212185,0.8106092,0.6468842,0.8234421,0.6689421,0.83447105
29835,0.6497686,0.8248843,0.6458664,0.8229332,0.52896786,0.7644839,0.57141834,0.78570914,0.65175194,0.825876,0.77032053,0.88516027,0.7442036,0.8721018,0.7432178,0.8716089,0.75525665,0.8776283,0.784443,0.8922215
30606,0.63249195,0.816246,0.57163274,0.7858164,0.541574,0.770787,0.57166314,0.7858316,0.64469224,0.8223461,0.7772192,0.8886096,0.6614374,0.8307187,0.711928,0.855964,0.72667074,0.8633354,0.7441271,0.8720635
30845,0.7298417,0.86492085,0.7112813,0.85564065,0.6510185,0.82550925,0.6928328,0.8464164,0.7503071,0.87515354,0.83574533,0.91787267,0.76581097,0.8829055,0.8392949,0.91964746,0.8113421,0.90567106,0.8308991,0.91544956
32072,0.7608616,0.8804308,0.72986656,0.86493325,0.7222508,0.8611254,0.6955036,0.8477518,0.7265246,0.8632623,0.7799424,0.8899712,0.70917463,0.8545873,0.8045201,0.90226007,0.7607672,0.8803836,0.7592006,0.8796003
46443,0.7649707,0.8824854,0.7700531,0.8850266,0.7081653,0.85408264,0.7007709,0.8503854,0.81085336,0.9054267,0.83569264,0.9178463,0.8005495,0.90027475,0.850811,0.9254055,0.83289814,0.91644907,0.8609134,0.9304567
46506,0.47085497,0.7354275,0.52861905,0.7643095,0.44487494,0.7224375,0.45625138,0.7281257,0.51110524,0.75555265,0.5895988,0.7947994,0.5305401,0.76527005,0.6202285,0.81011426,0.6539068,0.8269534,0.6420585,0.82102925
50300,0.6675757,0.83378786,0.67495775,0.8374789,0.6724746,0.8362373,0.621843,0.8109215,0.7187412,0.8593706,0.76807666,0.8840383,0.6773919,0.83869594,0.7759183,0.8879591,0.7578182,0.8789091,0.79369724,0.8968486
51419,0.63714516,0.8185726,0.65116465,0.8255823,0.56082666,0.7804133,0.5900135,0.79500675,0.6640675,0.83203375,0.7249987,0.86249936,0.71979535,0.8598977,0.74199545,0.8709977,0.7477801,0.87389004,0.7622544,0.88112724
53971,0.6225734,0.8112867,0.61219025,0.8060951,0.5272014,0.7636007,0.5512429,0.7756214,0.6547382,0.8273691,0.6847863,0.84239316,0.70784646,0.8539232,0.68433654,0.8421683,0.72632205,0.863161,0.6985676,0.8492838
53972,0.63104224,0.8155211,0.6488379,0.82441896,0.5608046,0.7804023,0.5923668,0.7961834,0.65594673,0.82797337,0.6893017,0.84465086,0.6842096,0.8421048,0.72579014,0.8628951,0.71650237,0.8582512,0.7050606,0.8525303
53973,0.62578773,0.81289387,0.6016253,0.80081266,0.5510476,0.7755238,0.56548965,0.7827448,0.6609094,0.8304547,0.77651405,0.888257,0.737462,0.868731,0.74844784,0.87422395,0.7800568,0.89002836,0.8232411,0.91162056
53974,0.59726924,0.79863465,0.57912934,0.78956467,0.5219312,0.7609656,0.5761463,0.7880732,0.6272663,0.81363314,0.67985606,0.83992803,0.6759107,0.83795536,0.65954214,0.82977104,0.69233966,0.8461698,0.6983581,0.849179
53975,0.6458398,0.8229199,0.60488844,0.8024442,0.5978854,0.7989427,0.5594627,0.7797314,0.64757985,0.82378995,0.7508898,0.8754449,0.65799,0.828995,0.6870281,0.8435141,0.7145812,0.8572906,0.7112167,0.85560834
53976,0.53672624,0.7683631,0.5043934,0.75219667,0.4724119,0.73620594,0.48608845,0.74304426,0.5443649,0.77218246,0.6155307,0.80776536,0.6131447,0.8065723,0.5831114,0.7915557,0.6300961,0.81504804,0.6230715,0.8115357
53977,0.7556217,0.87781084,0.67262733,0.83631366,0.64200187,0.82100093,0.6616345,0.8308172,0.7454708,0.8727354,0.8153363,0.9076681,0.77311885,0.8865594,0.7892337,0.89461684,0.77806425,0.8890321,0.8085273,0.9042636
53978,0.7068602,0.8534301,0.6431247,0.82156235,0.60998154,0.80499077,0.5766696,0.7883348,0.7265035,0.86325175,0.8494909,0.92474544,0.7443757,0.87218785,0.7709508,0.8854754,0.77282995,0.886415,0.8315573,0.91577864
53979,0.7296714,0.86483574,0.67775774,0.83887887,0.63069594,0.81534797,0.6215962,0.8107981,0.73978746,0.8698937,0.846055,0.9230275,0.7485249,0.87426245,0.79216456,0.8960823,0.7593864,0.8796932,0.7894014,0.8947007
53981,0.53622925,0.7681146,0.54731154,0.7736558,0.4948768,0.74743843,0.5643623,0.78218114,0.5778408,0.7889204,0.64529455,0.8226473,0.6536238,0.8268119,0.66330326,0.8316516,0.68823594,0.844118,0.67817104,0.8390855
54796,0.60376084,0.8018804,0.6105415,0.8052708,0.48329413,0.74164706,0.5769812,0.7884906,0.5530988,0.7765494,0.616824,0.80841196,0.6145648,0.8072824,0.6842152,0.8421076,0.64189273,0.82094634,0.6297162,0.8148581
54797,0.73567605,0.867838,0.7084533,0.85422665,0.67110837,0.8355542,0.62141204,0.810706,0.73813105,0.8690655,0.8359076,0.9179538,0.7393371,0.86966854,0.79218364,0.8960918,0.74533737,0.8726687,0.77193,0.885965
54798,0.6063003,0.8031502,0.6493106,0.8246553,0.5403261,0.77016306,0.59335816,0.7966791,0.6334681,0.8167341,0.659884,0.829942,0.64997005,0.824985,0.6747612,0.8373806,0.7267581,0.86337906,0.67484045,0.8374202
54799,0.5336214,0.76681066,0.5686376,0.7843188,0.45957297,0.7297865,0.5355487,0.76777434,0.557006,0.778503,0.63150126,0.8157506,0.63175774,0.81587887,0.6511055,0.82555276,0.7133211,0.85666054,0.71159697,0.8557985
54800,0.6447482,0.8223741,0.6254474,0.8127237,0.5568892,0.7784446,0.5621363,0.78106815,0.63216615,0.8160831,0.72262335,0.8613117,0.70485115,0.8524256,0.741876,0.870938,0.7389985,0.8694992,0.74782944,0.8739147
56453,0.69064856,0.8453243,0.6812265,0.84061325,0.61628425,0.8081421,0.596393,0.7981965,0.7472445,0.87362224,0.77045494,0.88522744,0.7947736,0.8973868,0.74973536,0.8748677,0.77106655,0.8855333,0.78384525,0.8919226
56528,0.6359662,0.8179831,0.60911983,0.80455995,0.5127827,0.75639135,0.5968194,0.7984097,0.65270567,0.82635283,0.73403764,0.8670188,0.7208164,0.8604082,0.7032072,0.8516036,0.7432183,0.87160915,0.73782974,0.86891484
56542,0.654718,0.82735896,0.66352457,0.8317623,0.5822718,0.7911359,0.6530465,0.82652324,0.6697794,0.8348897,0.73420465,0.8671023,0.70874834,0.8543742,0.77139294,0.8856965,0.7490065,0.87450325,0.7595685,0.8797842
56543,0.5511707,0.77558535,0.5387913,0.76939565,0.47007006,0.73503506,0.49107134,0.7455357,0.54299116,0.7714956,0.58636004,0.79318,0.6226777,0.81133884,0.5987267,0.7993634,0.62642235,0.8132112,0.6023709,0.8011855
56544,0.7084286,0.8542143,0.6781255,0.83906275,0.6261414,0.8130707,0.6710695,0.83553475,0.7086513,0.85432565,0.7843917,0.8921958,0.7416263,0.87081313,0.78045344,0.8902267,0.7710897,0.88554484,0.809088,0.904544
56545,0.49856174,0.74928087,0.5433548,0.7716774,0.44339412,0.7216971,0.48336643,0.74168324,0.4557966,0.7278983,0.47031677,0.7351584,0.4732812,0.7366406,0.5625943,0.78129715,0.56782395,0.78391194,0.52353954,0.7617698
56618,0.65174246,0.8258712,0.67997086,0.83998543,0.5892762,0.7946381,0.6139615,0.8069807,0.65429336,0.82714665,0.72800684,0.8640034,0.71234316,0.8561716,0.7760164,0.88800824,0.7758329,0.88791645,0.7732296,0.8866148
56619,0.5812617,0.7906308,0.5996642,0.7998321,0.50959635,0.7547982,0.5499975,0.7749988,0.62130165,0.8106508,0.6838124,0.8419062,0.70417273,0.85208637,0.6753883,0.83769417,0.70252436,0.8512622,0.7284015,0.8642007
56629,0.7521875,0.87609375,0.7105366,0.8552683,0.6413591,0.82067955,0.65648115,0.8282406,0.76564276,0.8828214,0.87480223,0.9374011,0.80769944,0.9038497,0.8735813,0.93679065,0.7956502,0.8978251,0.8546475,0.92732376
56630,0.6571028,0.8285514,0.6419706,0.8209853,0.5486063,0.77430314,0.59018517,0.7950926,0.65144825,0.8257241,0.7647188,0.8823594,0.73507345,0.8675367,0.7430165,0.87150824,0.7489861,0.87449306,0.78967845,0.8948392
56631,0.5763367,0.7881683,0.5990154,0.79950774,0.5118525,0.75592625,0.56953436,0.78476715,0.6015595,0.80077976,0.6603309,0.83016545,0.63202876,0.8160144,0.6833814,0.84169066,0.7335745,0.86678725,0.75273514,0.87636757
56632,0.6706438,0.8353219,0.64162636,0.8208132,0.5807811,0.79039055,0.6239668,0.8119834,0.69167084,0.84583545,0.776418,0.888209,0.74214387,0.87107193,0.8011904,0.9005952,0.7580724,0.8790362,0.8113203,0.90566015
56633,0.6531573,0.8265786,0.62362874,0.81181437,0.5873318,0.7936659,0.58237255,0.7911863,0.6530194,0.8265097,0.71100897,0.8555045,0.67878705,0.8393935,0.70127946,0.8506397,0.7086445,0.85432225,0.69960773,0.84980386
