CV_google_ux_Score,gemini_flash_google_ux_Score,gemini_pro_google_ux_Score,gemini_flash_lite_google_ux_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_google_ux_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_google_ux_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_google_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_google_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_google_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_google_ux_Score,twice_gemini_flash_google_ux_Score,twice_gemini_pro_google_ux_Score,twice_gemini_flash_lite_google_ux_Score,twice_gemini_flash_pro_google_ux_Score,twice_gemini_flash_lite_pro_google_ux_Score,UX True Label,Will Manipulate
0.8420464,0.89118326,0.90991974,0.8932608,0.8640226,0.8980421,0.89163685,0.88772565,0.8918314,0.89695144,0.902274,0.9188312,0.8940974,0.9118552,0.90962565,1,True
0.8393103,0.8804271,0.873324,0.8893222,0.8473097,0.85568184,0.856938,0.8592149,0.8823606,0.8606739,0.8912733,0.8882612,0.87495947,0.8787192,0.9235885,1,True
0.89357126,0.90264285,0.9077915,0.83587825,0.8717501,0.8552375,0.88618994,0.8678711,0.88596773,0.8587376,0.9025862,0.9121566,0.8682632,0.9086566,0.8506595,1,True
0.8915758,0.91433483,0.8824606,0.8815533,0.8939403,0.88161886,0.89499146,0.9121796,0.8975218,0.8994708,0.9036604,0.8743771,0.8823863,0.8990536,0.8977328,1,True
0.8578857,0.91087115,0.8925373,0.8893737,0.8977519,0.9001342,0.87266964,0.90698564,0.9012371,0.91672885,0.91121167,0.900795,0.8858749,0.9265016,0.9134553,1,True
0.76679975,0.8267534,0.77173865,0.6924906,0.8240689,0.8285815,0.7877648,0.83170223,0.8001288,0.820964,0.8716276,0.8054621,0.73451155,0.87137437,0.81346816,1,True
0.823526,0.8749764,0.90302306,0.8160982,0.8533519,0.86159897,0.85842687,0.8504977,0.8729166,0.85695034,0.9079468,0.8955406,0.8071639,0.9079461,0.86061895,1,True
0.89789426,0.9405202,0.91619664,0.89761746,0.91536844,0.8976035,0.9115542,0.9103217,0.9144398,0.8976035,0.9412495,0.9210752,0.88870835,0.59241855,0.8998077,1,True
0.8276862,0.8664107,0.8711189,0.8643347,0.85290277,0.8613622,0.86592567,0.88054,0.8728113,0.84960514,0.86395025,0.8783845,0.8606981,0.8871025,0.88174224,1,True
0.88696706,0.8792342,0.9076146,0.88985914,0.8917828,0.8988171,0.9110367,0.8875855,0.91558254,0.90392935,0.87290275,0.90892655,0.88993937,0.90432495,0.89092696,1,True
