,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_doordash_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_doordash_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_apple_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_apple_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_samsara_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_samsara_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_yelp_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_yelp_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_match_pm_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_match_pm_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_i2c_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_i2c_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_adobe_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_adobe_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_amazon_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_amazon_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_rowan_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_rowan_ux_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_google_ux_Raw_Score,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5_google_ux_Score
6018,0.6589091,0.82945454,0.6519719,0.8259859,0.59162045,0.7958102,0.6393817,0.8196908,0.687536,0.843768,0.7536048,0.87680244,0.70700926,0.85350466,0.7752688,0.8876344,0.74275327,0.87137663,0.77032447,0.88516223
6021,0.6846324,0.8423162,0.6453803,0.8226901,0.61175567,0.8058778,0.6339133,0.81695664,0.6404964,0.8202482,0.7031672,0.8515836,0.6618024,0.8309012,0.68773675,0.8438684,0.71921325,0.8596066,0.7131171,0.85655856
6026,0.63118875,0.8155944,0.62914735,0.81457365,0.5340072,0.7670036,0.59896505,0.7994825,0.6596251,0.8298125,0.74523693,0.87261844,0.71211094,0.8560555,0.73297536,0.8664877,0.69988465,0.8499423,0.7614484,0.8807242
9479,0.6749649,0.83748245,0.64968956,0.8248448,0.56042826,0.78021413,0.60497695,0.80248845,0.6604789,0.8302394,0.75931185,0.87965596,0.7064533,0.85322666,0.7603565,0.8801782,0.7315322,0.8657661,0.77684987,0.88842493
16980,0.72461605,0.862308,0.7403686,0.8701843,0.6650523,0.83252615,0.70311517,0.8515576,0.7191989,0.8595995,0.7429035,0.87145174,0.7223332,0.8611666,0.7465406,0.8732703,0.76253176,0.8812659,0.7595538,0.8797769
17014,0.4737668,0.7368834,0.6017631,0.80088156,0.5012045,0.75060225,0.52968657,0.7648433,0.551036,0.775518,0.45490566,0.7274528,0.5416098,0.7708049,0.5573329,0.77866644,0.63137984,0.8156899,0.5954133,0.79770666
18230,0.68594515,0.8429726,0.6848011,0.84240055,0.56504524,0.7825226,0.6183182,0.8091591,0.6950754,0.8475377,0.767053,0.8835265,0.738666,0.869333,0.76891124,0.8844556,0.7282709,0.86413544,0.7666787,0.88333935
18348,0.6862351,0.84311754,0.6984963,0.8492482,0.61912775,0.8095639,0.6249548,0.8124774,0.72445774,0.8622289,0.8357682,0.9178841,0.7652668,0.8826334,0.8245555,0.91227776,0.808012,0.904006,0.85876936,0.9293847
26715,0.6987256,0.8493628,0.6826478,0.8413239,0.5966796,0.79833984,0.63256764,0.8162838,0.73437536,0.8671877,0.7416142,0.8708071,0.7375829,0.86879146,0.7489493,0.87447464,0.74759036,0.87379515,0.7454288,0.8727144
26747,0.7884985,0.89424926,0.69962883,0.8498144,0.64060366,0.82030183,0.6418501,0.82092506,0.7764672,0.8882336,0.8553354,0.92766774,0.76450115,0.88225055,0.8220571,0.91102856,0.74770355,0.8738518,0.83540595,0.917703
29788,0.53428435,0.7671422,0.5450064,0.7725032,0.4479277,0.72396386,0.5056802,0.7528401,0.572964,0.786482,0.6273973,0.81369865,0.65467143,0.8273357,0.6110748,0.8055374,0.6433799,0.82168996,0.6631528,0.8315764
29835,0.64447784,0.8222389,0.6286924,0.8143462,0.5303894,0.7651947,0.57017577,0.7850879,0.64550906,0.8227545,0.75913453,0.87956727,0.7340965,0.86704826,0.7337488,0.8668744,0.73966956,0.8698348,0.77543557,0.8877178
30606,0.627663,0.8138315,0.5449115,0.77245575,0.5142187,0.75710934,0.54478896,0.7723945,0.6633544,0.8316772,0.79980135,0.8999007,0.681375,0.8406875,0.7061541,0.85307705,0.7036408,0.8518204,0.7575128,0.8787564
30845,0.7252502,0.8626251,0.730866,0.865433,0.6466806,0.8233403,0.6631335,0.83156675,0.76423794,0.88211894,0.847646,0.923823,0.7712482,0.8856241,0.84531593,0.92265797,0.8221023,0.91105115,0.8440199,0.92200994
32072,0.77870655,0.8893533,0.7239063,0.86195314,0.72418326,0.86209166,0.6935294,0.8467647,0.7522626,0.8761313,0.82632035,0.9131602,0.7229995,0.8614998,0.8122133,0.90610665,0.75567883,0.87783945,0.79376566,0.89688283
46443,0.7411983,0.87059915,0.72928154,0.8646408,0.7052381,0.85261905,0.6593226,0.8296613,0.77408457,0.8870423,0.8496254,0.9248127,0.7589971,0.87949854,0.83823735,0.91911864,0.76872027,0.88436013,0.8502393,0.92511964
46506,0.55596495,0.7779825,0.5992727,0.79963636,0.52201194,0.761006,0.5122726,0.7561363,0.60736215,0.8036811,0.6818447,0.84092236,0.6207144,0.8103572,0.69071627,0.84535813,0.725163,0.8625815,0.7265927,0.8632964
50300,0.6939883,0.84699416,0.6960803,0.84804016,0.67596555,0.8379828,0.64627135,0.8231357,0.7318384,0.86591923,0.78869367,0.89434683,0.7024704,0.8512352,0.7905512,0.8952756,0.77800715,0.8890036,0.8148917,0.90744585
51419,0.6956398,0.8478199,0.663759,0.8318795,0.58943594,0.79471797,0.5883185,0.7941593,0.70927215,0.8546361,0.78564906,0.89282453,0.71378106,0.85689056,0.76520145,0.8826007,0.7153189,0.85765946,0.76248395,0.881242
53971,0.65106916,0.8255346,0.6293049,0.81465244,0.5647828,0.7823914,0.5732194,0.7866097,0.6948956,0.8474478,0.75913894,0.8795695,0.74979484,0.8748974,0.74737334,0.8736867,0.7629016,0.8814508,0.7693696,0.8846848
53972,0.6244162,0.81220806,0.6491069,0.8245535,0.5600709,0.78003544,0.58851796,0.79425895,0.65051615,0.8252581,0.6801945,0.84009725,0.6790459,0.83952296,0.72325766,0.86162883,0.7121543,0.8560772,0.7013459,0.85067296
53973,0.6594586,0.8297293,0.6201561,0.810078,0.57764745,0.7888237,0.5845753,0.79228765,0.68588823,0.84294415,0.79646903,0.8982345,0.74542385,0.8727119,0.7635159,0.881758,0.77966946,0.88983476,0.82258475,0.9112924
53974,0.62690896,0.8134545,0.5796617,0.78983086,0.53405404,0.767027,0.54660404,0.773302,0.65851176,0.8292559,0.7688893,0.88444465,0.71488154,0.85744077,0.7002455,0.85012275,0.71740365,0.8587018,0.7717098,0.8858549
53975,0.6218153,0.81090766,0.5725721,0.78628606,0.5628603,0.7814301,0.56811076,0.78405535,0.6223626,0.8111813,0.7231314,0.8615657,0.63243645,0.81621826,0.6722825,0.8361412,0.6958674,0.8479337,0.6888633,0.84443164
53976,0.650332,0.825166,0.6012239,0.800612,0.55908525,0.7795426,0.56427026,0.7821351,0.6629771,0.83148855,0.7312516,0.8656258,0.7242371,0.86211854,0.69808865,0.8490443,0.7163869,0.85819346,0.72162783,0.8608139
53977,0.71069425,0.85534716,0.6252563,0.81262815,0.5649059,0.78245294,0.60642415,0.80321205,0.6754652,0.8377326,0.7638756,0.8819378,0.71153015,0.8557651,0.7297321,0.864866,0.7415225,0.8707613,0.7455481,0.87277406
53978,0.7162386,0.8581193,0.6410109,0.82050544,0.60879135,0.8043957,0.5836531,0.79182655,0.74473995,0.87237,0.86553836,0.9327692,0.74477166,0.87238586,0.7684755,0.88423777,0.754696,0.877348,0.83810693,0.91905344
53979,0.7576734,0.8788367,0.71166134,0.85583067,0.65150917,0.8257546,0.6596645,0.82983226,0.77362496,0.88681245,0.86396503,0.9319825,0.7620849,0.8810425,0.81301117,0.9065056,0.78341305,0.8917065,0.8108213,0.90541065
53981,0.5424366,0.7712183,0.5555035,0.77775174,0.49586362,0.74793184,0.5678651,0.78393257,0.58477914,0.7923896,0.65236866,0.82618433,0.66229826,0.8311491,0.66506195,0.832531,0.69605875,0.8480294,0.68171626,0.8408581
54796,0.65255237,0.8262762,0.6016705,0.80083525,0.5166575,0.75832874,0.55409706,0.7770485,0.5709967,0.7854984,0.6626849,0.83134246,0.6110679,0.80553395,0.68854237,0.8442712,0.6284844,0.81424224,0.6481972,0.8240986
54797,0.7280582,0.8640291,0.67862654,0.83931327,0.63777196,0.818886,0.61296475,0.8064824,0.74541324,0.87270665,0.878911,0.9394555,0.76841533,0.88420767,0.8228415,0.91142076,0.7892246,0.8946123,0.8353315,0.9176657
54798,0.6916486,0.8458243,0.66961443,0.8348072,0.59637606,0.79818803,0.62631106,0.81315553,0.70042676,0.8502134,0.7641866,0.8820933,0.7045292,0.85226464,0.72698987,0.86349493,0.75187314,0.87593657,0.7570071,0.87850356
54799,0.613081,0.8065405,0.6144724,0.8072362,0.5220716,0.7610358,0.5683398,0.7841699,0.62504464,0.8125223,0.719753,0.8598765,0.7049987,0.85249937,0.70520926,0.8526046,0.75595295,0.8779765,0.78112924,0.8905646
54800,0.7042405,0.8521203,0.6814687,0.84073436,0.6031951,0.80159754,0.6053866,0.8026933,0.6893889,0.84469444,0.7710383,0.88551915,0.7388907,0.8694453,0.777907,0.8889535,0.76650596,0.883253,0.77531755,0.8876588
56453,0.70040536,0.8502027,0.63609934,0.81804967,0.5964357,0.7982179,0.5423986,0.7711993,0.73674464,0.8683723,0.82751817,0.9137591,0.7782066,0.8891033,0.7434037,0.87170184,0.7544557,0.87722784,0.8136476,0.9068238
56528,0.68533945,0.8426697,0.65014553,0.82507277,0.5662098,0.7831049,0.61680114,0.8084006,0.6772225,0.83861125,0.75018394,0.87509197,0.7343699,0.86718494,0.73362994,0.866815,0.76919866,0.8845993,0.76169145,0.8808457
56542,0.66011035,0.8300552,0.6305222,0.8152611,0.5693956,0.7846978,0.62611663,0.8130583,0.6655895,0.8327948,0.7467276,0.8733638,0.6927923,0.84639615,0.7589232,0.8794616,0.7201968,0.86009836,0.74985284,0.87492645
56543,0.5609977,0.78049886,0.54176736,0.7708837,0.45832348,0.72916174,0.4825076,0.7412538,0.556474,0.778237,0.6042226,0.80211127,0.63415426,0.81707716,0.6003715,0.80018574,0.6278382,0.81391907,0.6157727,0.80788636
56544,0.70938873,0.85469437,0.6794652,0.8397326,0.61308175,0.80654085,0.65274876,0.8263744,0.71132946,0.85566473,0.7894964,0.8947482,0.76532817,0.8826641,0.768471,0.8842355,0.7690402,0.8845201,0.8171331,0.9085666
56545,0.59085107,0.79542553,0.6427469,0.82137346,0.5059415,0.75297076,0.5696049,0.78480244,0.57380617,0.7869031,0.5839622,0.7919811,0.6039956,0.8019978,0.68176806,0.84088403,0.6699914,0.8349957,0.61908865,0.8095443
56618,0.65252423,0.8262621,0.68396556,0.8419828,0.5910338,0.7955169,0.6167639,0.8083819,0.6544653,0.82723266,0.72877705,0.8643885,0.7112764,0.8556382,0.7784517,0.88922584,0.77990603,0.889953,0.7744841,0.8872421
56619,0.69007146,0.84503573,0.6614316,0.8307158,0.59422076,0.7971104,0.6060194,0.8030097,0.6992934,0.8496467,0.7987965,0.8993982,0.7498885,0.8749442,0.74188817,0.8709441,0.750882,0.875441,0.8072493,0.90362465
56629,0.7315662,0.8657831,0.70145845,0.8507292,0.6384589,0.8192295,0.66021323,0.8301066,0.71300495,0.8565025,0.81697184,0.9084859,0.74926686,0.87463343,0.8303596,0.9151798,0.7640605,0.88203025,0.7874129,0.89370644
56630,0.71397054,0.8569853,0.65637505,0.8281875,0.57479775,0.7873989,0.5986326,0.7993163,0.6964493,0.84822464,0.81920576,0.9096029,0.75081646,0.87540823,0.777826,0.88891304,0.7560073,0.87800366,0.81456995,0.907285
56631,0.54875803,0.774379,0.5646505,0.78232527,0.4823549,0.74117744,0.54013693,0.77006847,0.5729056,0.7864528,0.63653433,0.81826717,0.6075596,0.80377984,0.6499589,0.8249794,0.6924459,0.84622294,0.72352123,0.8617606
56632,0.6697551,0.83487755,0.64302415,0.8215121,0.57651335,0.78825665,0.6233524,0.8116762,0.6949692,0.8474846,0.77889335,0.8894467,0.748389,0.8741945,0.8050509,0.9025254,0.75607866,0.87803936,0.8162621,0.90813106
56633,0.6778877,0.83894384,0.59495,0.797475,0.5872079,0.79360396,0.5629261,0.781463,0.6519596,0.8259798,0.77132106,0.8856605,0.6839458,0.8419729,0.6923994,0.8461997,0.6735558,0.8367779,0.75800383,0.8790019
56634,0.5681422,0.7840711,0.57620394,0.788102,0.49412465,0.7470623,0.5249609,0.76248044,0.610093,0.8050465,0.6808454,0.8404227,0.67797434,0.8389872,0.68425536,0.8421277,0.72338516,0.86169255,0.7197907,0.85989535
56635,0.6992315,0.84961575,0.7146328,0.8573164,0.6227014,0.8113507,0.5954206,0.7977103,0.7290597,0.86452985,0.8360193,0.91800964,0.7854699,0.89273494,0.8156378,0.9078189,0.78290796,0.891454,0.8302848,0.9151424
56637,0.70877457,0.8543873,0.7069367,0.85346836,0.59332514,0.79666257,0.65380144,0.8269007,0.73564714,0.8678236,0.78035676,0.8901784,0.75125396,0.875627,0.8258692,0.9129346,0.7736273,0.88681364,0.7877154,0.8938577
56638,0.6999496,0.8499748,0.6703391,0.83516955,0.61200655,0.8060033,0.5957392,0.79786956,0.7439673,0.87198365,0.7772139,0.8886069,0.789765,0.8948825,0.7776404,0.8888202,0.7279506,0.8639753,0.7777815,0.88889074
56639,0.59041584,0.7952079,0.5909202,0.7954601,0.52315176,0.7615759,0.5509521,0.77547604,0.64709765,0.8235488,0.71512336,0.8575617,0.7330073,0.86650366,0.7095331,0.85476655,0.7197279,0.85986394,0.764992,0.882496
56641,0.5751065,0.78755325,0.54677427,0.77338713,0.48868614,0.74434304,0.53480756,0.7674038,0.5931449,0.79657245,0.6942432,0.8471216,0.6802903,0.8401451,0.6386759,0.81933796,0.68902844,0.84451425,0.7303357,0.86516786
56642,0.5935048,0.7967524,0.5450778,0.7725389,0.4768201,0.73841006,0.5072294,0.75361466,0.59288156,0.7964408,0.6928794,0.8464397,0.69181716,0.8459086,0.6428319,0.82141596,0.6940991,0.8470496,0.69731426,0.84865713
