,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_doordash_pm_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_doordash_pm_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_apple_pm_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_apple_pm_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_samsara_pm_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_samsara_pm_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_yelp_pm_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_yelp_pm_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_match_pm_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_match_pm_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_i2c_ux_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_i2c_ux_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_adobe_ux_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_adobe_ux_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_amazon_ux_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_amazon_ux_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_rowan_ux_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_rowan_ux_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_google_ux_Raw_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_google_ux_Score
6018,0.6592493,0.82962465,0.6408672,0.8204336,0.56940615,0.7847031,0.6687417,0.83437085,0.67087907,0.83543956,0.7800095,0.89000475,0.7113385,0.85566926,0.78544426,0.89272213,0.72166586,0.8608329,0.7900424,0.8950212
6021,0.6571206,0.8285603,0.58141434,0.7907072,0.56371814,0.78185904,0.56958044,0.7847902,0.6028602,0.8014301,0.70314467,0.85157233,0.6513889,0.82569444,0.6754738,0.8377369,0.6693156,0.8346578,0.68039477,0.8401974
6026,0.65428245,0.8271412,0.6507545,0.8253772,0.5290592,0.7645296,0.5818989,0.79094946,0.67544436,0.8377222,0.7571373,0.87856865,0.72216773,0.86108387,0.75078267,0.87539136,0.70630693,0.85315347,0.7672938,0.8836469
9479,0.6713455,0.83567274,0.6180818,0.8090409,0.53660774,0.7683039,0.5835987,0.7917993,0.68343455,0.84171724,0.78387195,0.89193594,0.74729896,0.8736495,0.7463651,0.87318254,0.7416905,0.87084526,0.79312515,0.8965626
16980,0.752892,0.876446,0.771455,0.8857275,0.71236026,0.85618013,0.7372028,0.86860144,0.7422348,0.8711174,0.7614221,0.8807111,0.73609793,0.86804897,0.774682,0.887341,0.7951728,0.8975864,0.7877201,0.89386004
17014,0.42735928,0.7136797,0.5161058,0.7580529,0.4012587,0.70062935,0.45727664,0.7286383,0.49921584,0.7496079,0.4457863,0.7228931,0.5359942,0.7679971,0.5070528,0.7535264,0.59683526,0.7984176,0.5626645,0.78133225
18230,0.6821023,0.84105116,0.69103205,0.845516,0.57274985,0.7863749,0.65939903,0.8296995,0.7135343,0.8567672,0.75041616,0.8752081,0.7366065,0.86830324,0.7514,0.8757,0.7282907,0.86414534,0.7461054,0.8730527
18348,0.69011676,0.8450584,0.68758225,0.8437911,0.59573805,0.797869,0.6221216,0.8110608,0.7387344,0.86936724,0.8276955,0.91384774,0.77020013,0.88510007,0.815976,0.907988,0.8088771,0.90443856,0.85537094,0.9276855
26715,0.6996646,0.8498323,0.68608624,0.8430431,0.60417247,0.80208623,0.62871367,0.8143568,0.7210538,0.8605269,0.72730315,0.8636516,0.7520969,0.87604845,0.7473889,0.8736944,0.768832,0.884416,0.73060834,0.8653042
26747,0.75855494,0.87927747,0.72698677,0.8634934,0.6374955,0.81874776,0.6855906,0.8427953,0.75897527,0.87948763,0.784523,0.8922615,0.7293894,0.8646947,0.8010276,0.90051377,0.7161578,0.8580789,0.7770915,0.88854575
