CV_doordash_pm_Score,gemini_flash_doordash_pm_Score,gemini_pro_doordash_pm_Score,gemini_flash_lite_doordash_pm_Score,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_doordash_pm_Score,twice_gemini_flash_doordash_pm_Score,twice_gemini_pro_doordash_pm_Score,twice_gemini_flash_lite_doordash_pm_Score,twice_gemini_flash_pro_doordash_pm_Score,twice_gemini_flash_lite_pro_doordash_pm_Score,True Label,Will Manipulate
0.81972843,0.8389497,0.8593608,0.8232249,0.82962465,0.8236447,0.83323205,0.8441309,0.867243,0.8407483,0.8493116,0.8635791,0.82754195,0.5821111,0.83299583,0,True
0.8366944,0.86654717,0.8481407,0.85801154,0.8285603,0.8432605,0.835515,0.85318303,0.8341534,0.8455289,0.877819,0.88844603,0.8568768,0.886254,0.9101139,0,True
0.8146107,0.8543389,0.8798022,0.7931256,0.8271412,0.8202383,0.81859803,0.807772,0.81703264,0.8458693,0.87458247,0.87859637,0.79021436,0.8199583,0.83545125,0,True
0.83632195,0.83253986,0.84071434,0.8398932,0.83567274,0.8157138,0.8229568,0.8553748,0.8267222,0.83301884,0.84600025,0.83437145,0.84167796,0.8418504,0.8610934,0,True
0.8366052,0.890224,0.8934432,0.8767123,0.876446,0.8623414,0.85527194,0.87997895,0.8524913,0.859282,0.8918501,0.8826665,0.8728924,0.8980965,0.8840184,0,True
0.6996542,0.7665882,0.7273676,0.6637174,0.7136797,0.76690835,0.7368834,0.7629449,0.7375068,0.7648673,0.8053113,0.7395978,0.6789471,0.78464365,0.75189257,0,True
0.81689143,0.86587703,0.8602853,0.8052875,0.84105116,0.8187051,0.8077462,0.8391475,0.8771121,0.82298315,0.8709022,0.87749684,0.80687714,0.88625604,0.8566669,0,True
0.8176062,0.8256761,0.82637596,0.80494106,0.8450584,0.8094858,0.8281747,0.83552885,0.8242079,0.8111251,0.8140258,0.84256107,0.81989247,0.8305001,0.8364613,0,True
0.8056642,0.85302854,0.86483335,0.844221,0.8498323,0.8475214,0.85969,0.8721721,0.86582977,0.84422594,0.86139524,0.8662182,0.82195354,0.84943575,0.8712042,0,True
0.897603,0.9051642,0.9139088,0.86284304,0.87927747,0.89673084,0.88993144,0.89078045,0.89239293,0.8989566,0.9209023,0.89298755,0.86311406,0.90673435,0.9089304,0,True
0.8390851,0.82089376,0.79586154,0.76430535,0.7648467,0.7675791,0.7695427,0.78010744,0.76069087,0.76748854,0.82822996,0.8197819,0.77262795,0.8314415,0.7682109,0,True
0.8466531,0.8316352,0.83225197,0.82602,0.8582848,0.80979997,0.8248843,0.8568766,0.8276176,0.8122405,0.82399696,0.8366346,0.81257385,0.83119625,0.81126773,0,True
0.771918,0.8274312,0.81472087,0.818783,0.7556634,0.75930417,0.816246,0.79426575,0.8512873,0.7620759,0.8454027,0.81937164,0.81898147,0.5821111,0.84051925,0,True
0.8575687,0.82281774,0.8034773,0.84919846,0.8587512,0.8220302,0.86492085,0.87541443,0.8786346,0.8713022,0.8351644,0.84629315,0.8454237,0.83097243,0.84126866,0,True
0.88726735,0.8671142,0.878483,0.8681191,0.8793803,0.86830735,0.8804308,0.8880297,0.8703894,0.8823366,0.86965334,0.8844279,0.8581883,0.86807966,0.8812512,0,True
0.86540306,0.84555453,0.84587234,0.8728112,0.8696248,0.8848126,0.8824854,0.8486224,0.88214236,0.8789358,0.82515806,0.84804755,0.8665251,0.8504633,0.8577204,0,True
0.70401543,0.7478404,0.75454557,0.71154535,0.74658895,0.73611605,0.7354275,0.7655409,0.7396947,0.778044,0.76537275,0.7794406,0.71930444,0.7723341,0.7643518,0,True
0.8785915,0.8430615,0.823495,0.82450753,0.8480365,0.8698584,0.83378786,0.8530542,0.850332,0.8691499,0.84284997,0.8199743,0.82182217,0.83428365,0.8247764,0,True
0.7494608,0.8380277,0.81255716,0.78531253,0.8253143,0.83955693,0.8185726,0.84328395,0.8474775,0.8413919,0.8407841,0.8352021,0.779311,0.8602699,0.7994744,0,True
0.7726426,0.84739465,0.8369202,0.78722644,0.7792193,0.81998706,0.8112867,0.8159651,0.8085439,0.8217541,0.84379107,0.8314623,0.77636635,0.5821112,0.8200681,0,True
0.7750432,0.8189275,0.8161589,0.7777598,0.80995524,0.802126,0.8155211,0.81204283,0.8291139,0.81724423,0.817322,0.82646954,0.77354693,0.8162755,0.81067,0,True
