,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_doordash_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_doordash_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_apple_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_apple_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_samsara_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_samsara_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_yelp_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_yelp_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_match_pm_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_match_pm_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_i2c_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_i2c_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_adobe_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_adobe_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_amazon_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_amazon_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_rowan_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_rowan_ux_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_google_ux_Raw_Score,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5_google_ux_Score
6018,0.67538667,0.83769333,0.6590631,0.82953155,0.6155621,0.80778104,0.6483871,0.82419354,0.693454,0.846727,0.75173056,0.8758653,0.7129735,0.85648674,0.76118565,0.8805928,0.75251746,0.87625873,0.7754513,0.88772565
6021,0.7032319,0.8516159,0.6289227,0.81446135,0.59560764,0.7978038,0.61267924,0.8063396,0.64466846,0.82233423,0.75147057,0.8757353,0.6723729,0.8361864,0.6944393,0.84721965,0.72020024,0.86010015,0.7184298,0.8592149
6026,0.58962166,0.79481083,0.61073935,0.8053697,0.51627344,0.75813675,0.58028805,0.790144,0.619452,0.809726,0.70768774,0.85384387,0.67025864,0.8351293,0.7098064,0.8549032,0.67287403,0.836437,0.7357422,0.8678711
9479,0.7326921,0.86634606,0.6796581,0.8398291,0.58878607,0.79439306,0.59959126,0.7997956,0.73742986,0.8687149,0.8175419,0.9087709,0.77546144,0.8877307,0.765236,0.882618,0.7657824,0.8828912,0.8243592,0.9121796
16980,0.77432203,0.887161,0.76899505,0.8844975,0.7328751,0.86643755,0.72891444,0.86445725,0.76869065,0.8843453,0.8041165,0.90205824,0.7512728,0.8756364,0.8041202,0.9020601,0.8132137,0.90660685,0.8139713,0.90698564
17014,0.5275284,0.7637642,0.60884595,0.804423,0.47040004,0.73520005,0.50320935,0.7516047,0.60375464,0.8018773,0.57540697,0.7877035,0.6575767,0.82878834,0.60557234,0.8027862,0.68437123,0.8421856,0.6634045,0.83170223
18230,0.6717055,0.83585274,0.6741952,0.8370976,0.57063705,0.7853185,0.6381208,0.8190604,0.6623149,0.83115745,0.6954721,0.84773606,0.6725526,0.8362763,0.7164532,0.8582266,0.6957025,0.8478513,0.7009954,0.8504977
18348,0.6273301,0.81366503,0.6501965,0.8250983,0.5396379,0.76981896,0.57043254,0.7852163,0.67224455,0.8361223,0.7774426,0.8887213,0.7516856,0.8758428,0.7578554,0.8789277,0.7814912,0.89074564,0.8206434,0.9103217
26715,0.7339529,0.86697644,0.7162905,0.85814524,0.607968,0.803984,0.6352247,0.81761235,0.7555435,0.87777174,0.75323546,0.8766177,0.7639439,0.88197196,0.76816183,0.8840809,0.78086805,0.890434,0.7610801,0.88054
26747,0.75760114,0.8788006,0.6792842,0.8396421,0.6160574,0.8080287,0.6470041,0.82350206,0.7409313,0.87046564,0.81050193,0.90525097,0.72089946,0.86044973,0.7954741,0.897737,0.7194704,0.8597352,0.77517104,0.8875855
29788,0.4998728,0.7499364,0.50669134,0.75334567,0.39342883,0.6967144,0.4858258,0.7429129,0.5284624,0.7642312,0.5913701,0.79568505,0.62180364,0.8109018,0.58951366,0.7947568,0.6172271,0.80861354,0.63138545,0.8156927
29835,0.67432773,0.83716387,0.6960771,0.84803855,0.5777049,0.78885245,0.60716283,0.8035814,0.67251676,0.8362584,0.77327615,0.88663805,0.74888086,0.87444043,0.7915931,0.89579654,0.7828885,0.8914442,0.795804,0.897902
30606,0.51872283,0.7593614,0.50145406,0.75072706,0.47779137,0.73889565,0.52886647,0.76443326,0.54608953,0.77304476,0.6244902,0.81224513,0.5718602,0.7859301,0.58658195,0.793291,0.6329191,0.81645954,0.631885,0.8159425
30845,0.7686004,0.88430023,0.7126381,0.85631907,0.66700816,0.8335041,0.6979425,0.84897125,0.74153054,0.87076527,0.8487315,0.92436576,0.7551503,0.87757516,0.82692933,0.91346467,0.808128,0.904064,0.82218456,0.9110923
32072,0.77459234,0.8872962,0.7224359,0.861218,0.70579636,0.8528982,0.69286597,0.846433,0.7444608,0.8722304,0.81763005,0.908815,0.74070716,0.8703536,0.82310975,0.9115549,0.76371205,0.881856,0.7927541,0.8963771
46443,0.73026836,0.8651342,0.76522005,0.88261,0.67644763,0.8382238,0.68813694,0.84406847,0.7847199,0.89236,0.81417906,0.90708953,0.7649139,0.88245696,0.847996,0.923998,0.8064923,0.90324616,0.8372606,0.9186303
46506,0.52118325,0.7605916,0.56912136,0.7845607,0.48940513,0.7447026,0.5101814,0.7550907,0.5655426,0.7827713,0.61011064,0.8050553,0.56685805,0.783429,0.64082277,0.8204114,0.65605724,0.8280286,0.6632658,0.8316329
50300,0.73335886,0.86667943,0.705765,0.8528825,0.6910093,0.84550464,0.61382246,0.80691123,0.75949955,0.8797498,0.8335806,0.9167903,0.7720824,0.88604116,0.78472936,0.8923647,0.76317036,0.8815852,0.8335817,0.91679084
51419,0.68245435,0.8412272,0.67897195,0.839486,0.606686,0.803343,0.6299778,0.8149889,0.6971143,0.8485571,0.76776195,0.883881,0.73879373,0.86939687,0.7656833,0.88284165,0.75936604,0.879683,0.7986595,0.8993298
53971,0.6532622,0.82663107,0.6044408,0.8022204,0.5611812,0.7805906,0.56116813,0.7805841,0.6913711,0.84568554,0.7975941,0.89879704,0.7543099,0.87715495,0.744825,0.8724125,0.7570625,0.8785312,0.7873719,0.89368594
53972,0.6046552,0.80232763,0.6130969,0.8065485,0.52965224,0.7648261,0.57870275,0.78935134,0.61269724,0.8063486,0.6959932,0.8479966,0.6501601,0.82508004,0.71476865,0.8573843,0.6973148,0.84865737,0.6955574,0.8477787
53973,0.6900114,0.8450057,0.6387423,0.81937116,0.5782126,0.7891063,0.588202,0.794101,0.72492576,0.8624629,0.83857787,0.91928893,0.7644011,0.88220054,0.80561143,0.9028057,0.78114283,0.8905714,0.83162373,0.9158119
53974,0.63273644,0.8163682,0.6096212,0.80481064,0.5474622,0.7737311,0.6017633,0.8008816,0.6645106,0.8322553,0.7319145,0.86595726,0.7272667,0.8636334,0.7027613,0.85138065,0.73753524,0.8687676,0.7475892,0.87379456
53975,0.6564865,0.82824326,0.5953113,0.79765564,0.5782076,0.7891038,0.6099789,0.80498946,0.6513535,0.82567674,0.7969658,0.8984829,0.6871588,0.8435794,0.6968566,0.8484283,0.7662357,0.88311785,0.76224816,0.8811241
53976,0.54761875,0.7738094,0.51777244,0.7588862,0.48195505,0.7409775,0.5015494,0.75077474,0.5656431,0.78282154,0.6532301,0.82661504,0.66594034,0.83297014,0.6048297,0.8024149,0.6858928,0.8429464,0.6860023,0.8430011
53977,0.69899064,0.8494953,0.6347743,0.81738716,0.573048,0.786524,0.60235286,0.8011764,0.6758719,0.8379359,0.76034486,0.88017243,0.71157026,0.85578513,0.73868835,0.8693442,0.7443994,0.8721997,0.73499423,0.8674971
53978,0.72062105,0.86031055,0.6344085,0.81720424,0.61609304,0.8080465,0.58656967,0.79328483,0.74493194,0.87246597,0.83374155,0.9168708,0.73696405,0.868482,0.7704232,0.8852116,0.75391066,0.87695533,0.81935716,0.9096786
53979,0.77627444,0.8881372,0.7061217,0.85306084,0.6519301,0.82596505,0.6331257,0.8165629,0.78216755,0.8910838,0.8720816,0.93604076,0.7570613,0.8785306,0.8197979,0.90989894,0.7719476,0.8859738,0.81707245,0.9085362
53981,0.58011997,0.79006,0.56377226,0.7818861,0.48505604,0.742528,0.5468029,0.77340144,0.59594256,0.79797125,0.7141526,0.8570763,0.6999606,0.8499803,0.67616713,0.83808357,0.68370414,0.84185207,0.707985,0.85399246
54796,0.68582606,0.84291303,0.66493225,0.8324661,0.563172,0.781586,0.62331593,0.81165797,0.6435178,0.82175887,0.71729124,0.8586456,0.68284166,0.8414208,0.7594695,0.87973475,0.7352768,0.8676384,0.7448822,0.8724411
54797,0.72318983,0.8615949,0.7034826,0.8517413,0.65955305,0.8297765,0.6122063,0.8061031,0.74439216,0.8721961,0.8456422,0.9228211,0.7475597,0.8737799,0.8110404,0.9055202,0.7619513,0.88097566,0.7983533,0.89917666
54798,0.666932,0.833466,0.6827581,0.84137905,0.57773936,0.7888697,0.6147299,0.80736494,0.6781068,0.8390534,0.7506926,0.8753463,0.6954938,0.8477469,0.7351159,0.86755794,0.75873965,0.87936985,0.7365431,0.8682716
54799,0.6083444,0.80417216,0.6210662,0.8105331,0.50761616,0.7538081,0.5816879,0.79084396,0.62194407,0.81097203,0.72233254,0.86116624,0.7128113,0.8564056,0.7036463,0.85182315,0.7652305,0.8826152,0.79307485,0.8965374
54800,0.6108323,0.8054161,0.6077807,0.80389035,0.5469556,0.7734778,0.54569495,0.7728475,0.63470995,0.817355,0.68520755,0.8426038,0.7174214,0.8587107,0.69826746,0.84913373,0.71904945,0.8595247,0.72349405,0.861747
56453,0.6553078,0.8276539,0.65061677,0.8253084,0.6020597,0.80102986,0.57837003,0.78918505,0.6987929,0.84939647,0.7331614,0.8665807,0.77187955,0.8859398,0.7151102,0.8575551,0.76469207,0.88234603,0.7653134,0.8826567
56528,0.61364657,0.80682325,0.5622152,0.7811076,0.49136072,0.74568033,0.5460529,0.77302647,0.6163919,0.80819595,0.7122854,0.8561427,0.680061,0.8400305,0.6490519,0.82452595,0.71884835,0.8594242,0.7060547,0.85302734
56542,0.6319883,0.81599414,0.59157056,0.7957853,0.54065746,0.77032876,0.5976476,0.79882383,0.63029385,0.8151469,0.7389977,0.86949885,0.65876305,0.8293815,0.7395795,0.8697897,0.7028351,0.85141754,0.72661847,0.86330926
56543,0.619851,0.8099255,0.5898692,0.79493463,0.52728856,0.7636443,0.52210116,0.7610506,0.6213223,0.81066114,0.66888535,0.8344427,0.66576695,0.8328835,0.64067316,0.8203366,0.6774322,0.8387161,0.65809214,0.8290461
56544,0.64437366,0.8221868,0.6349209,0.8174604,0.5682954,0.78414774,0.627348,0.813674,0.64772224,0.8238611,0.72742563,0.8637128,0.6883591,0.8441795,0.70893276,0.8544664,0.71761155,0.8588058,0.75858736,0.8792937
56545,0.61280394,0.80640197,0.69461524,0.8473076,0.5540353,0.77701765,0.59590304,0.7979515,0.6005006,0.8002503,0.57957065,0.7897853,0.6313158,0.8156579,0.6787724,0.8393862,0.6757865,0.83789325,0.619839,0.8099195
