id,CV
0,"During my training, I completed three projects, two on my own, the third in a team, I am good at working both in a team and alone in a team project, I was the leader and the main generator of ideas.  During the training, I learned a lot of technical knowledge and also theoretical.
Flowers delivery mobile app
- Developed a user-friendly and intuitive interface for online flowers ordering service
- Conducted persona research to better understand the demand of customers
- Created a comfortable and easy-to-use app so customers could order a bouquet from anywhere in the world

Pet Scout. Animal pet search web service
- Conducted UX research on competitor analysis, user flow, worked with the architecture of web services, used design principles to create a compelling user experience for a web service created to find missing pets.
- Created a wireframe, mockups, prototypes and Behance in a team

Barbershop Landingpage
- Created a landing page where visitors could learn about the services offered by a barbershop and make an appointment with the chosen barber
- Performed competitor analysis, developed personas,and used research methods.
- Developed a desktop, a tablet and a mobile version of the site

Tattoo Studio Website Redesign
- Created a tattoo salon website where the visitors were able to choose a tattoo or piercing artist, research portfolios, quickly and easily sign up for a consultation.
- Prior to creating the site, conducted analyses of the competitors' blackouts by age, sex, as well as other statistical data.
- Based on this data, created a visually enjoyable and intuitive website.
I am considering working remotely in a company or freelance.  I want to grow and develop as a designer.  It would be very good if the company had mentoring.  I hope that I will help you create the product that our customers want to see."
1,"I'm good at Figma, Illustrator, Protopie, Photoshop
Also:
Low and high fidelety prototypes, Vector illustration, Components, Adaptive design, Logo creation, Landing page, Improvement of the user interface and user expirience.
Focusing on UI/UX for both web and mobile applications, my expertise lies in turning concepts into real solutions. My ultimate goal is not only to create visually appealing designs, but also to solve the challenges and optimize the daily goals of the target audience. I don't just focus on aesthetics, as I try to solve problems and optimize the daily goals of the target audience.
Throughout my career, I have had the opportunity to work on a variety of projects both as part of a team and as an individual member. Famous examples include:

1.Website redesign:
Site for Redesign ""Destin Tattoo Company"" :
My version Redesign ""Destin Tattoo Company"":
The redesign was done by myself. It was done: competitor analysis, prototyping, text selection, color selection, logo development, wireframes creation, component creation and adaptation for tablet and mobile.

2.Webservice: 
 Project name ""The Lost Pets"" (teamwork) :
This project was done in a team. His idea was that a person could easily find / return  or take an animal into good hands.My role was to create a flow for people who found animals or picked them up from the street. I created an individual logo for this web service.

3.Mobile App ""Suit Store"" :
This application has been designed for the convenience of users. So that users appreciate the simplicity and comfort in the search and purchase of goods. My role in this project was to create a convenient flow for the persona of a man who often makes purchases in different categories.The project was originally a team work, but at the prototyping stage, I did all the work up to the final stage on my own.
I'd like a full time job. To work in a creative and friendly team. Find solutions to challenging problems and improve user interfaces. I would like to have the opportunity for creative promotion on design tasks."
2,"Was a team leader in the project ""BudgetStay project”. I have 2 own Pet-projects. 
In the process of developing the project of landing page ""Tantric massage salon Sensual"" as a team leader. I am also completing the project for reserving tables in the restaurant ""FoodieFinder"" mobile application, own Pet-projects.
FoodieFinder -  mobile app design.
The goal of creating a mobile app for restaurant search and table reservations is to provide users with a hassle-free and efficient way of finding and booking restaurants based on their preferences. 

Sensual Temple - landing page for desktop, tablet and mobile. 
The landing page for a tantric massage salon promotes the salon's services, creates an appealing and informative online presence, and attracts potential clients. 

BudgetStay - web service, team project, 2 designer. 
Development of a web service interface for change of environment - work and rest in a new place. 
The goal was to create a service for finding free (couch surfing) or cheap accommodation (private accommodation, hostels). Was created Main User Flow with 2 account types (free and premium) and second flow for 3 types of hosts. Design for desktop, tablet and mobile version with prototype for desktop.  

Concept, redesign for ""India Cafe"". Independent work.
This project is an updated website for an Indian restaurant located in Pennsylvania, USA. Therefore, the goal of the project was to create a modern and convenient design that could attract potential customers. 
Add missing pages with photos and a menu. Also, the possibility to make an appointment in a restaurant. Design for desktop, tablet and mobile version with prototype for desktop. 

Landing Page for Citroen 4, concept, independent work. 
This project is a concept for the Citroen 4 landing page in Ukraine. The purpose of the page is to order a test drive. Design for desktop.
At the new workplace as UX/UI designer, I expect to join a good team that strives to implement cool and modern projects for a super connection between the client that provides services and the client that receives them. For my part, I will enthusiastically implement projects and learn and improve my skills."
3,"I have 3 favorite projects: website redesign, adaptive design, mobile application. Also developed moodboard, landing page, conducted research, described persona, worked on user flow. At a level sufficient for work, I have Adobe Photoshop, Adobe Illustrator, Corel Draw, ProtoPie, Canva programs.
For 15 years, I worked at a school as a computer science teacher.  In the lessons, I taught topics on raster and vector graphics, 3D modeling, and programming languages.  While studying graphic design, I worked with such programs as Figma, Adobe Photoshop, Adobe Illustrator, Canva, ProtoPay.  I like to learn and apply new technologies.
Website of veterinary clinic ""Aibolit""
Site redesign, full design cycle
During the implementation of the project, I analyzed the problem, created a prototype of the interface, created a visual style and embodied all this in a convenient and simple final product.
The goal was to create a modern and user-friendly design that could attract potential customers.

""Coffee Time"" mobile application
mobile application, full design cycle
During the implementation of the project, I analyzed the problem, created a prototype of the interface, created a visual style and embodied all this in a convenient and simple final product.
The task was to develop a mobile application that would allow you to scan and pay for goods while bypassing the queue at the checkout, which would help attract potential customers.
I am looking for a friendly, motivated team to which I will be useful and with whom I can develop and achieve goals."
4,"• Mobios School (Sep 2021 — Dec 2021)
  UX/UI web-design + mobile design

• CURSOR Education (Feb 2021 — Jul 2021)
  UI/UX Designer 

• Source IT (courses). (Feb 2015 — Apr 2015)
  HTML layout

• H.S. Skovoroda Kharkiv National Pedagogical University
  Faculty of Art and Graphics 
  Ad designer
For more than 10 years I worked as a layout designer in various publishing houses.
My tasks: development of layouts for books, magazines and posters. Page design, search and processing of vector illustrations (if necessary, drawing), search for bitmap images (their processing), compilation of collages. Layout of books, magazines. Preparation of products for printing.

Graduated from UI / UX Design courses. During the course we analyzed:
• Communication
• UX research
• Wireframing
• UI design
• Mobile app design
• Web design
Developing the final project: interviews with the client, competitor analysis, SWOT analysis, UX Persona, CJM, information architecture development, Wireframes and design.
I expect to get into a cool and friendly team, where there is something to learn, where they can prompt you and point out mistakes."
5,"I have achieved several notable accomplishments during my training and projects. Despite my limited experience, I have actively pursued opportunities to showcase my skills and demonstrate my dedication to the field of UI/UX design.

1.Successful Completion of UI/UX Design Courses: I successfully completed comprehensive UI/UX design courses, where I gained a solid foundation in design principles, user research methodologies, wireframing, prototyping, and interaction design. This achievement demonstrates my commitment to learning and developing the necessary skills to excel in the field.

2.Project Contributions: During my courses, I actively participated in various design projects, both individually and as part of a team. I successfully collaborated with fellow designers, developers, and stakeholders to deliver well-designed user interfaces and engaging user experiences. These projects allowed me to apply my theoretical knowledge to real-world scenarios, demonstrating my ability to create visually appealing and user-friendly designs.

3.Positive Feedback from Course Instructors and Peers: Throughout my training, I received positive feedback from instructors and peers on my design work. They commended my attention to detail, creativity, and ability to incorporate user feedback into my design iterations. This feedback validates my capabilities and motivates me to continue improving and refining my design skills.

4.Continuous Learning and Growth: Despite being at the early stages of my career, I have demonstrated a strong commitment to continuous learning and professional development. I have actively pursued self-study, attended webinars, and engaged with design communities to stay up-to-date with industry trends, new tools, and emerging design practices. This dedication to personal growth showcases my eagerness to evolve as a UI/UX Designer.

Although I have yet to accumulate professional work experience, these achievements demonstrate my determination, willingness to learn, and ability to deliver quality design solutions. As I embark on my professional journey, I am excited to further build upon these accomplishments and contribute to impactful projects as a dedicated UI/UX Designer.
For six months, I worked as a freelance UI/UX designer, where I was responsible for developing and creating unique user interfaces for various clients. My role involved analyzing client requirements, conducting user research, creating information architecture, conducting user experience testing, and creating prototypes. I also participated in iterative processes and collaborated with developers to ensure high-quality end products.

During my freelance work, I developed my skills in design and user experience, gained a deep understanding of the product creation process, and learned to effectively communicate with clients and manage project timelines. As a result of my work, my clients received distinctive and appealing designs that enhanced their user experience and improved conversion rates.

My freelance experience validates my ability to work independently, organize my work, and achieve results within given deadlines. I am ready to apply these skills and experiences to a new team, to help achieve its goals and bring long-term value to the company.
1. User-Centric Approach: I strive to work in a team that values user needs and expectations. I believe that the best design solutions arise from a deep understanding of the target audience and a commitment to providing them with a predominantly positive user experience.
2.Opportunities for Professional Growth: I would like to work in a company that provides opportunities for development and advancement. I am committed to continuous improvement and participation in training, conferences, and events to stay up-to-date with the latest trends and best practices in UI/UX design.
3.Collaboration and Communication: I excel at working in a team and openly communicating with other stakeholders, such as developers, product managers, and business analysts. My goal is to build productive relationships and ensure that all team members understand each other and work together to deliver high-quality design."
6,"During my continuous studies, I performed many interesting projects. Namely: 
- redesign of the site of the roofing materials plant (the site turned from an outdated and non-functional multi-page site into a modern, convenient landing page with an interesting structure); 
- a landing page for a tea studio (the main task of the project was completed - to make an attention-grabbing, stylized site where a potential client will not only find the necessary information about the studio, but also get aesthetic and cultural satisfaction); 
- online store of board games (elements of work with AI were used); 
- Ukrainian cinema network Multiplex application improvement project (a detailed ux research was conducted and options for solving the main inconveniences of the application were proposed).
For the past eleven months, I have been constantly developing in the field of Ui/Ux design. During this period, I perfectly mastered Figma (component, variants, auto layout, constraints) - the main tool of a web designer. I also use Photoshop and Illustrator in my work. I have the skills to work on the Webflow site designer and the After Effects motion program.
I never stop there. Therefore, I constantly continue my development in the field of web design. I am from Ukraine, so like all Ukrainians, I know how to fight and achieve my goal. I also add a piece of my Ukrainian soul to each of my projects. The project only benefits from this, because it has its own original, creative and unique style.
"
7,"know HTML5, CSS3 (responsive and adaptive design), SASS/ LESS, work with flexbox, GIT, a little Java Script (basic knowledge), React.js (I can split it into components and prepare for developer's work), Bootsrap.

I also know HTML 5, CSS3 (responsive and adaptive design), SASS/ LESS, work with flexbox, GIT, some Java Script (basic knowledge), React.js (I can split it into components and prepare for developer's work), Bootsrap.

I combine in myself not only a designer, but I have an understanding of how developers think.
For the past few years I have been freelancing, doing commissioned illustrations and portraits, which has taught me how to prioritise my daily work with clients and projects.

I have learned many Adobe programs such as Photoshop, Illustrator, InDesign and also Procreate. I do like to improve my professional skills.

I also worked remotely and created 2d characters for training videos.
Now I want to develop myself in UI/UX design because I want to combine art/design and front-end development. I have learned Figma in a short time and I want to dive deeper and deeper into this topic, I can’t stop and see this as my calling."
8,"I have four years of experience as a Project and Product Manager. I simultaneously managed 74 projects (websites). I also led to the development of mobile applications. So I have clear skills in working with all stages of development.

Currently, I have completed four design courses in Projector School, worked as a design assistant at Netpeak Group, worked as a freelancer, and am now looking for a new company to develop my skills.
* Freelance — UI/UX Designer
— Landing page design
— Design of online stores (e-commerce)
— Prototyping
— The layout of sites on Tilda
— Creation of logos and corporate identity
— Creation of visiting card and advertising banners

* Netpeak Group — UI/UX Designer
— Creation design for blogs and websites for reviews of different topics
— Landing page design on Tilda
— Logos creation

* Netpeak Group — Project/Product Manager
— Managing a team of mobile apps and websites development
— Manual testing of products
— Managing workflow — technical task, prototyping, design, development, test, production
— Establishing communication channels between project stakeholders
— The organization of retrospectives, backlog grooming, planning poker (for a project time estimate)
— Creation of prototypes
— Work with analytics (Google Analytics, AppsFlyer)
— Analysis of competitors (App Annie, Alexa, Sensor Tower)
I need for:
— Interesting projects.
— Professional growth.
— Well-organized management processes.
— Comfortable workplace and friendly team.

I want to improve my design skills in a company that strives for better results, with goals and a mission, that works not for work, but the development of employees and the whole society as a whole through its products and mentality."
9,"
From June 2022 learning UX-UI web design 

Graphic/Motion Designer
Freelance | February 2022
Design and animate motion graphics for social media using Adobe After Effects and other software tools.
Stay up-to-date on the latest design and animation trends and techniques.
Continuously improve skills and knowledge through online courses and workshops.
All the artworks you can find on my Instagram page Kara_mond

Event Manager
DKG | November 2021 - January 2022
Implemented new ways of event promotion
Developed event feedback surveys and post-event reports Organised emails campaigns, and created scripts for them Coordinated internal resources to ensure successful project
completion

Social Media Manager
Freelance | October 2020 - 2022
Designed and Implemented Social media strategy across 6 Instagram/Facebook company brands
Scheduled, created, and written content, video, and images that increased brand awareness with 12+ posts and 35+ stories across platforms each week for F&B, Beauty, and Automotive industries Executed social media presence across Instagram and Facebook Reported social media KPIs for each channel, including engagement, followers
Learned photoshop/After effects to create custom banners and other images for use in campaigns

Conference Project Manager
BCF | May 2019 - August 2021
Full cycle of event management. Developing event's program, schedule, and concept.
Managed in-house and a remote team of five
Leading up to 6 projects simultaneously
Organised 25+ conferences for Automotive, Medical Device, Pharmaceutical, and Consumer Goods industries Feedback analysis for strategic development of future events
PR Manager (Internal Communications)

KazTransOil |December 2015 - August 2017
Creating articles & press releases
Management and communication with mass media
Managing charity events on behalf of the company 
Weekly and daily news creation for internal stakeholders
"
