Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free UIUX Score
1747,81.934
1784,80.155
2476,80.749
2515,79.413
2517,78.671
2529,77.825
2538,79.129
2551,82.569
2553,78.39
2554,85.601
2555,80.431
2556,77.032
2577,79.157
2582,79.026
2583,79.505
2584,79.885
2585,78.336
2586,79.748
2587,77.704
2588,77.561
2589,80.712
2590,78.523
2591,80.6
2592,80.198
2594,79.912
2595,78.443
2597,80.293
2645,80.144
2654,78.702
2655,80.424
2656,80.246
2657,82.652
2658,76.128
2659,79.377
2660,79.006
2741,76.76
2766,80.712
2793,82.339
2810,76.477
2824,78.282
3002,78.733
3021,79.684
3093,79.663
3105,78.245
3113,78.752
3118,83.8
3120,80.383
3122,77.239
3123,79.578
3133,80.649
3134,79.04
3135,78.898
3136,80.87
3137,79.341
3138,78.797
3139,79.139
3140,79.019
3141,80.921
3142,78.269
3143,79.224
3144,79.544
3145,76.997
3146,76.922
3147,80.41
3148,82.062
3149,78.928
3150,78.049
3153,79.094
3155,75.89
3156,80.503
3157,79.524
3158,79.593
3159,76.892
3160,81.17
3161,79.275
3162,78.613
3186,81.355
3225,78.758
3315,77.578
3321,77.391
3332,76.162
5877,80.62
5981,82.317
6043,79.564
6078,80.894
6081,82.58
6082,83.7
6090,78.206
6127,82.673
6211,79.472
6213,81.536
6214,79.413
6231,77.988
6232,81.689
6233,78.185
6239,78.063
6240,79.223
6254,79.199
6255,78.916
6342,75.085
7630,81.844
7654,80.534
8890,82.543
8916,78.781
9028,79.168
9066,78.554
9445,79.533
9542,80.338
9546,79.59
9547,78.362
9583,78.071
9587,76.261
12037,82.361
12116,76.472
12122,80.587
12124,80.09
12141,79.538
12143,80.916
12149,80.756
12161,79.374
12252,82.288
12408,77.911
12409,78.622
12410,78.675
12418,79.833
12422,77.609
12435,76.914
12436,77.891
12437,78.214
12447,81.004
12448,81.745
12449,79.585
12450,79.459
12451,76.054
12452,79.227
12453,80.04
12454,81.208
12455,79.736
12456,79.696
12457,81.112
12458,84.003
12459,76.821
12460,80.436
12461,79.874
12462,80.381
12463,81.144
12464,80.607
12465,78.554
12466,79.394
12467,80.665
12468,78.262
12469,74.875
12470,81.358
12471,81.03
12472,81.008
12473,79.318
12474,77.323
12475,78.787
12476,80.58
12477,84.1
12478,80.792
12479,80.798
12480,79.858
12481,82.112
12482,83.018
12483,78.997
12484,79.26
12485,78.522
12486,79.01
12487,80.653
12488,79.939
12489,75.478
12490,78.018
12491,79.708
12492,79.117
12493,74.568
12494,79.657
12495,83.611
12496,79.071
12497,83.653
12498,81.631
12499,76.536
12500,77.361
12501,73.063
12502,78.806
12503,78.408
12504,77.217
12505,79.454
12506,80.512
12507,78.634
12508,76.38
12509,81.797
12510,79.318
12511,79.208
12512,80.565
12513,77.273
12514,81.54
12515,78.073
12516,79.464
12518,79.595
12519,78.193
12520,81.13
12521,79.865
12523,81.471
12525,84.417
12526,80.414
12527,81.111
12528,80.171
12529,80.069
12530,76.246
12531,78.086
12532,77.916
12533,78.805
12565,82.999
12656,78.519
12674,81.296
12687,83.444
12736,83.114
13078,76.484
13080,82.454
13146,80.447
13147,78.884
13148,78.322
13149,79.678
13150,80.393
13196,77.636
13382,79.866
13461,76.236
13475,79.918
13477,78.832
13537,80.317
13893,76.516
13897,75.892
14744,76.04
14862,79.042
14882,80.568
14890,83.612
14906,77.223
14907,79.841
14914,77.451
14916,79.146
14930,82.03
14932,77.682
14939,78.544
14947,78.535
15180,80.332
15240,80.772
15339,82.674
15419,77.793
15425,78.85
15426,80.076
15474,79.325
15519,82.756
15524,81.575
15589,78.305
15679,78.348
15743,77.135
16036,79.65
16039,79.692
16064,80.324
6018,85.038
6021,81.959
6026,85.584
9479,85.575
16980,77.628
17014,76.347
18230,83.587
18348,85.812
26715,85.406
26747,86.698
29788,85.135
29835,83.15
30606,82.035
30845,86.991
32072,87.268
46443,87.628
46506,80.419
50300,83.021
51419,84.844
53971,85.394
53972,82.651
53973,86.579
53974,85.776
53975,87.353
53976,82.677
53977,83.43
53978,85.264
53979,87.823
53981,87.1
54796,82.8
54797,88.335
54798,83.443
54799,84.557
54800,80.981
56453,83.254
56528,80.21
56542,82.923
56543,83.659
56544,85.888
56545,77.556
56618,85.952
56619,83.642
56629,87.461
56630,84.53
56631,84.25
56632,87.826
56633,83.455
56634,83.767
56635,85.981
56637,84.72
56638,87.028
56639,85.615
56641,83.321
56642,82.578
56643,82.663
56644,76.034
56645,85.999
56646,81.222
56647,86.213
56648,77.431
56649,75.53
56650,84.888
56651,86.026
56652,84.9
56653,79.032
56654,84.632
56656,81.34
56657,86.344
56661,86.466
56662,86.031
56725,83.132
56795,80.687
56796,86.385
56797,84.515
56798,80.591
56799,81.83
56800,83.021
56801,84.554
56802,80.175
56803,88.2
56804,87.84
56805,82.11
56807,86.785
56809,84.496
56859,83.042
56860,86.018
56861,85.222
56862,87.012
57384,88.253
57400,88.662
62042,82.35
63086,84.043
63087,82.474
83710,85.9
83711,75.071
86666,87.198
87779,77.589
97622,86.412
98134,84.797
98135,86.576
98136,84.91
98137,86.025
98138,82.544
98171,87.121
98172,83.264
98173,82.754
98245,83.558
98250,81.365
98251,81.924
98252,76.976
98253,80.25
98254,86.116
98255,86.007
98256,83.666
98257,82.92
98258,81.882
98259,83.134
98260,83.598
98261,83.585
98262,86.277
98263,84.098
98264,83.2
98265,80.794
98266,82.885
98267,78.556
98268,81.428
98269,83.908
98270,83.256
98271,83.78
98272,89.632
98273,86.175
98274,87.002
98275,84.788
98276,84.712
98277,85.599
98278,85.724
98279,85.533
98280,84.213
98281,86.954
98282,83.859
98283,86.377
98284,85.701
98285,82.756
98286,81.876
98287,86.567
98288,80.777
98289,85.277
98290,79.341
98291,86.647
98292,88.926
98293,86.803
98294,83.266
98295,86.63
98296,83.142
98297,85.435
98298,85.667
98299,84.982
98300,87.134
98301,83.333
98302,85.27
98303,85.172
98304,86.421
98305,86.396
98306,87.277
98307,87.306
98308,85.794
98309,83.082
98310,83.126
98311,85.307
98312,86.448
98313,88.242
98314,87.431
98315,84.388
98316,88.115
98317,83.865
98318,86.35
98319,86.597
98320,88.631
98321,83.667
98322,88.079
98323,87.292
98324,86.713
98325,86.979
98326,84.06
98327,81.488
98328,86.931
98329,82.702
98330,84.109
98331,80.551
98332,83.2
98333,82.324
98334,80.458
98335,84.084
98336,80.199
98337,84.902
98338,79.644
98339,84.851
98340,86.691
98341,86.106
98342,83.487
98343,85.967
98344,86.72
98345,85.367
98346,83.696
98347,80.537
98348,81.701
98349,87.176
98350,87.206
98351,84.236
98352,83.278
98353,82.926
98354,76.948
98355,84.689
98356,81.819
98357,77.89
98358,85.482
98359,81.228
98360,76.311
98361,86.615
98362,81.576
98363,82.554
98364,81.74
98365,87.14
98366,80.191
98367,82.695
98368,80.889
98369,87.921
98370,88.704
98371,88.071
98372,86.534
98373,84.29
98374,87.36
98375,83.923
98376,84.297
98377,85.847
98378,83.969
98379,86.84
98380,87.288
98381,84.714
98382,87.494
98383,84.326
98384,81.318
98385,84.588
98386,83.268
98387,82.86
98388,86.96
98389,82.051
98390,86.794
98391,86.112
98392,86.61
98393,85.361
98394,85.134
98395,88.843
98396,84.281
98397,81.672
98398,86.423
98399,81.3
98400,80.636
98401,82.781
98402,86.629
