Unnamed: 0,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct UIUX Score
6018,86.261
6021,82.476
6026,79.678
9479,83.117
16980,71.748
17014,76.904
18230,81.725
18348,85.828
26715,85.028
26747,88.148
29788,85.482
29835,84.634
30606,83.664
30845,86.951
32072,86.094
46443,87.487
46506,79.604
50300,84.935
51419,87.333
53971,84.317
53972,83.637
53973,88.625
53974,84.975
53975,87.771
53976,82.002
53977,83.614
53978,84.257
53979,86.804
53981,87.973
54796,86.942
54797,87.01
54798,83.483
54799,83.52
54800,80.531
56453,85.393
56528,81.318
56542,81.36
56543,85.842
56544,81.133
56545,80.865
56618,87.531
56619,80.626
56629,90.197
56630,83.399
56631,85.31
56632,88.874
56633,86.164
56634,78.506
56635,82.778
56637,85.714
56638,90.813
56639,86.783
56641,80.587
56642,85.223
56643,84.804
56644,82.345
56645,86.156
56646,80.878
56647,85.096
56648,77.497
56649,82.09
56650,83.995
56651,88.819
56652,83.754
56653,80.136
56654,84.568
56656,82.897
56657,76.686
56661,87.772
56662,88.041
56725,86.392
56795,83.07
56796,87.417
56797,86.892
56798,81.424
56799,82.277
56800,81.192
56801,85.497
56802,81.298
56803,89.039
56804,88.309
56805,82.021
56807,87.327
56809,82.522
56859,84.219
56860,86.543
56861,85.85
56862,88.89
57384,87.523
57400,89.103
62042,85.362
63086,82.771
63087,85.106
83710,83.12
83711,77.325
86666,88.515
87779,73.639
97622,86.558
98134,85.95
98135,84.781
98136,84.798
98137,85.961
98138,85.772
98171,86.917
98172,86.643
98173,84.694
98245,85.67
98250,79.648
98251,83.199
98252,74.985
98253,81.744
98254,86.23
98255,83.847
98256,80.894
98257,84.452
98258,83.381
98259,82.542
98260,79.686
98261,84.329
98262,85.3
98263,80.212
98264,82.8
98265,85.998
98266,81.255
98267,79.815
98268,82.193
98269,86.197
98270,79.516
98271,86.595
98272,91.664
98273,88.084
98274,87.416
98275,87.267
98276,84.911
98277,85.86
98278,87.088
98279,86.939
98280,85.469
98281,84.884
98282,85.479
98283,85.04
98284,84.215
98285,82.47
98286,86.092
98287,87.165
98288,75.284
98289,80.991
98290,84.222
98291,85.542
98292,87.963
98293,85.135
98294,83.6
98295,86.47
98296,84.473
98297,87.11
98298,82.377
98299,80.419
98300,86.631
98301,83.601
98302,82.418
98303,84.965
98304,84.767
98305,86.015
98306,87.857
98307,83.206
98308,85.619
98309,81.299
98310,82.761
98311,85.927
98312,86.259
98313,86.976
98314,88.115
98315,83.473
98316,87.285
98317,85.32
98318,85.758
98319,87.732
98320,87.359
98321,86.622
98322,89.31
98323,85.736
98324,87.599
98325,85.428
98326,83.808
98327,82.236
98328,87.339
98329,82.473
98330,85.567
98331,80.486
98332,83.122
98333,81.738
98334,82.718
98335,81.377
98336,78.713
98337,86.025
98338,80.281
98339,85.932
98340,87.558
98341,87.429
98342,83.013
98343,86.826
98344,87.342
98345,82.197
98346,83.84
98347,79.472
98348,81.776
98349,86.14
98350,87.54
98351,81.853
98352,83.924
98353,88.098
98354,77.642
98355,80.385
98356,84.44
98357,78.116
98358,83.901
98359,81.54
98360,77.496
98361,88.353
98362,81.549
98363,82.77
98364,82.115
98365,82.665
98366,79.765
98367,85.149
98368,83.619
98369,86.679
98370,88.073
98371,86.508
98372,84.998
98373,81.788
98374,85.328
98375,84.27
98376,82.794
98377,87.163
98378,83.549
98379,87.99
98380,87.266
98381,82.157
98382,89.744
98383,83.233
98384,82.804
98385,87.267
98386,79.406
98387,79.756
98388,85.643
98389,85.053
98390,82.315
98391,83.131
98392,84.774
98393,85.585
98394,88.317
98395,90.519
98396,82.939
98397,82.88
98398,83.023
98399,75.648
98400,78.841
98401,82.562
98402,86.683
1747,81.673
1784,81.615
2476,75.834
2515,77.756
2517,75.913
2529,79.582
2538,77.421
2551,83.266
2553,76.664
2554,85.625
2555,80.194
2556,77.636
2577,78.59
2582,76.816
2583,78.589
2584,77.747
2585,80.367
2586,76.898
2587,77.963
2588,77.628
2589,80.577
2590,77.461
2591,79.549
2592,81.742
2594,77.387
2595,78.219
2597,83.108
2645,80.818
2654,80.281
2655,80.806
2656,78.46
2657,81.635
2658,75.663
2659,79.876
2660,77.63
2741,80.592
2766,80.483
2793,82.731
2810,76.0
2824,80.167
3002,76.035
