Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free UIUX Score
6018,85.466
6021,81.959
6026,85.584
9479,85.281
16980,77.647
17014,76.347
18230,83.666
18348,85.812
26715,85.406
26747,86.698
29788,84.495
29835,83.205
30606,82.035
30845,86.991
32072,85.879
46443,87.628
46506,79.929
50300,83.021
51419,85.14
53971,85.747
53972,82.651
53973,86.605
53974,85.776
53975,87.353
53976,82.677
53977,83.43
53978,85.264
53979,87.823
53981,87.1
54796,82.8
54797,88.335
54798,83.443
54799,84.557
54800,80.53
56453,83.254
56528,80.21
56542,82.923
56543,82.974
56544,85.888
56545,77.556
56618,86.31
56619,83.443
56629,87.814
56630,84.582
56631,84.25
56632,87.837
56633,83.455
56634,83.767
56635,85.981
56637,84.794
56638,87.028
56639,85.615
56641,83.092
56642,82.578
56643,82.663
56644,76.034
56645,85.999
56646,80.887
56647,86.213
56648,77.573
56649,73.8
56650,83.836
56651,86.026
56652,84.9
56653,80.051
56654,86.018
56656,81.34
56657,86.344
56661,86.466
56662,86.031
56725,81.648
56795,81.446
56796,86.338
56797,84.431
56798,80.591
56799,81.83
56800,83.021
56801,83.5
56802,80.175
56803,88.2
56804,87.84
56805,82.495
56807,86.907
56809,84.341
56859,83.042
56860,86.13
56861,85.222
56862,87.012
57384,88.149
57400,88.662
62042,82.35
63086,83.401
63087,82.474
83710,85.9
83711,74.84
86666,87.141
87779,77.589
97622,86.412
98134,84.589
98135,86.115
98136,84.886
98137,86.513
98138,82.544
98171,87.121
98172,83.264
98173,82.838
98245,83.558
98250,81.365
98251,81.924
98252,76.976
98253,80.511
98254,86.502
98255,86.007
98256,83.666
98257,82.92
98258,81.895
98259,83.134
98260,83.563
98261,83.585
98262,83.869
98263,84.098
98264,81.182
98265,80.794
98266,83.0
98267,78.556
98268,81.428
98269,83.908
98270,84.215
98271,84.907
98272,90.338
98273,86.175
98274,87.002
98275,84.788
98276,84.956
98277,85.599
98278,85.724
98279,85.533
98280,83.901
98281,86.662
98282,83.859
98283,86.377
98284,85.367
98285,82.999
98286,82.765
98287,86.567
98288,80.777
98289,85.395
98290,79.341
98291,87.155
98292,88.926
98293,86.809
98294,83.266
98295,86.63
98296,83.184
98297,85.335
98298,85.674
98299,84.982
98300,87.134
98301,83.333
98302,85.27
98303,85.172
98304,86.421
98305,86.396
98306,87.277
98307,87.421
98308,85.794
98309,83.082
98310,80.877
98311,85.307
98312,86.448
98313,88.177
98314,87.431
98315,84.388
98316,87.622
98317,83.865
98318,86.35
98319,86.611
98320,88.41
98321,83.293
98322,88.127
98323,87.322
98324,87.027
98325,86.979
98326,83.612
98327,82.04
98328,84.857
98329,82.382
98330,84.52
98331,80.872
98332,83.719
98333,81.138
98334,80.458
98335,84.084
98336,80.199
98337,85.387
98338,79.552
98339,84.851
98340,86.691
98341,86.106
98342,83.487
98343,86.124
98344,86.72
98345,85.367
98346,83.374
98347,81.123
98348,79.316
98349,87.176
98350,87.206
98351,83.632
98352,83.332
98353,83.17
98354,76.757
98355,84.506
98356,81.819
98357,77.89
98358,85.633
98359,81.228
98360,76.311
98361,86.615
98362,81.576
98363,82.952
98364,82.093
98365,87.14
98366,79.695
98367,82.695
98368,80.889
98369,89.117
98370,88.636
98371,87.92
98372,86.534
98373,82.191
98374,87.635
98375,83.923
98376,84.405
