Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free DoorDash Score
1747,78.742
1784,78.229
2476,81.757
2515,81.179
2517,81.778
2529,78.986
2538,82.444
2551,83.207
2553,83.482
2554,81.485
2555,80.65
2556,79.127
2577,84.48
2582,80.672
2583,81.207
2584,82.088
2585,81.856
2586,81.4
2587,81.254
2588,80.484
2589,83.694
2590,83.533
2591,80.818
2592,84.528
2594,82.876
2595,80.988
2597,85.737
2645,82.949
2654,82.425
2655,82.813
2656,83.156
2657,78.413
2658,81.365
2659,81.273
2660,84.534
2741,78.117
2766,79.466
2793,82.981
2810,79.324
2824,82.22
3002,84.437
3021,84.53
3093,81.562
3105,83.313
3113,78.581
3118,81.721
3120,83.261
3122,80.133
3123,80.309
3133,81.059
3134,84.119
3135,84.797
3136,80.418
3137,81.503
3138,81.966
3139,80.127
3140,80.439
3141,82.314
3142,80.355
3143,79.079
3144,79.661
3145,78.751
3146,79.163
3147,80.225
3148,79.713
3149,80.992
3150,81.62
3153,80.863
3155,78.908
3156,80.673
3157,79.552
3158,80.2
3159,80.453
3160,79.271
3161,82.424
3162,81.945
3186,82.127
3225,83.213
3315,81.684
3321,81.917
3332,74.841
5877,79.927
5981,85.604
6043,83.439
6078,80.966
6081,82.568
6082,83.167
6090,81.232
6127,85.127
6211,80.93
6213,82.299
6214,80.277
6231,79.79
6232,80.87
6233,82.318
6239,78.369
6240,82.828
6254,80.644
6255,80.634
6342,79.613
7630,80.506
7654,82.153
8890,79.352
8916,76.724
9028,79.13
9066,80.045
9445,80.966
9542,81.249
9546,82.852
9547,82.167
9583,82.057
9587,77.772
12037,82.094
12116,76.774
12122,82.812
12124,83.856
12141,82.362
12143,80.343
12149,81.329
12161,77.606
12252,82.35
12408,78.938
12409,80.959
12410,80.698
12418,81.725
12422,81.491
12435,81.934
12436,80.941
12437,79.441
12447,81.75
